trial_id,layer,head,perturbation_l2
P101_10027,0,0,3.850917339324951
P101_10027,0,1,1.619249701499939
P101_10027,0,2,1.8746790885925293
P101_10027,0,3,2.4052562713623047
P101_10027,0,4,7.6242876052856445
P101_10027,0,5,2.1997854709625244
P101_10027,0,6,2.1191980838775635
P101_10027,0,7,4.164205074310303
P101_10027,0,8,1.8663498163223269
P101_10027,0,9,2.4229981899261475
P101_10027,0,10,5.109841823577881
P101_10027,0,11,3.376631736755371
P101_10027,0,12,1.724761724472046
P101_10027,0,13,2.7445437908172607
P101_10027,0,14,1.6818645000457764
P101_10027,0,15,2.098933458328247
P101_10027,1,0,2.157107353210449
P101_10027,1,1,2.899720430374145
P101_10027,1,2,5.803756713867188
P101_10027,1,3,2.4738848209381104
P101_10027,1,4,2.206985712051392
P101_10027,1,5,2.520311117172241
P101_10027,1,6,2.185373306274414
P101_10027,1,7,2.420906782150269
P101_10027,1,8,4.980572700500488
P101_10027,1,9,2.76056170463562
P101_10027,1,10,3.542552947998047
P101_10027,1,11,3.635141372680664
P101_10027,1,12,4.330154895782471
P101_10027,1,13,1.88645601272583
P101_10027,1,14,2.364765882492065
P101_10027,1,15,3.325895309448242
P101_10027,2,0,5.406401634216309
P101_10027,2,1,7.1206488609313965
P101_10027,2,2,3.085435628890991
P101_10027,2,3,3.1295626163482666
P101_10027,2,4,3.9325084686279297
P101_10027,2,5,3.18745756149292
P101_10027,2,6,4.182000637054443
P101_10027,2,7,5.694324970245361
P101_10027,2,8,3.669025182723999
P101_10027,2,9,3.780431032180786
P101_10027,2,10,2.9322988986968994
P101_10027,2,11,5.9700117111206055
P101_10027,2,12,3.134896755218506
P101_10027,2,13,4.807616233825684
P101_10027,2,14,2.334427118301392
P101_10027,2,15,4.015699863433838
P101_10027,3,0,2.200570821762085
P101_10027,3,1,4.298708915710449
P101_10027,3,2,1.0369426012039185
P101_10027,3,3,1.2399958372116089
P101_10027,3,4,2.0588674545288086
P101_10027,3,5,4.139631271362305
P101_10027,3,6,0.1705872267484665
P101_10027,3,7,0.3975600004196167
P101_10027,3,8,0.3812852501869201
P101_10027,3,9,0.1689612716436386
P101_10027,3,10,0.4294307231903076
P101_10027,3,11,0.986888349056244
P101_10027,3,12,0.5998060703277588
P101_10027,3,13,3.3610801696777344
P101_10027,3,14,1.146310329437256
P101_10027,3,15,3.9553768634796143
P101_10027,4,0,0.133688136935234
P101_10027,4,1,0.5993168354034424
P101_10027,4,2,0.4178448021411896
P101_10027,4,3,0.1386757940053939
P101_10027,4,4,0.8897199630737305
P101_10027,4,5,7.59609842300415
P101_10027,4,6,0.2495940327644348
P101_10027,4,7,1.8497530221939087
P101_10027,4,8,0.6541336178779602
P101_10027,4,9,0.294293999671936
P101_10027,4,10,1.33761465549469
P101_10027,4,11,3.091879606246948
P101_10027,4,12,0.1644238382577896
P101_10027,4,13,0.4766214787960052
P101_10027,4,14,0.3904655575752258
P101_10027,4,15,7.47269344329834
P101_10027,5,0,1.5809444189071655
P101_10027,5,1,4.2486491203308105
P101_10027,5,2,3.898604393005371
