layer,head,importance_signed,abs_importance,perturbation_l2,cell_abs,cell_signed,abs_imp_median,pert_median
0,0,5.9841275215299916e-05,5.9841275215299916e-05,0.2623586654663086,D,D,0.00801475018262876,1.1149335503578186
0,1,0.18430000782012956,0.18430000782012956,0.5398322939872742,B,B,0.00801475018262876,1.1149335503578186
0,2,-0.00016139447689056396,0.00016139447689056396,0.227747842669487,D,D,0.00801475018262876,1.1149335503578186
0,3,-0.0010108256340026767,0.0010108256340026767,0.40846773982048035,D,D,0.00801475018262876,1.1149335503578186
0,4,-0.006603093147277805,0.006603093147277805,0.4680370092391968,D,D,0.00801475018262876,1.1149335503578186
0,5,0.23071494817733762,0.23071494817733762,0.3969397246837616,B,B,0.00801475018262876,1.1149335503578186
0,6,-0.0012310284376144676,0.0012310284376144676,0.27923375368118286,D,D,0.00801475018262876,1.1149335503578186
0,7,-0.0015445089340209162,0.0015445089340209162,0.5382654666900635,D,D,0.00801475018262876,1.1149335503578186
0,8,0.0003024661540986795,0.0003024661540986795,0.23549184203147888,D,D,0.00801475018262876,1.1149335503578186
0,9,0.0032532423734665805,0.0032532423734665805,0.31688371300697327,D,D,0.00801475018262876,1.1149335503578186
0,10,-0.012163172960281354,0.012163172960281354,0.3702496290206909,B,D,0.00801475018262876,1.1149335503578186
0,11,-1.0473132133315133e-05,1.0473132133315133e-05,0.18574988842010498,D,D,0.00801475018262876,1.1149335503578186
1,0,0.014521558880806085,0.014521558880806085,1.3073681592941284,A,A,0.00801475018262876,1.1149335503578186
1,1,0.0015817743539809914,0.0015817743539809914,1.1167513132095337,C,C,0.00801475018262876,1.1149335503578186
1,2,0.0017006921768190075,0.0017006921768190075,0.5687071084976196,D,D,0.00801475018262876,1.1149335503578186
1,3,0.005927113294601494,0.005927113294601494,0.18617819249629974,D,B,0.00801475018262876,1.1149335503578186
1,4,0.007822957038879474,0.007822957038879474,0.8129096031188965,D,B,0.00801475018262876,1.1149335503578186
1,5,0.0017148864269256325,0.0017148864269256325,0.8145113587379456,D,D,0.00801475018262876,1.1149335503578186
1,6,0.0005989807844162254,0.0005989807844162254,0.5445945858955383,D,D,0.00801475018262876,1.1149335503578186
1,7,-0.0017615753412245638,0.0017615753412245638,0.6283652186393738,D,D,0.00801475018262876,1.1149335503578186
1,8,-0.0019549196958541515,0.0019549196958541515,0.5042921900749207,D,D,0.00801475018262876,1.1149335503578186
1,9,-0.0013093513250350686,0.0013093513250350686,0.3836563229560852,D,D,0.00801475018262876,1.1149335503578186
1,10,-0.00015213906764977025,0.00015213906764977025,0.45713502168655396,D,D,0.00801475018262876,1.1149335503578186
1,11,0.007414873242378217,0.007414873242378217,1.077367901802063,D,B,0.00801475018262876,1.1149335503578186
2,0,-0.0003274405002593461,0.0003274405002593461,0.9372365474700928,D,D,0.00801475018262876,1.1149335503578186
2,1,-0.0012227779626845514,0.0012227779626845514,0.5738807916641235,D,D,0.00801475018262876,1.1149335503578186
2,2,0.0049981015920639305,0.0049981015920639305,1.3278625011444092,C,C,0.00801475018262876,1.1149335503578186
2,3,0.004776930809021085,0.004776930809021085,1.1315363645553589,C,C,0.00801475018262876,1.1149335503578186
2,4,0.0023942881822587303,0.0023942881822587303,0.571696400642395,D,D,0.00801475018262876,1.1149335503578186
2,5,0.0020161265134812645,0.0020161265134812645,1.2033205032348633,C,C,0.00801475018262876,1.1149335503578186
2,6,0.009282235503196734,0.009282235503196734,0.9664204120635986,B,B,0.00801475018262876,1.1149335503578186
2,7,-0.010240077376365564,0.010240077376365564,0.9362990856170654,B,D,0.00801475018262876,1.1149335503578186
2,8,0.005483946204185575,0.005483946204185575,1.116178035736084,C,A,0.00801475018262876,1.1149335503578186
2,9,0.011689666509628438,0.011689666509628438,1.2908439636230469,A,A,0.00801475018262876,1.1149335503578186
2,10,0.0005196899175645697,0.0005196899175645697,1.5328892469406128,C,C,0.00801475018262876,1.1149335503578186
2,11,0.008266046643257141,0.008266046643257141,0.38601142168045044,B,B,0.00801475018262876,1.1149335503578186
3,0,0.017080055475235056,0.017080055475235056,1.8409401178359985,A,A,0.00801475018262876,1.1149335503578186
3,1,0.009640338420868089,0.009640338420868089,1.100561499595642,B,B,0.00801475018262876,1.1149335503578186
3,2,0.0022756028175354714,0.0022756028175354714,1.1299976110458374,C,C,0.00801475018262876,1.1149335503578186
3,3,0.01137693643569948,0.01137693643569948,1.2207587957382202,A,A,0.00801475018262876,1.1149335503578186
3,4,0.007963615059852769,0.007963615059852769,1.3522781133651733,C,A,0.00801475018262876,1.1149335503578186
3,5,0.0034736168384552624,0.0034736168384552624,0.5937809348106384,D,D,0.00801475018262876,1.1149335503578186
3,6,0.0006858396530151634,0.0006858396530151634,1.4133498668670654,C,C,0.00801475018262876,1.1149335503578186
3,7,0.007394469976425233,0.007394469976425233,1.5817533731460571,C,A,0.00801475018262876,1.1149335503578186
3,8,0.000605175495147714,0.000605175495147714,1.1404098272323608,C,C,0.00801475018262876,1.1149335503578186
3,9,5.678355693827797e-05,5.678355693827797e-05,0.544748067855835,D,D,0.00801475018262876,1.1149335503578186
3,10,-0.015372462272643883,0.015372462272643883,1.5982142686843872,A,C,0.00801475018262876,1.1149335503578186
3,11,0.00733833611011514,0.00733833611011514,1.0743052959442139,D,B,0.00801475018262876,1.1149335503578186
4,0,0.001595904827117911,0.001595904827117911,0.4886111319065094,D,D,0.00801475018262876,1.1149335503578186
4,1,-0.002531687021255502,0.002531687021255502,0.6306331157684326,D,D,0.00801475018262876,1.1149335503578186
