layer,head,pert_raw_l2,pert_relative_l2,pert_cosine_distance,pert_standardized_l2
0,0,0.2623586654663086,0.34032195806503296,0.05956505239009857,7.926511764526367
0,1,0.5398322939872742,0.44659385085105896,0.08474216610193253,7.952273368835449
0,2,0.227747842669487,0.27960604429244995,0.03920508921146393,7.909204483032227
0,3,0.40846773982048035,0.35174331068992615,0.06218532472848892,7.949935436248779
0,4,0.4680370092391968,0.635118305683136,0.20043186843395233,7.949548244476318
0,5,0.3969397246837616,0.2951411008834839,0.04359050095081329,7.959946155548096
0,6,0.27923375368118286,0.16894477605819702,0.014517512172460556,7.914452075958252
0,7,0.5382654666900635,0.6546254754066467,0.21649810671806335,7.9596428871154785
0,8,0.23549184203147888,0.15565362572669983,0.012030555866658688,7.9323930740356445
0,9,0.31688371300697327,0.16882961988449097,0.01446346566081047,7.905842304229736
0,10,0.3702496290206909,0.2708980441093445,0.03731514513492584,7.917264938354492
0,11,0.18574988842010498,0.09031060338020325,0.004115113522857428,7.905055522918701
1,0,1.3073681592941284,0.8733270764350891,0.4782194197177887,7.956362247467041
1,1,1.1167513132095337,0.4483150243759155,0.10399076342582703,7.906332969665527
1,2,0.5687071084976196,0.18862289190292358,0.017969125881791115,7.960869312286377
1,3,0.18617819249629974,0.08487022668123245,0.0034668666776269674,7.957456588745117
1,4,0.8129096031188965,0.31984469294548035,0.051261983811855316,7.932220935821533
1,5,0.8145113587379456,0.5751505494117737,0.18254125118255615,7.916746139526367
1,6,0.5445945858955383,0.4198191165924072,0.09218751639127731,7.92088508605957
1,7,0.6283652186393738,0.4417731463909149,0.09976241737604141,7.931578159332275
1,8,0.5042921900749207,0.26544514298439026,0.03597066551446915,7.939751625061035
1,9,0.3836563229560852,0.2353648543357849,0.028172452002763748,7.927587509155273
1,10,0.45713502168655396,0.16068825125694275,0.012881007045507431,7.945058822631836
1,11,1.077367901802063,0.44348660111427307,0.1039416491985321,7.949186325073242
2,0,0.9372365474700928,0.3961482346057892,0.08164091408252716,7.940893650054932
2,1,0.5738807916641235,0.47996756434440613,0.11618562787771225,7.86199951171875
2,2,1.3278625011444092,0.7804631590843201,0.3427518606185913,7.94399356842041
2,3,1.1315363645553589,0.5049830675125122,0.1364486664533615,7.937135696411133
2,4,0.571696400642395,0.40444621443748474,0.08555599302053452,7.909540176391602
2,5,1.2033205032348633,0.6166255474090576,0.2039756178855896,7.931176662445068
2,6,0.9664204120635986,0.4720947742462158,0.12123569846153259,7.801252841949463
2,7,0.9362990856170654,0.5258224010467529,0.14675524830818176,7.9148850440979
2,8,1.116178035736084,0.5400415658950806,0.15371960401535034,7.9370880126953125
2,9,1.2908439636230469,0.5338419675827026,0.1524977684020996,7.947586536407471
2,10,1.5328892469406128,0.3569907248020172,0.06546499580144882,7.950906276702881
2,11,0.38601142168045044,0.15246106684207916,0.010847602039575577,7.9503278732299805
3,0,1.8409401178359985,0.787030041217804,0.3843182623386383,7.946298599243164
3,1,1.100561499595642,0.6583742499351501,0.22354108095169067,7.809431552886963
3,2,1.1299976110458374,0.5072620511054993,0.13762417435646057,7.947473049163818
3,3,1.2207587957382202,0.8306607007980347,0.4324094355106354,7.930111885070801
3,4,1.3522781133651733,0.5789488554000854,0.17317022383213043,7.891925811767578
3,5,0.5937809348106384,0.530731737613678,0.1499212682247162,7.847222328186035
3,6,1.4133498668670654,0.6196056604385376,0.21159812808036804,7.948358058929443
3,7,1.5817533731460571,0.6869125962257385,0.24073266983032227,7.9578704833984375
3,8,1.1404098272323608,0.6754970550537109,0.24519114196300507,7.942008018493652
3,9,0.544748067855835,0.5667685270309448,0.16432347893714905,7.9002203941345215
3,10,1.5982142686843872,0.8006860613822937,0.38566872477531433,7.951536178588867
3,11,1.0743052959442139,0.5700212717056274,0.17824330925941467,7.939291000366211
4,0,0.4886111319065094,0.5782003998756409,0.1791759729385376,7.747042655944824
4,1,0.6306331157684326,0.49160629510879517,0.12856453657150269,7.8519487380981445
4,2,0.4434303939342499,0.5065793395042419,0.12509502470493317,7.715026378631592
4,3,0.9795711040496826,0.6520935893058777,0.24051861464977264,7.9434814453125
4,4,0.6693148016929626,0.720532238483429,0.30819493532180786,7.845069408416748
4,5,0.4850631356239319,0.5552509427070618,0.14855675399303436,7.813347339630127
4,6,1.7837921380996704,0.8642779588699341,0.4750538170337677,7.941938400268555
4,7,1.782354474067688,0.4944505989551544,0.13084985315799713,7.922391414642334
4,8,0.9397160410881042,0.6756564974784851,0.13518443703651428,7.808447360992432
4,9,1.0080667734146118,0.8059172630310059,0.4023365378379822,7.920071601867676
4,10,0.22918938100337982,0.32914748787879944,0.05259279906749725,7.709590911865234
4,11,2.335132360458374,0.8441432118415833,0.38787394762039185,7.937968730926514
5,0,1.1136890649795532,0.3527728021144867,0.05677090957760811,7.848418712615967
5,1,6.366524696350098,1.1481235027313232,1.3196117877960205,7.9509596824646
5,2,1.1451325416564941,0.6671753525733948,0.24822109937667847,7.859823226928711
5,3,0.9947991371154785,0.6181424260139465,0.20840367674827576,7.872643947601318
5,4,0.8128021359443665,0.7591692209243774,0.27483969926834106,7.8935723304748535
5,5,3.1036670207977295,0.781073808670044,0.3586137890815735,7.922772407531738
5,6,1.1859002113342285,0.6281883120536804,0.21216195821762085,7.943270683288574
5,7,0.16260215640068054,0.1807931363582611,0.018549490720033646,7.544147491455078
5,8,0.710032045841217,0.5132793188095093,0.13336214423179626,7.853105068206787
5,9,2.259007692337036,0.5500733852386475,0.15616674721240997,7.928379535675049
5,10,0.6307522058486938,0.5673094391822815,0.15366974472999573,7.900576114654541
5,11,0.6725594997406006,0.6659373641014099,0.25792309641838074,7.8620405197143555
6,0,1.476119875907898,0.8004174828529358,0.3997664749622345,7.94927978515625
6,1,0.465909868478775,0.6462884545326233,0.23050247132778168,7.76717472076416
6,2,0.755316972732544,0.4613134264945984,0.1052507609128952,7.9002180099487305
6,3,1.7536463737487793,0.7897937297821045,0.3743971288204193,7.929068565368652
6,4,1.0920219421386719,0.7466568946838379,0.26659083366394043,7.837097644805908
6,5,1.5274549722671509,0.8743649125099182,0.4748648703098297,7.927134990692139
6,6,2.1055054664611816,0.6861922740936279,0.23997558653354645,7.938441753387451
6,7,1.9961315393447876,1.0158238410949707,0.7309737205505371,7.934634208679199
6,8,2.6349117755889893,0.7852469086647034,0.38006293773651123,7.930787563323975
6,9,2.8738961219787598,0.8746811747550964,0.5107634663581848,7.946467876434326
6,10,1.7116755247116089,0.6209650635719299,0.20297706127166748,7.854029655456543
6,11,1.402388334274292,0.9588534832000732,0.6566281318664551,7.914967060089111
7,0,1.8201168775558472,0.9288544654846191,0.506005048751831,7.915261268615723
7,1,1.3999245166778564,0.6239461898803711,0.17864589393138885,7.911196231842041
7,2,2.3150391578674316,0.8348760008811951,0.3651110529899597,7.957828998565674
7,3,1.8106629848480225,0.9410730004310608,0.62891685962677,7.922921657562256
7,4,0.46217575669288635,0.4398516118526459,0.09865017235279083,7.631051540374756
7,5,0.4549647569656372,0.6542775630950928,0.18583732843399048,7.706272602081299
7,6,1.9181818962097168,0.5699746608734131,0.1723705530166626,7.852240562438965
7,7,1.3305658102035522,0.47852760553359985,0.11789174377918243,7.878007888793945
7,8,0.5397040843963623,0.5777308940887451,0.17966002225875854,7.709997177124023
7,9,0.8117763996124268,0.7589013576507568,0.34409260749816895,7.849282741546631
7,10,2.113679885864258,0.7422821521759033,0.20223717391490936,7.939406871795654
7,11,1.2852675914764404,0.8747150897979736,0.1370571106672287,7.775445938110352
8,0,0.9078067541122437,0.7018250823020935,0.21323329210281372,7.81935977935791
8,1,1.2971720695495605,0.587165892124176,0.16946953535079956,7.874229907989502
8,2,1.3776915073394775,1.1957178115844727,0.1799638420343399,7.692338466644287
8,3,0.48600754141807556,0.49161994457244873,0.12089389562606812,7.807025909423828
8,4,0.35519200563430786,0.47049087285995483,0.12287402153015137,7.487829208374023
8,5,1.9238470792770386,0.7948777079582214,0.38079822063446045,7.930340766906738
8,6,1.3167973756790161,0.6142170429229736,0.1401366889476776,7.839366436004639
8,7,1.5295072793960571,0.7653306722640991,0.34721335768699646,7.908565044403076
8,8,0.6804254651069641,0.6241763830184937,0.20027042925357819,7.790261268615723
8,9,0.9192211031913757,0.7502233386039734,0.3286663293838501,7.817680835723877
8,10,1.4899163246154785,0.6275989413261414,0.19833816587924957,7.915219306945801
