layer,head,importance,perturbation,cell
0,0,0.0252757352941176,6.181676640230067,C
0,1,0.0243566176470588,7.392425915993312,C
0,2,0.0553768382352941,12.13648049248492,hihp
0,3,0.0232077205882352,1.196993212599088,D
0,4,0.0193014705882352,1.4838719666962896,D
0,5,0.0255055147058823,2.484490162008168,D
0,6,0.03125,5.976050452822271,C
0,7,0.0266544117647058,5.434890975627829,C
0,8,0.0271139705882352,4.562119509367382,C
0,9,0.0188419117647058,5.317574504543753,C
0,10,0.0344669117647058,1.6726738782873487,D
0,11,0.0238970588235294,2.143089215545093,D
0,12,0.0307904411764705,0.6126134708688101,D
0,13,0.0197610294117647,5.520056468598983,C
0,14,0.0275735294117647,6.53101001153974,C
0,15,0.0294117647058823,6.354224971386001,C
1,0,0.0307904411764705,3.3012173219638714,D
1,1,0.0344669117647058,1.692416270948289,D
1,2,0.0317095588235294,4.364423611831358,C
1,3,0.025735294117647,1.3951715980245567,D
1,4,0.056985294117647,10.78237544942428,hihp
1,5,0.0353860294117647,5.516920170801527,C
1,6,0.0284926470588235,3.3001494210432556,D
1,7,0.0434283088235294,8.281198212274296,hihp
1,8,0.0248161764705882,0.7240514802910826,D
1,9,0.0252757352941176,4.201279764337575,C
1,10,0.0229779411764705,0.6076791516559965,D
1,11,0.0307904411764705,3.826658970292877,C
1,12,0.025735294117647,0.3262106614968027,D
1,13,0.0206801470588235,0.3577575820552952,D
1,14,0.0390625,5.754764436251101,hihp
1,15,0.0298713235294117,3.4748676955042517,D
2,0,0.0358455882352941,4.681684030986884,hihp
2,1,0.0390625,2.697321005713414,hilp
2,2,0.0271139705882352,3.1246005535564003,D
2,3,0.0291819852941176,7.049846472985604,C
2,4,0.03125,9.203628871809034,C
2,5,0.0356158088235294,6.300462912548991,hihp
2,6,0.0220588235294117,4.5045218827093345,C
2,7,0.0287224264705882,6.804164077429211,C
2,8,0.0305606617647058,6.517721024067963,C
2,9,0.0287224264705882,2.817673800294014,D
2,10,0.0349264705882352,10.012969654163015,C
2,11,0.0353860294117647,6.571240421603708,C
2,12,0.0190716911764705,6.536564487416078,C
2,13,0.0280330882352941,5.308203688000932,C
2,14,0.0321691176470588,2.2659111178534874,D
2,15,0.0340073529411764,6.2411171307458595,C
3,0,0.0225183823529411,2.1622602547354557,D
3,1,0.0284926470588235,2.363175912595847,D
3,2,0.0280330882352941,3.517385133925606,C
3,3,0.0340073529411764,5.11558209973223,C
3,4,0.0245863970588235,1.958747035221142,D
3,5,0.0298713235294117,4.734363516463953,C
3,6,0.0289522058823529,1.1169253140687945,D
3,7,0.01953125,0.9094391607624644,D
3,8,0.0369944852941176,7.372628869379268,hihp
3,9,0.0206801470588235,2.810927091385512,D
3,10,0.0261948529411764,6.479327782112009,C
3,11,0.0461856617647058,7.027825060136178,hihp
3,12,0.0390625,5.628389640766032,hihp
3,13,0.0294117647058823,4.424163754372036,C
3,14,0.0248161764705882,2.7341160647132816,D
3,15,0.0344669117647058,6.588455004836707,C
4,0,0.0353860294117647,5.789673882810509,C
4,1,0.0425091911764705,9.129346420659738,hihp
4,2,0.0358455882352941,5.522167719462338,hihp
4,3,0.0349264705882352,5.812339512740865,C
4,4,0.0211397058823529,4.326691227800706,C
4,5,0.0307904411764705,2.827465479864794,D
4,6,0.0358455882352941,5.5906997533405525,hihp
4,7,0.0243566176470588,2.1420327214633716,D
4,8,0.0404411764705882,7.463577161269153,hihp
4,9,0.0314797794117647,4.012714470681899,C
4,10,0.0330882352941176,3.2390413301832535,D
4,11,0.0271139705882352,1.858481074080748,D
4,12,0.0317095588235294,6.63627855655025,C
4,13,0.0307904411764705,3.1208688252988983,D
4,14,0.0404411764705882,4.450878280269749,hihp
4,15,0.0443474264705882,7.995774076375015,hihp
5,0,0.0280330882352941,0.1107533508911728,D
5,1,0.0206801470588235,0.1816237257136141,D
5,2,0.0367647058823529,6.869536966085434,hihp
5,3,0.0461856617647058,6.0400246960275314,hihp
5,4,0.0358455882352941,7.458995093317593,hihp
5,5,0.0576746323529411,6.375439828480868,hihp
5,6,0.0650275735294117,9.508409012766446,hihp
5,7,0.0206801470588235,0.1150921859833247,D
5,8,0.0367647058823529,7.87080417573452,hihp
5,9,0.0574448529411764,10.311562188846224,hihp
5,10,0.03125,1.1087548149859203,D
5,11,0.0202205882352941,0.9875094682416496,D
5,12,0.0512408088235294,7.245644285617506,hihp
5,13,0.0356158088235294,7.884149930056403,hihp
5,14,0.0330882352941176,2.519004963995779,D
5,15,0.025735294117647,0.2103229016887352,D
6,0,0.0379136029411764,3.764571971753064,hihp
6,1,0.03125,1.2293221929713207,D
6,2,0.0438878676470588,5.629070800455177,hihp
6,3,0.0353860294117647,2.564270754509113,D
6,4,0.0549172794117647,5.148494504994767,hihp
6,5,0.0317095588235294,3.027149295105654,D
6,6,0.0333180147058823,3.689069087014478,C
6,7,0.0519301470588235,7.152669640148387,hihp
6,8,0.0271139705882352,1.9709689647835844,D
6,9,0.0489430147058823,5.296659010298112,hihp
6,10,0.0238970588235294,1.3021556782152723,D
6,11,0.0381433823529411,3.6735106858917894,hihp
6,12,0.0854779411764705,9.080147335086677,hihp
6,13,0.0677849264705882,8.101665554677739,hihp
6,14,0.0282628676470588,4.756662370527492,C
6,15,0.0360753676470588,4.431893994264743,hihp
7,0,0.0238970588235294,0.0652472961091381,D
7,1,0.0215992647058823,0.264237823211314,D
7,2,0.02734375,4.825295187532902,C
7,3,0.0188419117647058,2.096943506094463,D
7,4,0.0399816176470588,3.3403114209718563,hilp
7,5,0.0533088235294117,8.763993020443355,hihp
7,6,0.04296875,5.380657686030164,hihp
7,7,0.0220588235294117,0.5963866680531817,D
7,8,0.0137867647058823,2.498377442962545,D
7,9,0.0556066176470588,8.30418438595884,hihp
7,10,0.0271139705882352,0.2814581723685157,D
7,11,0.0193014705882352,0.0688111745574347,D
7,12,0.049172794117647,11.290774483891097,hihp
7,13,0.0307904411764705,5.124842021395178,C
7,14,0.0512408088235294,5.295111734200926,hihp
7,15,0.03125,6.079389194355292,C
8,0,0.0539981617647058,4.787311227006071,hihp
8,1,0.03125,3.353209105484626,D
8,2,0.056985294117647,3.398188808823333,hilp
8,3,0.03125,2.305336766054525,D
8,4,0.0512408088235294,4.11237194257624,hihp
8,5,0.0399816176470588,4.1672466169385345,hihp
8,6,0.0496323529411764,8.136485366260304,hihp
8,7,0.0744485294117647,9.112449202467412,hihp
8,8,0.0353860294117647,3.6499285196118496,C
8,9,0.0431985294117647,4.3232722348150086,hihp
8,10,0.0459558823529411,5.541759930989322,hihp
8,11,0.0539981617647058,4.43722369784818,hihp
8,12,0.0654871323529411,6.804821188835537,hihp
8,13,0.0402113970588235,4.977452121236745,hihp
8,14,0.03515625,2.9851275384426117,D
8,15,0.0372242647058823,1.8140570573947008,hilp
9,0,0.0409007352941176,7.930461988729589,hihp
9,1,0.0363051470588235,4.806604038266575,hihp
9,2,0.0147058823529411,0.9904236789135372,D
9,3,0.0307904411764705,0.1259061497403308,D
9,4,0.0399816176470588,3.9356709718704224,hihp
9,5,0.037454044117647,10.568499817567712,hihp
9,6,0.0284926470588235,2.3709411862141945,D
9,7,0.0475643382352941,6.231911778888282,hihp
9,8,0.0363051470588235,2.234994521802839,hilp
9,9,0.0436580882352941,4.862754487596891,hihp
9,10,0.0369944852941176,6.503221695913988,hihp
9,11,0.0358455882352941,4.551813260597341,hihp
9,12,0.0344669117647058,4.826588069033973,C
9,13,0.0652573529411764,13.07538914680481,hihp
9,14,0.0266544117647058,4.594635201727643,C
9,15,0.0211397058823529,0.706038382013931,D
10,0,0.046875,6.882362153600244,hihp
10,1,0.0321691176470588,2.49501343641211,D
10,2,0.0294117647058823,3.265574680531726,D
10,3,0.049172794117647,8.330690165652948,hihp
10,4,0.049172794117647,7.071068286895752,hihp
10,5,0.0220588235294117,4.160886661094778,C
10,6,0.0317095588235294,4.604194725261015,C
10,7,0.0381433823529411,2.9883231143741047,hilp
10,8,0.0386029411764705,6.230660234304035,hihp
10,9,0.0553768382352941,6.530037055997288,hihp
10,10,0.0248161764705882,2.5538821566630814,D
10,11,0.0238970588235294,1.0597050012472795,D
10,12,0.0358455882352941,3.4938786345369675,hihp
10,13,0.0583639705882352,8.350111829883913,hihp
10,14,0.0482536764705882,5.444754204329322,hihp
10,15,0.0349264705882352,5.461147550274344,C
11,0,0.0353860294117647,5.195773174657541,C
11,1,0.0232077205882352,4.21538616541554,C
11,2,0.0326286764705882,0.3275882761706324,D
11,3,0.0275735294117647,1.6761828029856962,D
11,4,0.0337775735294117,6.879230951561647,C
11,5,0.0489430147058823,9.468992236782524,hihp
11,6,0.0303308823529411,2.666050397352699,D
11,7,0.0342371323529411,5.5531732849776745,C
11,8,0.0680147058823529,10.080206253949331,hihp
11,9,0.0261948529411764,2.685417659142438,D
11,10,0.0289522058823529,3.9875608524855446,C
11,11,0.0183823529411764,0.4985339901793529,D
11,12,0.0420496323529411,8.760027398081387,hihp
11,13,0.0330882352941176,3.941481830004383,C
11,14,0.033547794117647,6.073497450965292,C
11,15,0.0344669117647058,3.472448084503412,D
12,0,0.0280330882352941,5.887832493685624,C
12,1,0.0427389705882352,8.04264730740996,hihp
12,2,0.0422794117647058,8.54701660135213,hihp
12,3,0.0459558823529411,5.97282331787488,hihp
12,4,0.046875,7.886423178893678,hihp
12,5,0.0294117647058823,4.813567483249833,C
12,6,0.0264246323529411,2.6289483580519173,D
12,7,0.0287224264705882,9.823000353925368,C
12,8,0.025735294117647,0.3105951524613535,D
12,9,0.0275735294117647,3.745162065414821,C
12,10,0.0170036764705882,1.116083927671699,D
12,11,0.033547794117647,1.6709705766509562,D
