trial_id,layer,head,perturbation_l2
P101_10027,0,0,4.443598747253418
P101_10027,0,1,3.665356159210205
P101_10027,0,2,11.81006145477295
P101_10027,0,3,1.2263671159744263
P101_10027,0,4,0.21002857387065887
P101_10027,0,5,3.6047134399414062
P101_10027,0,6,2.34588885307312
P101_10027,0,7,8.055624008178711
P101_10027,0,8,7.186564922332764
P101_10027,0,9,4.176377773284912
P101_10027,0,10,0.49264711141586304
P101_10027,0,11,0.7865937948226929
P101_10027,0,12,0.11978842318058014
P101_10027,0,13,3.6342272758483887
P101_10027,0,14,10.292586326599121
P101_10027,0,15,23.202117919921875
P101_10027,1,0,5.839173316955566
P101_10027,1,1,0.13211002945899963
P101_10027,1,2,16.517227172851562
P101_10027,1,3,0.4159082770347595
P101_10027,1,4,20.676700592041016
P101_10027,1,5,15.26559066772461
P101_10027,1,6,0.5315712094306946
P101_10027,1,7,0.6933820247650146
P101_10027,1,8,0.3585302233695984
P101_10027,1,9,5.182219982147217
P101_10027,1,10,0.5169721245765686
P101_10027,1,11,4.86550760269165
P101_10027,1,12,0.11364101618528366
P101_10027,1,13,0.630854070186615
P101_10027,1,14,13.82980728149414
P101_10027,1,15,1.13441801071167
P101_10027,2,0,18.054603576660156
P101_10027,2,1,4.636054039001465
P101_10027,2,2,8.745269775390625
P101_10027,2,3,13.806862831115723
P101_10027,2,4,16.572479248046875
P101_10027,2,5,8.556047439575195
P101_10027,2,6,1.682412028312683
P101_10027,2,7,7.719359397888184
P101_10027,2,8,12.296821594238281
P101_10027,2,9,11.78837776184082
P101_10027,2,10,8.52145767211914
P101_10027,2,11,14.772848129272461
P101_10027,2,12,0.4980514645576477
P101_10027,2,13,2.5888044834136963
P101_10027,2,14,4.427195072174072
P101_10027,2,15,8.694353103637695
P101_10027,3,0,1.0131733417510986
P101_10027,3,1,4.634732246398926
P101_10027,3,2,3.4475014209747314
P101_10027,3,3,4.970801830291748
P101_10027,3,4,1.3425933122634888
P101_10027,3,5,6.945655345916748
P101_10027,3,6,1.378598690032959
P101_10027,3,7,0.3616926372051239
P101_10027,3,8,8.249859809875488
P101_10027,3,9,9.185145378112793
P101_10027,3,10,8.360618591308594
P101_10027,3,11,10.368193626403809
P101_10027,3,12,8.684920310974121
P101_10027,3,13,7.638487339019775
P101_10027,3,14,1.731295108795166
P101_10027,3,15,4.377621173858643
P101_10027,4,0,10.3154935836792
P101_10027,4,1,11.83003044128418
P101_10027,4,2,8.216313362121582
P101_10027,4,3,8.819131851196289
P101_10027,4,4,3.797559976577759
P101_10027,4,5,4.035808563232422
P101_10027,4,6,4.023150444030762
P101_10027,4,7,2.0033743381500244
P101_10027,4,8,10.228405952453613
P101_10027,4,9,3.7276289463043213
P101_10027,4,10,3.5307939052581787
P101_10027,4,11,2.8951480388641357
P101_10027,4,12,6.860620021820068
P101_10027,4,13,4.521011829376221
P101_10027,4,14,5.606888771057129
P101_10027,4,15,14.806892395019531
P101_10027,5,0,0.14459829032421112
P101_10027,5,1,0.6290522813796997
P101_10027,5,2,11.049155235290527
P101_10027,5,3,9.335041046142578
P101_10027,5,4,14.731542587280273
P101_10027,5,5,5.7821946144104
P101_10027,5,6,7.312249660491943
P101_10027,5,7,0.1932721734046936
P101_10027,5,8,12.11765193939209
P101_10027,5,9,14.740482330322266
P101_10027,5,10,0.8542194962501526
P101_10027,5,11,0.7821256518363953
P101_10027,5,12,14.208237648010254
P101_10027,5,13,9.300836563110352
P101_10027,5,14,3.364407539367676
P101_10027,5,15,0.17640390992164612
P101_10027,6,0,7.004947662353516
P101_10027,6,1,0.3457408845424652
P101_10027,6,2,10.621328353881836
P101_10027,6,3,1.139432668685913
P101_10027,6,4,9.73594856262207
P101_10027,6,5,2.3258485794067383
P101_10027,6,6,3.7191598415374756
P101_10027,6,7,2.935600757598877
P101_10027,6,8,1.2637982368469238
P101_10027,6,9,6.080021858215332
P101_10027,6,10,0.5909568667411804
P101_10027,6,11,6.731499195098877
P101_10027,6,12,10.574176788330078
P101_10027,6,13,9.751269340515137
P101_10027,6,14,4.81045389175415
P101_10027,6,15,5.182999610900879
P101_10027,7,0,0.047282006591558456
P101_10027,7,1,0.08623014390468597
P101_10027,7,2,6.808351039886475
P101_10027,7,3,5.823078632354736
P101_10027,7,4,3.977027654647827
P101_10027,7,5,10.751729965209961
P101_10027,7,6,10.867074966430664
P101_10027,7,7,0.24330881237983704
P101_10027,7,8,13.914669036865234
P101_10027,7,9,15.234858512878418
P101_10027,7,10,0.10841777175664902
P101_10027,7,11,0.06922344863414764
P101_10027,7,12,13.263394355773926
P101_10027,7,13,5.260316848754883
P101_10027,7,14,8.90798568725586
P101_10027,7,15,8.113653182983398
P101_10027,8,0,7.587499618530273
P101_10027,8,1,4.408644676208496
P101_10027,8,2,3.572654962539673
P101_10027,8,3,5.661428451538086
P101_10027,8,4,4.231594085693359
P101_10027,8,5,3.278602361679077
P101_10027,8,6,10.042327880859375
P101_10027,8,7,7.666175842285156
P101_10027,8,8,4.258225440979004
P101_10027,8,9,4.445370674133301
P101_10027,8,10,5.089035987854004
P101_10027,8,11,6.011421203613281
P101_10027,8,12,8.20166015625
P101_10027,8,13,7.229815483093262
P101_10027,8,14,3.0527992248535156
P101_10027,8,15,2.1343531608581543
P101_10027,9,0,9.252182960510254
P101_10027,9,1,9.873286247253418
P101_10027,9,2,0.14379683136940002
P101_10027,9,3,0.12308194488286972
P101_10027,9,4,5.668493747711182
P101_10027,9,5,11.653770446777344
P101_10027,9,6,2.034181833267212
P101_10027,9,7,13.244029998779297
P101_10027,9,8,7.194759368896484
P101_10027,9,9,9.12572956085205
P101_10027,9,10,9.03619384765625
P101_10027,9,11,7.309638500213623
P101_10027,9,12,2.0235538482666016
P101_10027,9,13,3.5206515789031982
P101_10027,9,14,4.9648895263671875
P101_10027,9,15,0.23089084029197693
P101_10027,10,0,8.040817260742188
P101_10027,10,1,1.153728723526001
P101_10027,10,2,0.9054142236709595
P101_10027,10,3,6.923260688781738
P101_10027,10,4,6.222609043121338
P101_10027,10,5,4.849438667297363
P101_10027,10,6,4.582956314086914
P101_10027,10,7,1.9296075105667114
P101_10027,10,8,7.717414855957031
P101_10027,10,9,8.149216651916504
P101_10027,10,10,0.5289034247398376
P101_10027,10,11,1.329308271408081
P101_10027,10,12,3.2497599124908447
P101_10027,10,13,8.53126049041748
P101_10027,10,14,6.1853227615356445
P101_10027,10,15,5.3757734298706055
P101_10027,11,0,7.876168251037598
P101_10027,11,1,4.431349277496338
P101_10027,11,2,0.11514806002378464
P101_10027,11,3,0.6946843266487122
P101_10027,11,4,6.41035270690918
P101_10027,11,5,11.332359313964844
P101_10027,11,6,1.368454098701477
P101_10027,11,7,6.731155872344971
P101_10027,11,8,7.835003852844238
P101_10027,11,9,2.0987205505371094
P101_10027,11,10,6.005283355712891
P101_10027,11,11,0.21043622493743896
P101_10027,11,12,9.143242835998535
P101_10027,11,13,3.512373924255371
P101_10027,11,14,4.062716007232666
P101_10027,11,15,1.5168440341949463
P101_10027,12,0,5.112004280090332
P101_10027,12,1,6.082175254821777
P101_10027,12,2,10.803504943847656
P101_10027,12,3,5.731659412384033
P101_10027,12,4,6.606143951416016
P101_10027,12,5,5.150567054748535
P101_10027,12,6,1.0837457180023193
P101_10027,12,7,8.953166961669922
P101_10027,12,8,1.19961416721344
P101_10027,12,9,1.6747424602508545
P101_10027,12,10,0.5706378221511841
P101_10027,12,11,1.0637102127075195
P101_10027,12,12,2.548565149307251
P101_10027,12,13,8.059200286865234
P101_10027,12,14,0.25821369886398315
P101_10027,12,15,0.4425308406352997
P101_10027,13,0,3.341320037841797
P101_10027,13,1,3.264693260192871
P101_10027,13,2,1.0050503015518188
P101_10027,13,3,7.146186828613281
P101_10027,13,4,0.0179545097053051
P101_10027,13,5,0.332110732793808
P101_10027,13,6,10.026735305786133
P101_10027,13,7,0.021314503625035286
P101_10027,13,8,10.991426467895508
P101_10027,13,9,11.330305099487305
P101_10027,13,10,1.959827184677124
P101_10027,13,11,4.097952842712402
P101_10027,13,12,4.267815113067627
P101_10027,13,13,3.522066354751587
P101_10027,13,14,7.3508782386779785
P101_10027,13,15,1.5746104717254639
P101_10027,14,0,3.514660358428955
P101_10027,14,1,1.521370768547058
P101_10027,14,2,11.411199569702148
P101_10027,14,3,8.467935562133789
P101_10027,14,4,2.155136823654175
P101_10027,14,5,8.722186088562012
P101_10027,14,6,6.103976726531982
P101_10027,14,7,6.801858901977539
P101_10027,14,8,0.4020096957683563
P101_10027,14,9,2.365152597427368
P101_10027,14,10,10.43929672241211
P101_10027,14,11,7.063113212585449
P101_10027,14,12,0.8487246632575989
P101_10027,14,13,0.09413255751132965
P101_10027,14,14,4.3585381507873535
P101_10027,14,15,6.750117778778076
P101_10027,15,0,8.255228996276855
P101_10027,15,1,8.89047622680664
P101_10027,15,2,4.709714889526367
P101_10027,15,3,0.2987617254257202
P101_10027,15,4,9.109131813049316
P101_10027,15,5,6.141306400299072
P101_10027,15,6,5.112425804138184
P101_10027,15,7,3.268725633621216
P101_10027,15,8,5.629347801208496
P101_10027,15,9,12.790206909179688
P101_10027,15,10,4.411816596984863
P101_10027,15,11,2.692810297012329
P101_10027,15,12,3.27422833442688
P101_10027,15,13,2.0456113815307617
P101_10027,15,14,7.762474060058594
P101_10027,15,15,12.158204078674316
P101_10027,16,0,7.230475902557373
P101_10027,16,1,9.475077629089355
P101_10027,16,2,4.762396335601807
P101_10027,16,3,0.6596143841743469
P101_10027,16,4,8.980873107910156
P101_10027,16,5,3.181917905807495
P101_10027,16,6,0.8220410943031311
P101_10027,16,7,4.0386271476745605
P101_10027,16,8,1.7793055772781372
P101_10027,16,9,2.09320330619812
P101_10027,16,10,0.7898910045623779
P101_10027,16,11,2.254307746887207
P101_10027,16,12,0.4695494472980499
P101_10027,16,13,0.4812917113304138
P101_10027,16,14,1.271957278251648
P101_10027,16,15,0.19827258586883545
P101_10027,17,0,1.3665595054626465
P101_10027,17,1,0.48010122776031494
P101_10027,17,2,4.538932800292969
P101_10027,17,3,2.756220817565918
P101_10027,17,4,0.13543273508548737
P101_10027,17,5,0.3247850239276886
P101_10027,17,6,1.8434773683547974
P101_10027,17,7,5.333456039428711
P101_10027,17,8,0.8211938738822937
P101_10027,17,9,0.5111377835273743
P101_10027,17,10,4.136730194091797
P101_10027,17,11,3.618472099304199
P101_10027,17,12,4.779662132263184
P101_10027,17,13,15.060450553894043
P101_10027,17,14,7.669842720031738
P101_10027,17,15,4.3947014808654785
P101_10027,18,0,4.790605545043945
P101_10027,18,1,2.33986496925354
P101_10027,18,2,0.8254179954528809
P101_10027,18,3,3.623166084289551
P101_10027,18,4,1.1966267824172974
P101_10027,18,5,9.201499938964844
P101_10027,18,6,6.956655979156494
P101_10027,18,7,2.5235416889190674
P101_10027,18,8,1.48150634765625
P101_10027,18,9,4.518524169921875
P101_10027,18,10,0.2080605924129486
P101_10027,18,11,4.3291521072387695
P101_10027,18,12,9.838265419006348
P101_10027,18,13,11.652608871459961
P101_10027,18,14,3.922851085662842
P101_10027,18,15,4.473984241485596
P101_10027,19,0,5.949920654296875
P101_10027,19,1,4.809087753295898
P101_10027,19,2,4.6795172691345215
P101_10027,19,3,8.02965259552002
P101_10027,19,4,8.034781455993652
P101_10027,19,5,7.487325191497803
P101_10027,19,6,1.3236323595046997
P101_10027,19,7,2.9591381549835205
P101_10027,19,8,1.9016813039779663
P101_10027,19,9,3.0785508155822754
P101_10027,19,10,0.726180374622345
P101_10027,19,11,1.8023183345794678
P101_10027,19,12,9.479593276977539
P101_10027,19,13,5.0591607093811035
P101_10027,19,14,10.868693351745605
P101_10027,19,15,2.417010545730591
P101_10027,20,0,10.088773727416992
P101_10027,20,1,5.3227458000183105
P101_10027,20,2,5.6154680252075195
P101_10027,20,3,6.578997611999512
P101_10027,20,4,9.883040428161621
P101_10027,20,5,4.293370246887207
P101_10027,20,6,1.5637329816818237
P101_10027,20,7,5.554785251617432
P101_10027,20,8,2.630417585372925
P101_10027,20,9,6.649106979370117
P101_10027,20,10,4.1421942710876465
P101_10027,20,11,2.8036842346191406
P101_10027,20,12,4.166554927825928
P101_10027,20,13,8.366315841674805
P101_10027,20,14,2.084484815597534
P101_10027,20,15,4.714456558227539
P101_10027,21,0,4.8810930252075195
P101_10027,21,1,11.017155647277832
P101_10027,21,2,3.0795726776123047
P101_10027,21,3,2.931701183319092
P101_10027,21,4,5.550445079803467
P101_10027,21,5,6.1159210205078125
P101_10027,21,6,3.6486058235168457
P101_10027,21,7,5.162816524505615
P101_10027,21,8,5.804255485534668
P101_10027,21,9,6.074412822723389
P101_10027,21,10,8.876420021057129
P101_10027,21,11,6.846714019775391
P101_10027,21,12,0.8868963718414307
P101_10027,21,13,2.0172653198242188
P101_10027,21,14,4.881545543670654
P101_10027,21,15,5.44757604598999
P101_10027,22,0,6.753110885620117
P101_10027,22,1,8.798385620117188
P101_10027,22,2,8.725732803344727
P101_10027,22,3,9.037130355834961
P101_10027,22,4,1.9847636222839355
P101_10027,22,5,5.902799606323242
P101_10027,22,6,4.648493766784668
P101_10027,22,7,6.516364574432373
P101_10027,22,8,13.284608840942383
P101_10027,22,9,10.051496505737305
P101_10027,22,10,9.495498657226562
P101_10027,22,11,6.846704959869385
P101_10027,22,12,4.311995983123779
P101_10027,22,13,5.002267360687256
P101_10027,22,14,6.009920120239258
P101_10027,22,15,6.313268184661865
P101_10027,23,0,5.223982334136963
P101_10027,23,1,5.033517360687256
P101_10027,23,2,2.527467966079712
P101_10027,23,3,1.9708958864212036
P101_10027,23,4,6.327896595001221
P101_10027,23,5,4.589779376983643
P101_10027,23,6,5.868659973144531
P101_10027,23,7,7.64735221862793
P101_10027,23,8,0.8197221159934998
P101_10027,23,9,1.1631951332092285
P101_10027,23,10,5.74600887298584
P101_10027,23,11,0.9900460839271545
P101_10027,23,12,2.9179093837738037
P101_10027,23,13,2.167551040649414
P101_10027,23,14,5.699883460998535
P101_10027,23,15,1.3352270126342773
P101_10027,24,0,0.7692998647689819
P101_10027,24,1,1.16975736618042
P101_10027,24,2,10.936320304870605
P101_10027,24,3,6.1596293449401855
P101_10027,24,4,6.437264442443848
P101_10027,24,5,7.828245162963867
P101_10027,24,6,5.601609706878662
P101_10027,24,7,4.626949310302734
P101_10027,24,8,1.2024288177490234
P101_10027,24,9,0.3827345371246338
P101_10027,24,10,1.4227627515792847
P101_10027,24,11,11.481624603271484
P101_10027,24,12,0.5929110050201416
P101_10027,24,13,0.15929871797561646
P101_10027,24,14,5.3232269287109375
P101_10027,24,15,6.4677815437316895
P101_10027,25,0,6.08120059967041
P101_10027,25,1,8.583700180053711
P101_10027,25,2,5.533696174621582
P101_10027,25,3,3.954400062561035
P101_10027,25,4,5.470495223999023
P101_10027,25,5,3.9148426055908203
P101_10027,25,6,2.5171477794647217
P101_10027,25,7,4.195450782775879
P101_10027,25,8,3.7677788734436035
P101_10027,25,9,6.378904342651367
P101_10027,25,10,8.58841609954834
P101_10027,25,11,1.9025449752807617
P101_10027,25,12,0.38772088289260864
P101_10027,25,13,0.2064165472984314
P101_10027,25,14,6.726942539215088
P101_10027,25,15,2.8806722164154053
P101_10027,26,0,1.1214382648468018
P101_10027,26,1,2.6598052978515625
P101_10027,26,2,10.727256774902344
P101_10027,26,3,6.440184593200684
