layer,head,importance_signed,abs_importance,perturbation_l2,cell_abs,cell_signed,abs_imp_median,pert_median,is_gt,gt_role
0,0,0.005793094635009766,0.005793094635009766,0.12925738096237183,D,B,0.009945392608642578,0.19803574681282043,0,
0,1,-0.22273659706115723,0.22273659706115723,0.00022242894920054823,B,D,0.009945392608642578,0.19803574681282043,1,Duplicate_Token
0,2,-0.0019011497497558594,0.0019011497497558594,0.040853772312402725,D,D,0.009945392608642578,0.19803574681282043,0,
0,3,-0.07674479484558105,0.07674479484558105,0.0032090232707560062,B,D,0.009945392608642578,0.19803574681282043,0,
0,4,-0.016943693161010742,0.016943693161010742,0.024142256006598473,B,D,0.009945392608642578,0.19803574681282043,0,
0,5,-0.11651754379272461,0.11651754379272461,0.0009519335580989718,B,D,0.009945392608642578,0.19803574681282043,0,
0,6,0.006094455718994141,0.006094455718994141,0.19110094010829926,D,B,0.009945392608642578,0.19803574681282043,0,
0,7,-0.011157512664794922,0.011157512664794922,0.12597057223320007,B,D,0.009945392608642578,0.19803574681282043,0,
0,8,0.01913166046142578,0.01913166046142578,0.010336633771657944,B,B,0.009945392608642578,0.19803574681282043,0,
0,9,0.0022590160369873047,0.0022590160369873047,0.07285654544830322,D,B,0.009945392608642578,0.19803574681282043,0,
0,10,0.07829737663269043,0.07829737663269043,0.06252054870128632,B,B,0.009945392608642578,0.19803574681282043,1,Duplicate_Token
0,11,0.0065004825592041016,0.0065004825592041016,0.07579406350851059,D,B,0.009945392608642578,0.19803574681282043,0,
1,0,0.006937503814697266,0.006937503814697266,0.14878186583518982,D,B,0.009945392608642578,0.19803574681282043,0,
1,1,-0.00609135627746582,0.00609135627746582,0.1917836219072342,D,D,0.009945392608642578,0.19803574681282043,0,
1,2,-5.4836273193359375e-05,5.4836273193359375e-05,0.17991994321346283,D,D,0.009945392608642578,0.19803574681282043,0,
1,3,0.0013794898986816406,0.0013794898986816406,0.09754456579685211,D,D,0.009945392608642578,0.19803574681282043,0,
1,4,-0.0029532909393310547,0.0029532909393310547,0.21710370481014252,C,C,0.009945392608642578,0.19803574681282043,0,
1,5,-0.004502773284912109,0.004502773284912109,0.0547061525285244,D,D,0.009945392608642578,0.19803574681282043,0,
1,6,-0.01040196418762207,0.01040196418762207,0.08175428211688995,B,D,0.009945392608642578,0.19803574681282043,0,
1,7,-0.01731109619140625,0.01731109619140625,0.14509317278862,B,D,0.009945392608642578,0.19803574681282043,0,
1,8,0.009928226470947266,0.009928226470947266,0.1399676352739334,D,B,0.009945392608642578,0.19803574681282043,0,
1,9,0.0020453929901123047,0.0020453929901123047,0.1111907884478569,D,D,0.009945392608642578,0.19803574681282043,0,
1,10,-0.0007810592651367188,0.0007810592651367188,0.19656705856323242,D,D,0.009945392608642578,0.19803574681282043,0,
1,11,-0.012647151947021484,0.012647151947021484,0.07773414999246597,B,D,0.009945392608642578,0.19803574681282043,0,
2,0,0.004920005798339844,0.004920005798339844,0.128522589802742,D,B,0.009945392608642578,0.19803574681282043,0,
2,1,-0.019381999969482422,0.019381999969482422,0.054371148347854614,B,D,0.009945392608642578,0.19803574681282043,0,
2,2,0.10468029975891113,0.10468029975891113,0.10629630088806152,B,B,0.009945392608642578,0.19803574681282043,1,Previous_Token
2,3,0.0015156269073486328,0.0015156269073486328,0.2018953561782837,C,C,0.009945392608642578,0.19803574681282043,0,
2,4,-0.017457008361816406,0.017457008361816406,0.11418968439102173,B,D,0.009945392608642578,0.19803574681282043,0,
2,5,0.00926828384399414,0.00926828384399414,0.12754657864570618,D,B,0.009945392608642578,0.19803574681282043,0,
2,6,-0.004545450210571289,0.004545450210571289,0.09429188817739487,D,D,0.009945392608642578,0.19803574681282043,0,
2,7,0.004023313522338867,0.004023313522338867,0.30794230103492737,C,A,0.009945392608642578,0.19803574681282043,0,
2,8,0.008465290069580078,0.008465290069580078,0.1801474541425705,D,B,0.009945392608642578,0.19803574681282043,0,
2,9,0.02720165252685547,0.02720165252685547,0.2108253836631775,A,A,0.009945392608642578,0.19803574681282043,0,
2,10,-0.00640106201171875,0.00640106201171875,0.19950443506240845,C,C,0.009945392608642578,0.19803574681282043,0,
2,11,0.0008339881896972656,0.0008339881896972656,0.09481461346149445,D,D,0.009945392608642578,0.19803574681282043,0,
3,0,0.0011775493621826172,0.0011775493621826172,0.010847450233995914,D,D,0.009945392608642578,0.19803574681282043,1,Duplicate_Token
3,1,-0.00938725471496582,0.00938725471496582,0.11713678389787674,D,D,0.009945392608642578,0.19803574681282043,0,
3,2,-0.005042552947998047,0.005042552947998047,0.22163709998130798,C,C,0.009945392608642578,0.19803574681282043,0,
3,3,0.03432512283325195,0.03432512283325195,0.07995223253965378,B,B,0.009945392608642578,0.19803574681282043,0,
3,4,0.051676034927368164,0.051676034927368164,0.02762598544359207,B,B,0.009945392608642578,0.19803574681282043,0,
3,5,-0.0373234748840332,0.0373234748840332,0.12089336663484573,B,D,0.009945392608642578,0.19803574681282043,0,
3,6,0.12891316413879395,0.12891316413879395,0.4358210861682892,A,A,0.009945392608642578,0.19803574681282043,0,
3,7,0.04611468315124512,0.04611468315124512,0.1736842691898346,B,B,0.009945392608642578,0.19803574681282043,0,
3,8,-0.005086421966552734,0.005086421966552734,0.1377246081829071,D,D,0.009945392608642578,0.19803574681282043,0,
3,9,-0.003992795944213867,0.003992795944213867,0.23281116783618927,C,C,0.009945392608642578,0.19803574681282043,0,
3,10,0.056075334548950195,0.056075334548950195,0.16044683754444122,B,B,0.009945392608642578,0.19803574681282043,0,
3,11,0.0016376972198486328,0.0016376972198486328,0.1413666307926178,D,D,0.009945392608642578,0.19803574681282043,0,
4,0,-0.0008084774017333984,0.0008084774017333984,0.27858662605285645,C,C,0.009945392608642578,0.19803574681282043,0,
4,1,-0.0024802684783935547,0.0024802684783935547,0.09593267738819122,D,D,0.009945392608642578,0.19803574681282043,0,
