layer,head,importance_metric,imp_value,pert_value,hi_imp,hi_pert,cell,imp_median,pert_median,in_gt_circuit,gt_subclass
0,0,signed_ld,0.005793094635009766,0.12925738096237183,True,False,B,0.00216519832611084,0.19803574681282043,False,
0,1,signed_ld,-0.22273659706115723,0.00022242894920054823,False,False,D,0.00216519832611084,0.19803574681282043,True,Duplicate_Token
0,2,signed_ld,-0.0019011497497558594,0.040853772312402725,False,False,D,0.00216519832611084,0.19803574681282043,False,
0,3,signed_ld,-0.07674479484558105,0.0032090232707560062,False,False,D,0.00216519832611084,0.19803574681282043,False,
0,4,signed_ld,-0.016943693161010742,0.024142256006598473,False,False,D,0.00216519832611084,0.19803574681282043,False,
0,5,signed_ld,-0.11651754379272461,0.0009519335580989718,False,False,D,0.00216519832611084,0.19803574681282043,False,
0,6,signed_ld,0.006094455718994141,0.19110094010829926,True,False,B,0.00216519832611084,0.19803574681282043,False,
0,7,signed_ld,-0.011157512664794922,0.12597057223320007,False,False,D,0.00216519832611084,0.19803574681282043,False,
0,8,signed_ld,0.01913166046142578,0.010336633771657944,True,False,B,0.00216519832611084,0.19803574681282043,False,
0,9,signed_ld,0.0022590160369873047,0.07285654544830322,True,False,B,0.00216519832611084,0.19803574681282043,False,
0,10,signed_ld,0.07829737663269043,0.06252054870128632,True,False,B,0.00216519832611084,0.19803574681282043,False,
0,11,signed_ld,0.0065004825592041016,0.07579406350851059,True,False,B,0.00216519832611084,0.19803574681282043,False,
1,0,signed_ld,0.006937503814697266,0.14878186583518982,True,False,B,0.00216519832611084,0.19803574681282043,False,
1,1,signed_ld,-0.00609135627746582,0.1917836219072342,False,False,D,0.00216519832611084,0.19803574681282043,False,
1,2,signed_ld,-5.4836273193359375e-05,0.17991994321346283,False,False,D,0.00216519832611084,0.19803574681282043,False,
1,3,signed_ld,0.0013794898986816406,0.09754456579685211,False,False,D,0.00216519832611084,0.19803574681282043,False,
1,4,signed_ld,-0.0029532909393310547,0.21710370481014252,False,True,C,0.00216519832611084,0.19803574681282043,False,
1,5,signed_ld,-0.004502773284912109,0.0547061525285244,False,False,D,0.00216519832611084,0.19803574681282043,False,
1,6,signed_ld,-0.01040196418762207,0.08175428211688995,False,False,D,0.00216519832611084,0.19803574681282043,False,
1,7,signed_ld,-0.01731109619140625,0.14509317278862,False,False,D,0.00216519832611084,0.19803574681282043,False,
1,8,signed_ld,0.009928226470947266,0.1399676352739334,True,False,B,0.00216519832611084,0.19803574681282043,False,
1,9,signed_ld,0.0020453929901123047,0.1111907884478569,False,False,D,0.00216519832611084,0.19803574681282043,False,
1,10,signed_ld,-0.0007810592651367188,0.19656705856323242,False,False,D,0.00216519832611084,0.19803574681282043,False,
1,11,signed_ld,-0.012647151947021484,0.07773414999246597,False,False,D,0.00216519832611084,0.19803574681282043,False,
2,0,signed_ld,0.004920005798339844,0.128522589802742,True,False,B,0.00216519832611084,0.19803574681282043,False,
2,1,signed_ld,-0.019381999969482422,0.054371148347854614,False,False,D,0.00216519832611084,0.19803574681282043,False,
2,2,signed_ld,0.10468029975891113,0.10629630088806152,True,False,B,0.00216519832611084,0.19803574681282043,True,Previous_Token
2,3,signed_ld,0.0015156269073486328,0.2018953561782837,False,True,C,0.00216519832611084,0.19803574681282043,False,
2,4,signed_ld,-0.017457008361816406,0.11418968439102173,False,False,D,0.00216519832611084,0.19803574681282043,False,
2,5,signed_ld,0.00926828384399414,0.12754657864570618,True,False,B,0.00216519832611084,0.19803574681282043,False,
2,6,signed_ld,-0.004545450210571289,0.09429188817739487,False,False,D,0.00216519832611084,0.19803574681282043,False,
2,7,signed_ld,0.004023313522338867,0.30794230103492737,True,True,A,0.00216519832611084,0.19803574681282043,False,
2,8,signed_ld,0.008465290069580078,0.1801474541425705,True,False,B,0.00216519832611084,0.19803574681282043,False,
2,9,signed_ld,0.02720165252685547,0.2108253836631775,True,True,A,0.00216519832611084,0.19803574681282043,False,
2,10,signed_ld,-0.00640106201171875,0.19950443506240845,False,True,C,0.00216519832611084,0.19803574681282043,False,
2,11,signed_ld,0.0008339881896972656,0.09481461346149445,False,False,D,0.00216519832611084,0.19803574681282043,False,
3,0,signed_ld,0.0011775493621826172,0.010847450233995914,False,False,D,0.00216519832611084,0.19803574681282043,True,Duplicate_Token
3,1,signed_ld,-0.00938725471496582,0.11713678389787674,False,False,D,0.00216519832611084,0.19803574681282043,False,
3,2,signed_ld,-0.005042552947998047,0.22163709998130798,False,True,C,0.00216519832611084,0.19803574681282043,False,
3,3,signed_ld,0.03432512283325195,0.07995223253965378,True,False,B,0.00216519832611084,0.19803574681282043,False,
3,4,signed_ld,0.051676034927368164,0.02762598544359207,True,False,B,0.00216519832611084,0.19803574681282043,False,
3,5,signed_ld,-0.0373234748840332,0.12089336663484573,False,False,D,0.00216519832611084,0.19803574681282043,False,
3,6,signed_ld,0.12891316413879395,0.4358210861682892,True,True,A,0.00216519832611084,0.19803574681282043,False,
3,7,signed_ld,0.04611468315124512,0.1736842691898346,True,False,B,0.00216519832611084,0.19803574681282043,False,
3,8,signed_ld,-0.005086421966552734,0.1377246081829071,False,False,D,0.00216519832611084,0.19803574681282043,False,
