layer,head,causal_imp
0,0,0.01875
0,1,0.0125
0,2,0.01875
0,3,0.013541666666666667
0,4,0.01875
0,5,0.021875
0,6,0.021875
0,7,0.021875
0,8,0.021875
0,9,0.01875
0,10,0.016666666666666666
0,11,0.019791666666666666
0,12,0.014583333333333334
0,13,0.016666666666666666
0,14,0.019791666666666666
0,15,0.01875
0,16,0.019791666666666666
0,17,0.016666666666666666
0,18,0.01875
0,19,0.017708333333333333
0,20,0.020833333333333332
0,21,0.019791666666666666
0,22,0.015625
0,23,0.025
0,24,0.0125
0,25,0.01875
0,26,0.022916666666666665
0,27,0.016666666666666666
0,28,0.01875
0,29,0.01875
0,30,0.01875
0,31,0.016666666666666666
0,32,0.017708333333333333
0,33,0.020833333333333332
0,34,0.017708333333333333
0,35,0.016666666666666666
0,36,0.013541666666666667
0,37,0.014583333333333334
0,38,0.020833333333333332
0,39,0.020833333333333332
0,40,0.01875
0,41,0.027083333333333334
0,42,0.017708333333333333
0,43,0.016666666666666666
0,44,0.017708333333333333
0,45,0.014583333333333334
0,46,0.015625
0,47,0.017708333333333333
0,48,0.019791666666666666
0,49,0.01875
0,50,0.025
0,51,0.019791666666666666
0,52,0.023958333333333335
0,53,0.019791666666666666
0,54,0.026041666666666668
0,55,0.014583333333333334
0,56,0.021875
0,57,0.019791666666666666
0,58,0.017708333333333333
0,59,0.016666666666666666
0,60,0.017708333333333333
0,61,0.014583333333333334
0,62,0.016666666666666666
0,63,0.01875
1,0,0.019791666666666666
1,1,0.020833333333333332
1,2,0.021875
1,3,0.025
1,4,0.019791666666666666
1,5,0.015625
1,6,0.025
1,7,0.016666666666666666
1,8,0.017708333333333333
1,9,0.020833333333333332
1,10,0.023958333333333335
1,11,0.015625
1,12,0.023958333333333335
1,13,0.022916666666666665
1,14,0.025
1,15,0.014583333333333334
1,16,0.030208333333333334
1,17,0.03125
1,18,0.03125
1,19,0.029166666666666667
1,20,0.026041666666666668
1,21,0.03229166666666667
1,22,0.034375
1,23,0.029166666666666667
1,24,0.026041666666666668
1,25,0.023958333333333335
1,26,0.035416666666666666
1,27,0.029166666666666667
1,28,0.028125
1,29,0.027083333333333334
1,30,0.03333333333333333
1,31,0.035416666666666666
1,32,0.034375
1,33,0.029166666666666667
1,34,0.030208333333333334
1,35,0.03125
1,36,0.030208333333333334
1,37,0.028125
1,38,0.027083333333333334
1,39,0.036458333333333336
1,40,0.027083333333333334
1,41,0.025
1,42,0.028125
1,43,0.03229166666666667
1,44,0.03333333333333333
1,45,0.03229166666666667
1,46,0.03125
1,47,0.028125
1,48,0.028125
1,49,0.028125
1,50,0.027083333333333334
1,51,0.026041666666666668
1,52,0.030208333333333334
1,53,0.03125
1,54,0.03333333333333333
1,55,0.034375
1,56,0.025
1,57,0.03125
1,58,0.027083333333333334
1,59,0.03125
1,60,0.029166666666666667
1,61,0.0375
1,62,0.027083333333333334
1,63,0.030208333333333334
2,0,0.03125
2,1,0.029166666666666667
2,2,0.027083333333333334
2,3,0.027083333333333334
2,4,0.028125
2,5,0.03333333333333333
2,6,0.027083333333333334
2,7,0.028125
2,8,0.030208333333333334
2,9,0.028125
2,10,0.03125
2,11,0.029166666666666667
2,12,0.03229166666666667
2,13,0.03333333333333333
2,14,0.025
2,15,0.029166666666666667
2,16,0.03229166666666667
2,17,0.027083333333333334
2,18,0.03125
2,19,0.029166666666666667
2,20,0.029166666666666667
2,21,0.03125
2,22,0.025
2,23,0.030208333333333334
2,24,0.03229166666666667
2,25,0.034375
2,26,0.025
2,27,0.03333333333333333
2,28,0.029166666666666667
2,29,0.026041666666666668
2,30,0.03125
2,31,0.03229166666666667
2,32,0.030208333333333334
2,33,0.025
2,34,0.025
2,35,0.030208333333333334
2,36,0.027083333333333334
2,37,0.025
2,38,0.023958333333333335
2,39,0.03333333333333333
2,40,0.030208333333333334
2,41,0.028125
2,42,0.030208333333333334
2,43,0.026041666666666668
2,44,0.029166666666666667
2,45,0.027083333333333334
2,46,0.025
2,47,0.030208333333333334
2,48,0.027083333333333334
2,49,0.028125
2,50,0.029166666666666667
2,51,0.030208333333333334
2,52,0.028125
2,53,0.030208333333333334
2,54,0.025
2,55,0.030208333333333334
2,56,0.026041666666666668
2,57,0.026041666666666668
2,58,0.029166666666666667
2,59,0.028125
2,60,0.028125
2,61,0.025
2,62,0.028125
2,63,0.03125
3,0,0.026041666666666668
3,1,0.028125
3,2,0.034375
3,3,0.027083333333333334
3,4,0.034375
3,5,0.030208333333333334
3,6,0.03333333333333333
3,7,0.030208333333333334
3,8,0.028125
3,9,0.028125
3,10,0.03229166666666667
3,11,0.028125
3,12,0.030208333333333334
3,13,0.030208333333333334
3,14,0.03125
3,15,0.025
3,16,0.026041666666666668
3,17,0.03125
3,18,0.023958333333333335
3,19,0.023958333333333335
3,20,0.030208333333333334
3,21,0.027083333333333334
3,22,0.027083333333333334
3,23,0.03125
3,24,0.030208333333333334
3,25,0.027083333333333334
3,26,0.023958333333333335
3,27,0.027083333333333334
3,28,0.023958333333333335
3,29,0.030208333333333334
3,30,0.036458333333333336
3,31,0.025
3,32,0.026041666666666668
3,33,0.027083333333333334
3,34,0.029166666666666667
3,35,0.03125
3,36,0.025
3,37,0.022916666666666665
3,38,0.027083333333333334
3,39,0.027083333333333334
3,40,0.028125
3,41,0.026041666666666668
3,42,0.027083333333333334
3,43,0.034375
3,44,0.03125
3,45,0.029166666666666667
3,46,0.029166666666666667
3,47,0.025
3,48,0.027083333333333334
3,49,0.030208333333333334
3,50,0.030208333333333334
3,51,0.027083333333333334
3,52,0.03125
3,53,0.027083333333333334
