layer,head,causal_imp,perturbation_L2,cell_new_abs,causal_imp_median,perturbation_median
0,0,0.01875,0.000523134949617,D_p,0.030208333333333334,0.033695036545395796
0,1,0.0125,0.0006080424063839,D_p,0.030208333333333334,0.033695036545395796
0,2,0.01875,0.0005508617032319,D_p,0.030208333333333334,0.033695036545395796
0,3,0.013541666666666667,0.0021974639967083,D_p,0.030208333333333334,0.033695036545395796
0,4,0.01875,0.0003518274752423,D_p,0.030208333333333334,0.033695036545395796
0,5,0.021875,0.0009680935181677,D_p,0.030208333333333334,0.033695036545395796
0,6,0.021875,0.0010886006057262,D_p,0.030208333333333334,0.033695036545395796
0,7,0.021875,0.0008181185112334,D_p,0.030208333333333334,0.033695036545395796
0,8,0.021875,0.0014713612617924,D_p,0.030208333333333334,0.033695036545395796
0,9,0.01875,0.0025568790733814,D_p,0.030208333333333334,0.033695036545395796
0,10,0.016666666666666666,0.0038464949466288,D_p,0.030208333333333334,0.033695036545395796
0,11,0.019791666666666666,0.0036790512967854,D_p,0.030208333333333334,0.033695036545395796
0,12,0.014583333333333334,0.0019293308723717,D_p,0.030208333333333334,0.033695036545395796
0,13,0.016666666666666666,0.0034190537407994,D_p,0.030208333333333334,0.033695036545395796
0,14,0.019791666666666666,0.0029652679804712,D_p,0.030208333333333334,0.033695036545395796
0,15,0.01875,0.0027456863317638,D_p,0.030208333333333334,0.033695036545395796
0,16,0.019791666666666666,0.0010193438502028,D_p,0.030208333333333334,0.033695036545395796
0,17,0.016666666666666666,0.0010372940450906,D_p,0.030208333333333334,0.033695036545395796
0,18,0.01875,0.0004400187171995,D_p,0.030208333333333334,0.033695036545395796
0,19,0.017708333333333333,0.0015455716056749,D_p,0.030208333333333334,0.033695036545395796
0,20,0.020833333333333332,0.0011954554356634,D_p,0.030208333333333334,0.033695036545395796
0,21,0.019791666666666666,0.0009145574294961,D_p,0.030208333333333334,0.033695036545395796
0,22,0.015625,0.0017504866700619,D_p,0.030208333333333334,0.033695036545395796
0,23,0.025,0.0027215161826461,D_p,0.030208333333333334,0.033695036545395796
0,24,0.0125,0.0039945673197507,D_p,0.030208333333333334,0.033695036545395796
0,25,0.01875,0.0026526460424065,D_p,0.030208333333333334,0.033695036545395796
0,26,0.022916666666666665,0.0033345071133226,D_p,0.030208333333333334,0.033695036545395796
0,27,0.016666666666666666,0.0055486066266894,D_p,0.030208333333333334,0.033695036545395796
0,28,0.01875,0.0014502104604616,D_p,0.030208333333333334,0.033695036545395796
0,29,0.01875,0.0030186087824404,D_p,0.030208333333333334,0.033695036545395796
0,30,0.01875,0.0014123392757028,D_p,0.030208333333333334,0.033695036545395796
0,31,0.016666666666666666,0.0029151467606425,D_p,0.030208333333333334,0.033695036545395796
0,32,0.017708333333333333,0.0012341224355623,D_p,0.030208333333333334,0.033695036545395796
0,33,0.020833333333333332,0.0001210259797517,D_p,0.030208333333333334,0.033695036545395796
0,34,0.017708333333333333,0.0037341064307838,D_p,0.030208333333333334,0.033695036545395796
0,35,0.016666666666666666,0.0023504253476858,D_p,0.030208333333333334,0.033695036545395796
0,36,0.013541666666666667,0.0008104831795208,D_p,0.030208333333333334,0.033695036545395796
0,37,0.014583333333333334,5.806994067825144e-06,D_p,0.030208333333333334,0.033695036545395796
0,38,0.020833333333333332,0.0018500156002119,D_p,0.030208333333333334,0.033695036545395796
0,39,0.020833333333333332,0.0024101247545331,D_p,0.030208333333333334,0.033695036545395796
0,40,0.01875,0.0007543227984569,D_p,0.030208333333333334,0.033695036545395796
0,41,0.027083333333333334,0.0004902814980596,D_p,0.030208333333333334,0.033695036545395796
0,42,0.017708333333333333,0.0008531105122528,D_p,0.030208333333333334,0.033695036545395796
0,43,0.016666666666666666,0.0006116681033745,D_p,0.030208333333333334,0.033695036545395796
0,44,0.017708333333333333,0.0010268999030813,D_p,0.030208333333333334,0.033695036545395796
0,45,0.014583333333333334,0.0024345230776816,D_p,0.030208333333333334,0.033695036545395796
0,46,0.015625,0.0009398137917742,D_p,0.030208333333333334,0.033695036545395796
0,47,0.017708333333333333,0.0007258943514898,D_p,0.030208333333333334,0.033695036545395796
0,48,0.019791666666666666,0.0017709521343931,D_p,0.030208333333333334,0.033695036545395796
0,49,0.01875,0.0002033301861956,D_p,0.030208333333333334,0.033695036545395796
0,50,0.025,0.0014281020266935,D_p,0.030208333333333334,0.033695036545395796
0,51,0.019791666666666666,0.000379685399821,D_p,0.030208333333333334,0.033695036545395796
0,52,0.023958333333333335,0.0008619576110504,D_p,0.030208333333333334,0.033695036545395796
