crel_pair,n_C_trials,n_D_trials,c_mean_abs_delta,d_mean_abs_delta,c_minus_d
SAME-OPP,20,20,6.9062,0.0563,6.85
SAME-MORE,20,20,9.0781,0.0875,8.9906
SAME-LESS,20,20,8.3625,0.1062,8.2563
OPP-MORE,20,20,10.5656,0.0688,10.4969
OPP-LESS,20,20,10.5906,0.0563,10.5344
MORE-LESS,20,20,14.6188,0.05,14.5687
