importance_metric,ablation_type,delta_metric,ratio,cell_c_k,cell_d_k,k_equal,cd_ratio_def_b,cd_ratio_def_a,cell_c_mean_def_b,cell_d_mean_def_b,cell_c_mean_def_a,cell_d_mean_def_a
signed,resample,gt_score,0.01,2,2,True,3.9243109895261736,0.8402168634939685,0.0005732731014600745,0.00014608248505027177,0.0005749728240667196,0.0006843147871083488
signed,resample,gt_score,0.03,5,5,True,5.441460488317683,1.7159943325329043,0.00117878358205445,0.0002166299993513121,0.0012181197057364557,0.0007098623128541703
signed,resample,gt_score,0.05,8,8,True,4.19484196581931,1.762937938309443,0.001212463472701586,0.00028903674621858497,0.0013111882877822722,0.0007437518129762566
signed,resample,gt_score,0.07,11,11,True,3.6015185539478702,1.834072500917773,0.0013717110357251271,0.0003808701843897211,0.001402402912870855,0.0007646387545580069
signed,resample,gt_score,0.1,15,15,True,3.0257073591132007,2.1294285554363146,0.002101937901317399,0.0006946930591243472,0.0021061505217417676,0.0009890684129152305
signed,resample,gt_score,0.12,18,18,True,4.768632358667667,3.369070180542217,0.003337235312216933,0.0006998306980304391,0.0033446335962682384,0.0009927467868092775
signed,resample,gt_score,0.15,22,22,True,2.5304111410434236,2.3546204223159006,0.0036823124171003487,0.0014552229704386831,0.00369438779241662,0.0015689950521974084
signed,resample,gt_score,0.2,29,29,True,1.483256950403615,1.477245585783165,0.004788980933708586,0.0032286927308214784,0.004802814939321394,0.0032511959998683436
signed,resample,gt_score,0.3,34,34,True,1.7871631543552209,1.7850088985043822,0.00670093256230416,0.0037494800326284407,0.0067306945899110815,0.0037706784518276495
signed,resample,gt_score,0.5,34,34,True,1.7871631543552209,1.7850088985043822,0.00670093256230416,0.0037494800326284407,0.0067306945899110815,0.0037706784518276495
abs,resample,gt_score,0.01,2,2,True,0.23019600316470284,0.14641339396082487,3.362760419094002e-05,0.00014608248505027177,0.00010019285051811266,0.0006843147871083488
abs,resample,gt_score,0.03,5,5,True,0.4636719088221147,0.5562634046277457,9.044277535025458e-05,0.00019505769840577614,0.0004019586802459685,0.0007226049330262185
abs,resample,gt_score,0.05,8,8,True,0.3573576007415158,0.641658223393622,5.975224753910879e-05,0.0001672057552858064,0.0004697181040239684,0.0007320378464717691
abs,resample,gt_score,0.07,11,11,True,0.04104658656700954,0.7734804875820435,8.80831334541199e-06,0.0002145930778198135,0.0005813635663440664,0.0007516202097889391
abs,resample,gt_score,0.1,15,15,True,0.250752881356872,0.8679555358686332,7.174378937946813e-05,0.0002861135193791142,0.0006994204048939423,0.0008058251557713447
abs,resample,gt_score,0.12,18,18,True,0.02314616931035812,0.7772411841871226,9.664964695446088e-06,0.00041756217047634437,0.0007395428964545658,0.0009514973106166735
abs,resample,gt_score,0.15,22,22,True,0.07889647545183794,0.626293433366025,2.4522738468135685e-05,0.0003108217233747723,0.0006316944088626997,0.0010086237140754406
abs,resample,gt_score,0.2,27,27,True,1.9645466664239428,1.1091705131289424,0.0004914915904120676,0.00025018066448211584,0.0010681049065837556,0.0009629762907874806
abs,resample,gt_score,0.3,27,27,True,1.9645466664239428,1.1091705131289424,0.0004914915904120676,0.00025018066448211584,0.0010681049065837556,0.0009629762907874806
abs,resample,gt_score,0.5,27,27,True,1.9645466664239428,1.1091705131289424,0.0004914915904120676,0.00025018066448211584,0.0010681049065837556,0.0009629762907874806
