layer,head,causal_imp
0,0,0.16666666666666666
0,1,0.17291666666666666
0,2,0.17708333333333334
0,3,0.18125
0,4,0.18333333333333332
0,5,0.1625
0,6,0.18333333333333332
0,7,0.18125
0,8,0.15208333333333332
0,9,0.17083333333333334
0,10,0.16666666666666666
0,11,0.17916666666666667
0,12,0.18333333333333332
0,13,0.17916666666666667
0,14,0.16666666666666666
0,15,0.18541666666666667
0,16,0.18125
0,17,0.16875
0,18,0.16458333333333333
0,19,0.17083333333333334
0,20,0.17291666666666666
0,21,0.15833333333333333
0,22,0.15625
0,23,0.1875
0,24,0.16875
0,25,0.17291666666666666
0,26,0.16875
0,27,0.17083333333333334
0,28,0.1625
0,29,0.175
0,30,0.1625
0,31,0.16458333333333333
1,0,0.17291666666666666
1,1,0.175
1,2,0.15625
1,3,0.1625
1,4,0.17916666666666667
1,5,0.18125
1,6,0.17083333333333334
1,7,0.16041666666666668
1,8,0.20416666666666666
1,9,0.19583333333333333
1,10,0.16041666666666668
1,11,0.175
1,12,0.17708333333333334
1,13,0.1625
1,14,0.15833333333333333
1,15,0.16458333333333333
1,16,0.1375
1,17,0.18958333333333333
1,18,0.15208333333333332
1,19,0.17708333333333334
1,20,0.18541666666666667
1,21,0.16875
1,22,0.1625
1,23,0.16666666666666666
1,24,0.16666666666666666
1,25,0.16041666666666668
1,26,0.15833333333333333
1,27,0.18125
1,28,0.15833333333333333
1,29,0.18541666666666667
1,30,0.18958333333333333
1,31,0.16458333333333333
2,0,0.16458333333333333
2,1,0.16875
2,2,0.17291666666666666
2,3,0.1875
2,4,0.17083333333333334
2,5,0.18958333333333333
2,6,0.17708333333333334
2,7,0.17708333333333334
2,8,0.16041666666666668
2,9,0.18125
2,10,0.15833333333333333
2,11,0.16041666666666668
2,12,0.16875
2,13,0.19583333333333333
2,14,0.15208333333333332
2,15,0.17083333333333334
2,16,0.19166666666666668
2,17,0.18125
2,18,0.175
2,19,0.175
2,20,0.18541666666666667
2,21,0.1875
2,22,0.16041666666666668
2,23,0.17291666666666666
2,24,0.1875
2,25,0.18541666666666667
2,26,0.16458333333333333
2,27,0.17291666666666666
2,28,0.17708333333333334
2,29,0.16458333333333333
2,30,0.18125
2,31,0.16666666666666666
3,0,0.17708333333333334
3,1,0.14791666666666667
3,2,0.17083333333333334
3,3,0.1625
3,4,0.16875
3,5,0.17708333333333334
3,6,0.17708333333333334
3,7,0.1875
3,8,0.18333333333333332
3,9,0.15416666666666667
3,10,0.1625
3,11,0.18125
3,12,0.16666666666666666
3,13,0.15625
3,14,0.16875
3,15,0.15
3,16,0.15208333333333332
3,17,0.15416666666666667
3,18,0.17708333333333334
3,19,0.17083333333333334
