layer,head,causal_imp
0,0,0.03125
0,1,0.026041666666666668
0,2,0.03229166666666667
0,3,0.026041666666666668
0,4,0.036458333333333336
0,5,0.03125
0,6,0.03125
0,7,0.03229166666666667
0,8,0.034375
0,9,0.027083333333333334
0,10,0.03125
0,11,0.034375
0,12,0.03229166666666667
0,13,0.030208333333333334
0,14,0.026041666666666668
0,15,0.03333333333333333
1,0,0.03333333333333333
1,1,0.034375
1,2,0.03333333333333333
1,3,0.029166666666666667
1,4,0.035416666666666666
1,5,0.025
1,6,0.028125
1,7,0.026041666666666668
1,8,0.029166666666666667
1,9,0.03854166666666667
1,10,0.030208333333333334
1,11,0.030208333333333334
1,12,0.028125
1,13,0.036458333333333336
1,14,0.026041666666666668
1,15,0.03229166666666667
2,0,0.035416666666666666
2,1,0.029166666666666667
2,2,0.03333333333333333
2,3,0.036458333333333336
2,4,0.03229166666666667
2,5,0.03333333333333333
2,6,0.03333333333333333
2,7,0.03333333333333333
2,8,0.03229166666666667
2,9,0.03333333333333333
2,10,0.035416666666666666
2,11,0.03333333333333333
2,12,0.035416666666666666
2,13,0.036458333333333336
2,14,0.03229166666666667
2,15,0.03333333333333333
3,0,0.029166666666666667
3,1,0.03125
3,2,0.030208333333333334
3,3,0.034375
3,4,0.035416666666666666
3,5,0.03229166666666667
3,6,0.03229166666666667
3,7,0.025
3,8,0.03229166666666667
3,9,0.03854166666666667
3,10,0.03229166666666667
3,11,0.036458333333333336
3,12,0.03333333333333333
3,13,0.03229166666666667
3,14,0.03333333333333333
3,15,0.040625
4,0,0.03125
4,1,0.028125
4,2,0.026041666666666668
4,3,0.0375
4,4,0.027083333333333334
4,5,0.028125
4,6,0.03125
4,7,0.025
4,8,0.03333333333333333
4,9,0.027083333333333334
4,10,0.027083333333333334
4,11,0.035416666666666666
4,12,0.026041666666666668
4,13,0.03333333333333333
4,14,0.030208333333333334
4,15,0.042708333333333334
5,0,0.03229166666666667
5,1,0.035416666666666666
5,2,0.03333333333333333
5,3,0.026041666666666668
5,4,0.03229166666666667
5,5,0.03333333333333333
5,6,0.029166666666666667
5,7,0.030208333333333334
5,8,0.03333333333333333
5,9,0.028125
5,10,0.036458333333333336
5,11,0.03229166666666667
5,12,0.026041666666666668
5,13,0.035416666666666666
5,14,0.030208333333333334
5,15,0.03333333333333333
6,0,0.026041666666666668
6,1,0.035416666666666666
6,2,0.030208333333333334
6,3,0.026041666666666668
6,4,0.040625
6,5,0.028125
6,6,0.03229166666666667
6,7,0.03125
6,8,0.034375
6,9,0.03125
6,10,0.03125
6,11,0.025
6,12,0.028125
6,13,0.030208333333333334
6,14,0.041666666666666664
6,15,0.029166666666666667
7,0,0.026041666666666668
7,1,0.0375
7,2,0.025
7,3,0.036458333333333336
7,4,0.0375
7,5,0.03229166666666667
7,6,0.03333333333333333
7,7,0.03125
7,8,0.03333333333333333
7,9,0.035416666666666666
7,10,0.029166666666666667
7,11,0.023958333333333335
7,12,0.0375
7,13,0.03125
7,14,0.03854166666666667
7,15,0.030208333333333334
8,0,0.034375
8,1,0.034375
8,2,0.030208333333333334
8,3,0.026041666666666668
8,4,0.026041666666666668
8,5,0.027083333333333334
8,6,0.029166666666666667
8,7,0.029166666666666667
8,8,0.034375
8,9,0.030208333333333334
8,10,0.03958333333333333
8,11,0.028125
8,12,0.028125
8,13,0.0375
8,14,0.030208333333333334
8,15,0.03333333333333333
9,0,0.042708333333333334
9,1,0.025
9,2,0.023958333333333335
9,3,0.026041666666666668
9,4,0.030208333333333334
9,5,0.028125
9,6,0.035416666666666666
9,7,0.03854166666666667
9,8,0.036458333333333336
9,9,0.036458333333333336
9,10,0.030208333333333334
9,11,0.03229166666666667
9,12,0.030208333333333334
9,13,0.035416666666666666
9,14,0.03854166666666667
9,15,0.03333333333333333
10,0,0.034375
10,1,0.040625
10,2,0.03333333333333333
10,3,0.03125
10,4,0.029166666666666667
10,5,0.03333333333333333
10,6,0.03854166666666667
10,7,0.0375
10,8,0.028125
10,9,0.030208333333333334
10,10,0.029166666666666667
10,11,0.03958333333333333
10,12,0.035416666666666666
10,13,0.03125
10,14,0.029166666666666667
10,15,0.03333333333333333
11,0,0.034375
11,1,0.034375
11,2,0.035416666666666666
11,3,0.03125
11,4,0.03125
11,5,0.03229166666666667
11,6,0.03125
11,7,0.03125
11,8,0.03333333333333333
11,9,0.028125
11,10,0.036458333333333336
11,11,0.029166666666666667
11,12,0.029166666666666667
11,13,0.03333333333333333
11,14,0.028125
11,15,0.03229166666666667
12,0,0.030208333333333334
12,1,0.029166666666666667
12,2,0.03854166666666667
12,3,0.027083333333333334
12,4,0.040625
12,5,0.030208333333333334
12,6,0.041666666666666664
12,7,0.026041666666666668
12,8,0.03333333333333333
12,9,0.0375
12,10,0.034375
12,11,0.035416666666666666
12,12,0.034375
12,13,0.026041666666666668
12,14,0.027083333333333334
12,15,0.03229166666666667
13,0,0.030208333333333334
13,1,0.041666666666666664
13,2,0.035416666666666666
13,3,0.026041666666666668
13,4,0.029166666666666667
13,5,0.03125
13,6,0.034375
13,7,0.028125
13,8,0.028125
13,9,0.034375
13,10,0.03333333333333333
13,11,0.03854166666666667
13,12,0.028125
13,13,0.025
13,14,0.03229166666666667
13,15,0.028125
14,0,0.034375
14,1,0.029166666666666667
14,2,0.026041666666666668
14,3,0.03125
14,4,0.025
14,5,0.027083333333333334
14,6,0.023958333333333335
14,7,0.035416666666666666
14,8,0.028125
14,9,0.034375
14,10,0.03958333333333333
14,11,0.030208333333333334
14,12,0.03125
14,13,0.03125
14,14,0.034375
14,15,0.03333333333333333
15,0,0.027083333333333334
15,1,0.029166666666666667
15,2,0.03854166666666667
15,3,0.028125
15,4,0.030208333333333334
15,5,0.026041666666666668
15,6,0.030208333333333334
15,7,0.030208333333333334
15,8,0.030208333333333334
15,9,0.022916666666666665
15,10,0.03229166666666667
15,11,0.029166666666666667
15,12,0.03125
15,13,0.026041666666666668
15,14,0.034375
15,15,0.029166666666666667
