crel_pair,n_C_trials,n_D_trials,c_mean_abs_delta,d_mean_abs_delta,c_minus_d
SAME-OPP,20,20,1.9438,0.1875,1.7563
SAME-MORE,20,20,5.4688,0.2125,5.2562
SAME-LESS,20,20,4.5438,0.2,4.3438
OPP-MORE,20,20,4.9562,0.2125,4.7437
OPP-LESS,20,20,5.3312,0.2375,5.0938
MORE-LESS,20,20,8.175,0.4625,7.7125
