layer,head,perturbation_L2
0,0,7.361443042755127
0,1,18.761333465576172
0,2,39.68520736694336
0,3,19.141315460205078
0,4,30.643970489501953
0,5,15.471646308898926
0,6,0.8496695756912231
0,7,18.0288143157959
0,8,15.852770805358887
0,9,17.945167541503906
0,10,44.479454040527344
0,11,8.526908874511719
0,12,30.83367156982422
0,13,2.0177621841430664
0,14,41.35085678100586
0,15,35.93814468383789
0,16,36.97014236450195
0,17,5.123682022094727
0,18,27.8527889251709
0,19,25.8359432220459
0,20,14.1346435546875
0,21,73.26573181152344
0,22,44.98712158203125
0,23,7.537460803985596
0,24,57.2070426940918
0,25,25.906923294067383
0,26,28.417461395263672
0,27,31.76654624938965
0,28,2.639819622039795
0,29,77.54926300048828
0,30,27.453338623046875
0,31,11.025936126708984
1,0,0.0
1,1,0.005735673941671848
1,2,0.0
1,3,0.0
1,4,3.5321662425994873
1,5,0.05858694761991501
1,6,4.520249843597412
1,7,2.3369390964508057
1,8,0.0
1,9,0.0
1,10,7.835340976715088
1,11,5.53571891784668
1,12,2.1631240844726562
1,13,5.1049113273620605
1,14,0.046348195523023605
1,15,7.204998016357422
1,16,0.0
1,17,0.0
1,18,3.775510413106531e-05
1,19,1.729189395904541
1,20,5.95491361618042
1,21,15.670513153076172
1,22,0.0
1,23,0.0
1,24,5.453660488128662
1,25,6.561657905578613
1,26,2.2606258392333984
1,27,2.0960776805877686
1,28,0.22704686224460602
1,29,1.1711039543151855
1,30,7.492029190063477
1,31,11.866698265075684
2,0,0.9902574419975281
2,1,1.39156973361969
2,2,0.5108122825622559
2,3,1.7869828939437866
2,4,1.0114076137542725
2,5,0.883036732673645
2,6,5.103514558868483e-05
2,7,0.00064314273186028
2,8,2.777052164077759
2,9,1.2239686250686646
2,10,1.698478102684021
2,11,1.1692893505096436
2,12,0.016511179506778717
2,13,0.46075302362442017
2,14,0.051631033420562744
2,15,0.3896561563014984
2,16,0.0007432371494360268
2,17,1.1135706901550293
2,18,1.2032678127288818
2,19,0.9569003582000732
2,20,0.0
2,21,2.2149952201289125e-05
2,22,1.3889272212982178
2,23,0.3614867925643921
2,24,0.7872957587242126
2,25,1.224904179573059
