model,cell,n_heads,mean_signed,mean_abs,pct_down_pt1,pct_up_pt1,pct_near0_pt1,tilt_down_minus_up
Llama-8B-Inst,A,334,-0.012156936127744511,0.050249500998003994,20.022455089820358,13.964570858283434,66.01297405189621,6.057884231536924
Llama-8B-Inst,B,178,-0.0031601123595505617,0.027469569288389513,12.247191011235955,9.67696629213483,78.07584269662922,2.570224719101125
Llama-8B-Inst,C,178,-0.01841058052434457,0.059597378277153557,20.58988764044944,14.09176029962547,65.31835205992509,6.49812734082397
Llama-8B-Inst,D,334,-0.0030906936127744512,0.026967939121756487,12.013473053892215,9.530938123752495,78.4555888223553,2.4825349301397193
Gemma-2-9B-IT,A,226,0.01754240412979351,0.05908923303834808,14.115044247787612,23.761061946902654,62.123893805309734,-9.646017699115042
Gemma-2-9B-IT,B,110,0.014981060606060605,0.03528409090909091,8.007575757575758,19.25,72.74242424242424,-11.242424242424242
Gemma-2-9B-IT,C,110,0.005729166666666666,0.08684659090909091,17.856060606060606,24.46212121212121,57.68181818181818,-6.6060606060606055
Gemma-2-9B-IT,D,226,0.011361541297935103,0.03360527286135693,8.654129793510325,17.37094395280236,73.97492625368731,-8.716814159292035
Qwen-7B-Inst,A,267,-0.017009987515605493,0.12802746566791512,30.755305867665417,26.788389513108612,42.45630461922597,3.9669163545568047
Qwen-7B-Inst,B,125,0.0002666666666666667,0.061983333333333335,22.126666666666665,23.066666666666666,54.80666666666667,-0.9400000000000013
Qwen-7B-Inst,C,125,-0.05673333333333333,0.14516666666666667,30.606666666666666,22.68,46.71333333333333,7.926666666666666
Qwen-7B-Inst,D,266,-0.0021224937343358396,0.061701127819548875,22.37468671679198,22.521929824561404,55.10338345864662,-0.14724310776942318
Qwen-14B-Inst,A,664,-0.004976154618473895,0.14507718373493975,26.031626506024097,24.338604417670684,49.629769076305216,1.6930220883534126
Qwen-14B-Inst,B,296,0.004652308558558559,0.11197916666666667,22.173423423423426,22.29448198198198,55.5320945945946,-0.12105855855855552
Qwen-14B-Inst,C,296,-0.018018018018018018,0.10660895270270271,21.385135135135137,16.53997747747748,62.07488738738739,4.8451576576576585
Qwen-14B-Inst,D,664,0.006198230421686747,0.11566735692771084,22.745983935742974,22.866465863453815,54.38755020080321,-0.12048192771084132
Gemma-3-27B-IT,A,572,0.03115894522144522,0.2030776515151515,24.69551282051282,36.53846153846153,38.76602564102564,-11.842948717948712
Gemma-3-27B-IT,B,371,0.027274258760107816,0.174983153638814,22.71787960467206,35.84905660377358,41.43306379155436,-13.131176999101523
Gemma-3-27B-IT,C,420,0.03535962301587302,0.21230902777777777,24.85515873015873,36.66269841269841,38.48214285714286,-11.80753968253968
Gemma-3-27B-IT,D,522,0.02842832056194125,0.17509179438058747,22.795338441890166,35.55395913154534,41.65070242656449,-12.758620689655174
OLMo-13B-Inst,A,486,-0.0035482022006815845,0.03411661783854167,1.8912894375857339,1.4386145404663924,96.67009602194787,0.4526748971193415
OLMo-13B-Inst,B,314,0.0008957006369426752,0.02091792728237792,0.01592356687898089,0.0902335456475584,99.89384288747345,-0.0743099787685775
OLMo-13B-Inst,C,314,-0.002345408704883227,0.03130307855626327,2.3566878980891723,1.6507430997876857,95.99256900212313,0.7059447983014866
OLMo-13B-Inst,D,486,-1.071673525377229e-05,0.01750900205761317,0.0017146776406035667,0.0823045267489712,99.91598079561042,-0.08058984910836763
GPT-J-6B-fp32,A,134,-0.00477474233997402,0.03301215373461515,4.5211442786069655,1.6480099502487564,93.83084577114428,2.8731343283582094
GPT-J-6B-fp32,B,90,0.000128664705488418,0.006336501527715568,0.0,0.009259259259259259,99.99074074074073,-0.009259259259259259
GPT-J-6B-fp32,C,90,-0.016551526034319836,0.033263510244863966,6.259259259259259,1.3518518518518519,92.38888888888889,4.9074074074074066
GPT-J-6B-fp32,D,134,0.00033008334648549655,0.002737771278590069,0.01865671641791045,0.0,99.98134328358209,0.01865671641791045
Llama-70B-Inst-4bit,A,1774,-0.010077860766629088,0.034482454904171365,17.520199173243142,9.721439308530627,72.75836151822624,7.798759864712515
Llama-70B-Inst-4bit,B,786,-0.008145144189991519,0.03197360050890585,16.046437659033078,9.531382527565734,74.42217981340119,6.515055131467344
Llama-70B-Inst-4bit,C,786,-0.0105730491942324,0.035366306191687874,18.004664970313826,9.822943172179812,72.17239185750635,8.181721798134014
Llama-70B-Inst-4bit,D,1774,-0.00801096862081924,0.03122709977452086,15.695227358136037,9.286452461480646,75.01832018038331,6.408774896655391
