model,Cp_xfit,Dp_xfit,gap_xfit,Cp_full,Dp_full,gap_full,C_overlap_xfit_full,k,aggregation
Llama-8B-Inst,0.0303076723113487,0.0266952614379085,0.0036124108734402,0.0258976063829787,0.0222528594771241,0.0036447469058545,0.6742424242424242,102,matched-k top-k @ r=0.10 (= Table B14 r=0.10)
Gemma-2-9B-IT,0.0338930348258706,0.0328980099502487,0.0009950248756218,0.0295398009950248,0.0270677860696517,0.0024720149253731,0.7014925373134329,67,matched-k top-k @ r=0.10 (= Table B14 r=0.10)
Qwen-7B-Inst,0.0611778846153846,0.0584535256410256,0.0027243589743589,0.0504407051282051,0.0516292735042734,-0.0011885683760683,0.75,78,matched-k top-k @ r=0.10 (= Table B14 r=0.10)
Qwen-14B-Inst,0.0691460503472222,0.0981825086805555,-0.0290364583333333,0.0614908854166666,0.0858940972222222,-0.0244032118055555,0.8333333333333333,192,matched-k top-k @ r=0.10 (= Table B14 r=0.10)
Gemma-3-27B-IT,0.177803634751773,0.1751329787234042,0.0026706560283688,0.1617242907801418,0.1576906028368794,0.0040336879432624,0.5558510638297872,188,matched-k top-k @ r=0.10 (= Table B14 r=0.10)
OLMo-13B-Inst,0.0173470052083333,0.0134749348958333,0.0038720703125,0.0155485026041666,0.0122639973958333,0.0032845052083333,0.790625,160,matched-k top-k @ r=0.10 (= Table B14 r=0.10)
GPT-J-6B-fp32,0.0117213524050182,0.0010133786634964,0.0107079737415217,0.0059468406897324,0.0007828177827776,0.0051640229069547,0.6458333333333333,44,matched-k top-k @ r=0.10 (= Table B14 r=0.10)
Llama-70B-Inst-4bit,0.0330057779947916,0.0317586263020833,0.0012471516927083,0.028363037109375,0.027496337890625,0.0008666992187499,0.556640625,512,matched-k top-k @ r=0.10 (= Table B14 r=0.10)
