model,ratio,mean_abs_C_imp_asc,mean_abs_D_imp_asc,gap_CD,mean_abs_hihp_imp_desc,mean_abs_hilp_imp_desc,gap_hihp_hilp,mean_abs_std_imp_asc,mean_abs_diag_rank_asc,mean_abs_D_pert_asc
llama-3.1-8b-instruct,0.05,1.1776041666666666,0.025,1.1526041666666667,1.7869791666666666,0.040625,1.7463541666666667,0.95625,0.029166666666666667,0.026041666666666668
llama-3.1-8b-instruct,0.1,2.003125,0.0375,1.9656249999999997,2.2786458333333335,0.05,2.2286458333333337,1.1958333333333333,0.022916666666666665,0.01875
llama-3.1-8b-instruct,0.2,6.583333333333333,0.06145833333333333,6.521875,3.051041666666667,0.096875,2.954166666666667,1.490625,0.03854166666666667,0.04479166666666667
llama-3.1-8b-instruct,0.5,6.583333333333333,0.10729166666666666,6.476041666666666,7.3078125,0.096875,7.2109375,6.633854166666667,0.6458333333333334,0.10729166666666666
qwen-2.5-7b-instruct,0.05,2.736458333333333,0.0625,2.673958333333333,0.803125,0.08854166666666667,0.7145833333333333,2.060416666666667,0.0625,0.0625
qwen-2.5-7b-instruct,0.1,10.0203125,0.07083333333333333,9.949479166666666,5.552604166666667,0.14166666666666666,5.4109375,3.9052083333333334,0.06666666666666667,0.06145833333333333
qwen-2.5-7b-instruct,0.2,12.434114583333333,0.08229166666666667,12.351822916666666,11.06171875,0.13333333333333333,10.928385416666668,10.6984375,0.07291666666666667,0.06875
qwen-2.5-7b-instruct,0.5,12.434114583333333,0.10729166666666666,12.326822916666666,16.14765625,0.13333333333333333,16.014322916666668,12.377083333333333,1.0916666666666666,0.10729166666666666
qwen-2.5-14b-instruct,0.05,4.377083333333333,0.14166666666666666,4.235416666666667,2.951041666666667,0.25625,2.6947916666666667,1.434375,0.16041666666666668,0.140625
qwen-2.5-14b-instruct,0.1,7.7,0.14166666666666666,7.558333333333334,5.984375,0.2864583333333333,5.697916666666667,5.153125,0.11458333333333333,0.121875
qwen-2.5-14b-instruct,0.2,11.632291666666667,0.159375,11.472916666666666,11.803125,0.20104166666666667,11.602083333333333,7.602083333333334,0.134375,0.128125
qwen-2.5-14b-instruct,0.5,11.632291666666667,0.2,11.432291666666668,19.6453125,0.20104166666666667,19.444270833333334,11.745833333333334,1.1447916666666667,0.2
gemma-2-9b-it,0.05,2.316666666666667,0.12395833333333334,2.1927083333333335,0.8390625,0.140625,0.6984375,0.471875,0.036458333333333336,0.034375
gemma-2-9b-it,0.1,4.8546875,0.12083333333333333,4.733854166666666,2.1283854166666667,0.28958333333333336,1.8388020833333334,1.1463541666666666,0.06666666666666667,0.075
gemma-2-9b-it,0.2,5.007291666666666,0.16979166666666667,4.8374999999999995,4.94609375,0.36666666666666664,4.579427083333334,3.425520833333333,0.134375,0.065625
gemma-2-9b-it,0.5,5.007291666666666,0.16666666666666666,4.840624999999999,10.742545572916667,0.36666666666666664,10.37587890625,6.234114583333334,1.0901041666666667,0.16666666666666666
gemma-3-27b-it,0.05,2.109375,0.09791666666666667,2.011458333333333,2.370833333333333,0.24166666666666667,2.1291666666666664,0.30833333333333335,0.0875,0.1
gemma-3-27b-it,0.1,5.069791666666666,0.2520833333333333,4.817708333333333,5.652083333333334,0.3,5.352083333333334,0.98125,0.08958333333333333,0.11041666666666666
gemma-3-27b-it,0.2,11.992708333333333,0.24791666666666667,11.744791666666666,5.74375,0.46458333333333335,5.279166666666667,2.4322916666666665,0.19270833333333334,0.34375
gemma-3-27b-it,0.5,11.992708333333333,0.4479166666666667,11.544791666666667,17.500520833333333,0.46458333333333335,17.0359375,11.554166666666667,3.158333333333333,0.4479166666666667
olmo-2-13b-instruct,0.05,0.9579427083333333,0.02890625,0.9290364583333333,3.2456624348958334,0.05651041666666667,3.1891520182291666,0.41328125,0.022395833333333334,0.0203125
olmo-2-13b-instruct,0.1,1.8450846354166666,0.050520833333333334,1.7945638020833332,3.988995361328125,0.05416666666666667,3.934828694661458,1.0286458333333333,0.022395833333333334,0.02421875
olmo-2-13b-instruct,0.2,4.8635498046875,0.05026041666666667,4.813289388020833,7.484327189127604,0.06432291666666666,7.420004272460937,2.880379231770833,0.03671875,0.03359375
olmo-2-13b-instruct,0.5,4.8635498046875,0.05807291666666667,4.805476888020833,8.7995361328125,0.06432291666666666,8.735213216145834,4.963826497395833,0.4278645833333333,0.05807291666666667
gpt-j-6b-fp32,0.05,0.14872760772705076,0.01323242982228592,0.13549517790476484,0.11740463574727372,0.026248224576314247,0.09115641117095948,0.08271689414978023,0.00926357110341385,0.0025557438532511
gpt-j-6b-fp32,0.1,0.4497161944707235,0.01810790697733557,0.4316082874933879,0.12341812451680496,0.03383110364278153,0.08958702087402343,0.15224630832672117,0.013390048344929968,0.016461277008056593
gpt-j-6b-fp32,0.2,2.560404404004415,0.03128119707107539,2.5291232069333396,1.1187529782454173,0.038517610232035274,1.080235368013382,0.37444585164388017,0.032217979431152295,0.019716302553812615
gpt-j-6b-fp32,0.5,2.555004157622655,0.04798165957132971,2.5070224980513256,1.3659378131230673,0.03879659970601395,1.3271412134170533,2.5600402553876243,0.229975422223409,0.04798165957132971
