model,group,ratio,strict_flip_rate,n
qwen-2.5-14b-instruct,hilp_imp_desc,0.5,0.008333333333333333,120
gemma-3-27b-it,C_imp_asc,0.05,0.10833333333333334,120
gemma-3-27b-it,C_imp_asc,0.1,0.4,120
gemma-3-27b-it,C_imp_asc,0.2,1.0,120
gemma-3-27b-it,C_imp_asc,0.3,1.0,120
gemma-3-27b-it,D_imp_asc,0.05,0.025,120
gemma-3-27b-it,D_imp_asc,0.1,0.05,120
gemma-3-27b-it,D_imp_asc,0.2,0.041666666666666664,120
gemma-3-27b-it,D_imp_asc,0.3,0.025,120
gemma-3-27b-it,hihp_imp_desc,0.05,0.35,120
gemma-3-27b-it,hihp_imp_desc,0.1,0.6416666666666667,120
gemma-3-27b-it,hihp_imp_desc,0.2,0.925,120
gemma-3-27b-it,hihp_imp_desc,0.3,1.0,120
gemma-3-27b-it,hilp_imp_desc,0.05,0.016666666666666666,120
gemma-3-27b-it,hilp_imp_desc,0.1,0.075,120
gemma-3-27b-it,hilp_imp_desc,0.2,0.125,120
gemma-3-27b-it,hilp_imp_desc,0.3,0.125,120
olmo-2-13b-instruct,C_imp_asc,0.05,0.11666666666666667,120
olmo-2-13b-instruct,C_imp_asc,0.1,0.18333333333333332,120
olmo-2-13b-instruct,C_imp_asc,0.2,0.8666666666666667,120
olmo-2-13b-instruct,C_imp_asc,0.3,0.8666666666666667,120
olmo-2-13b-instruct,C_imp_asc,0.5,0.8666666666666667,120
olmo-2-13b-instruct,D_imp_asc,0.05,0.0,120
olmo-2-13b-instruct,D_imp_asc,0.1,0.0,120
olmo-2-13b-instruct,D_imp_asc,0.2,0.0,120
olmo-2-13b-instruct,D_imp_asc,0.3,0.0,120
olmo-2-13b-instruct,D_imp_asc,0.5,0.0,120
olmo-2-13b-instruct,hihp_imp_desc,0.05,0.6166666666666667,120
olmo-2-13b-instruct,hihp_imp_desc,0.1,0.725,120
olmo-2-13b-instruct,hihp_imp_desc,0.2,1.0,120
olmo-2-13b-instruct,hihp_imp_desc,0.3,1.0,120
olmo-2-13b-instruct,hihp_imp_desc,0.5,1.0,120
olmo-2-13b-instruct,hilp_imp_desc,0.05,0.0,120
olmo-2-13b-instruct,hilp_imp_desc,0.1,0.0,120
olmo-2-13b-instruct,hilp_imp_desc,0.2,0.0,120
olmo-2-13b-instruct,hilp_imp_desc,0.3,0.0,120
olmo-2-13b-instruct,hilp_imp_desc,0.5,0.0,120
gpt-j-6b-fp32,C_imp_asc,0.05,0.175,120
gpt-j-6b-fp32,C_imp_asc,0.1,0.375,120
gpt-j-6b-fp32,C_imp_asc,0.2,0.6416666666666667,120
gpt-j-6b-fp32,C_imp_asc,0.3,0.65,120
gpt-j-6b-fp32,C_imp_asc,0.5,0.65,120
gpt-j-6b-fp32,D_imp_asc,0.05,0.0,120
gpt-j-6b-fp32,D_imp_asc,0.1,0.0,120
gpt-j-6b-fp32,D_imp_asc,0.2,0.0,120
gpt-j-6b-fp32,D_imp_asc,0.3,0.016666666666666666,120
gpt-j-6b-fp32,D_imp_asc,0.5,0.016666666666666666,120
gpt-j-6b-fp32,hihp_imp_desc,0.05,0.1,120
gpt-j-6b-fp32,hihp_imp_desc,0.1,0.1,120
gpt-j-6b-fp32,hihp_imp_desc,0.2,0.5583333333333333,120
gpt-j-6b-fp32,hihp_imp_desc,0.3,0.6166666666666667,120
gpt-j-6b-fp32,hihp_imp_desc,0.5,0.6166666666666667,120
gpt-j-6b-fp32,hilp_imp_desc,0.05,0.025,120
gpt-j-6b-fp32,hilp_imp_desc,0.1,0.025,120
