model,group,ratio,n_trials,flip_rate_normalized
OLMo-13B-Inst,hihp_imp_desc,0.5,120,1.0
OLMo-13B-Inst,hilp_imp_desc,0.05,120,0.0
OLMo-13B-Inst,hilp_imp_desc,0.1,120,0.0
OLMo-13B-Inst,hilp_imp_desc,0.2,120,0.0
OLMo-13B-Inst,hilp_imp_desc,0.3,120,0.0
OLMo-13B-Inst,hilp_imp_desc,0.5,120,0.0
OLMo-13B-Inst,C_imp_asc,0.05,120,0.1167
OLMo-13B-Inst,C_imp_asc,0.1,120,0.1833
OLMo-13B-Inst,C_imp_asc,0.2,120,0.8667
OLMo-13B-Inst,C_imp_asc,0.3,120,0.8667
OLMo-13B-Inst,C_imp_asc,0.5,120,0.8667
OLMo-13B-Inst,D_imp_asc,0.05,120,0.0
OLMo-13B-Inst,D_imp_asc,0.1,120,0.0
OLMo-13B-Inst,D_imp_asc,0.2,120,0.0
OLMo-13B-Inst,D_imp_asc,0.3,120,0.0
OLMo-13B-Inst,D_imp_asc,0.5,120,0.0
GPT-J-6B-fp32,hihp_imp_desc,0.05,120,0.0833
GPT-J-6B-fp32,hihp_imp_desc,0.1,120,0.05
GPT-J-6B-fp32,hihp_imp_desc,0.2,120,0.5
GPT-J-6B-fp32,hihp_imp_desc,0.3,120,0.55
GPT-J-6B-fp32,hihp_imp_desc,0.5,120,0.55
GPT-J-6B-fp32,hilp_imp_desc,0.05,120,0.0
GPT-J-6B-fp32,hilp_imp_desc,0.1,120,0.0
GPT-J-6B-fp32,hilp_imp_desc,0.2,120,0.0333
GPT-J-6B-fp32,hilp_imp_desc,0.3,120,0.0417
GPT-J-6B-fp32,hilp_imp_desc,0.5,120,0.0417
GPT-J-6B-fp32,C_imp_asc,0.05,120,0.1333
GPT-J-6B-fp32,C_imp_asc,0.1,120,0.3667
GPT-J-6B-fp32,C_imp_asc,0.2,120,0.5833
GPT-J-6B-fp32,C_imp_asc,0.3,120,0.6
GPT-J-6B-fp32,C_imp_asc,0.5,120,0.6
GPT-J-6B-fp32,D_imp_asc,0.05,120,0.0
GPT-J-6B-fp32,D_imp_asc,0.1,120,0.0
GPT-J-6B-fp32,D_imp_asc,0.2,120,0.0
GPT-J-6B-fp32,D_imp_asc,0.3,120,0.0167
GPT-J-6B-fp32,D_imp_asc,0.5,120,0.0167
Llama-70B-Inst-4bit,hihp_imp_desc,0.05,120,0.275
Llama-70B-Inst-4bit,hihp_imp_desc,0.1,120,0.5
Llama-70B-Inst-4bit,hihp_imp_desc,0.2,120,0.9167
Llama-70B-Inst-4bit,hihp_imp_desc,0.3,120,1.0
Llama-70B-Inst-4bit,hihp_imp_desc,0.5,120,1.0
Llama-70B-Inst-4bit,hilp_imp_desc,0.05,120,0.0
Llama-70B-Inst-4bit,hilp_imp_desc,0.1,120,0.0
