layer,head,imp_gt_score_drop,imp_abs_gt_score_drop
0,0,1.7563477245796655e-05,1.7563477245796655e-05
0,1,0.004099834325783147,0.004099834325783147
0,2,-0.00035769599756235726,0.00035769599756235726
0,3,0.0013856192812423118,0.0013856192812423118
0,4,-0.00014407004581729055,0.00014407004581729055
0,5,0.0016561444597664177,0.0016561444597664177
0,6,-0.0001263453096038425,0.0001263453096038425
0,7,0.0013091378993738134,0.0013091378993738134
0,8,0.00019650367550666514,0.00019650367550666514
0,9,0.00025785991810919895,0.00025785991810919895
0,10,-0.00041256343136694684,0.00041256343136694684
0,11,7.743984677630045e-05,7.743984677630045e-05
1,0,0.00021567663249072444,0.00021567663249072444
1,1,6.347714366639057e-06,6.347714366639057e-06
1,2,2.912565230245301e-05,2.912565230245301e-05
1,3,3.920333693144262e-05,3.920333693144262e-05
1,4,2.3082309503180687e-05,2.3082309503180687e-05
1,5,-0.000591263369659617,0.000591263369659617
1,6,4.4632408409184254e-05,4.4632408409184254e-05
1,7,0.00034143926923035917,0.00034143926923035917
1,8,-2.0233177624784382e-05,2.0233177624784382e-05
1,9,-3.1341396987155656e-05,3.1341396987155656e-05
1,10,-5.057335312672051e-05,5.057335312672051e-05
1,11,-0.0002877223465523604,0.0002877223465523604
2,0,2.30221706141176e-05,2.30221706141176e-05
2,1,0.0005346410923522116,0.0005346410923522116
2,2,-0.00023354994406135643,0.00023354994406135643
2,3,2.3630893238923978e-05,2.3630893238923978e-05
2,4,0.0005282986693919134,0.0005282986693919134
2,5,0.0003212534667377809,0.0003212534667377809
2,6,0.00025707103900143857,0.00025707103900143857
2,7,7.333643104623366e-06,7.333643104623366e-06
2,8,4.7575327176890836e-05,4.7575327176890836e-05
2,9,-0.0001327434587963805,0.0001327434587963805
2,10,0.00012022992044563585,0.00012022992044563585
2,11,-0.00023570964648286785,0.00023570964648286785
3,0,0.0002777420906462935,0.0002777420906462935
3,1,6.902144839898705e-05,6.902144839898705e-05
3,2,-1.029368916938278e-06,1.029368916938278e-06
3,3,0.0002990188906400737,0.0002990188906400737
3,4,-0.0005326657996630457,0.0005326657996630457
3,5,0.00012390211607082868,0.00012390211607082868
3,6,0.0002455976821934547,0.0002455976821934547
3,7,-0.00027796430787191406,0.00027796430787191406
3,8,5.66693325356471e-05,5.66693325356471e-05
3,9,0.00014981926479748497,0.00014981926479748497
3,10,-0.00012650016615398108,0.00012650016615398108
3,11,1.8005298317969043e-05,1.8005298317969043e-05
4,0,-4.3423366159922594e-05,4.3423366159922594e-05
4,1,-0.00034504270936425163,0.00034504270936425163
4,2,5.159189922221419e-07,5.159189922221419e-07
4,3,0.0003220476129897065,0.0003220476129897065
4,4,-0.0002570261120635742,0.0002570261120635742
4,5,0.0004923690559684168,0.0004923690559684168
4,6,-0.00032716146352898545,0.00032716146352898545
4,7,-5.007400122253314e-05,5.007400122253314e-05
4,8,-0.0001089438117219399,0.0001089438117219399
4,9,-0.00014711294851338375,0.00014711294851338375
4,10,-0.00036393842660487064,0.00036393842660487064
4,11,-0.0006593980946513478,0.0006593980946513478
5,0,-0.0002827513205102272,0.0002827513205102272
5,1,0.0023861861718955657,0.0023861861718955657
5,2,0.00020023677166847165,0.00020023677166847165
5,3,-5.8903468633103584e-05,5.8903468633103584e-05
5,4,0.0005277642429015739,0.0005277642429015739
5,5,0.004112689024422023,0.004112689024422023
5,6,-4.841325594223678e-06,4.841325594223678e-06
5,7,-1.4613129877716347e-05,1.4613129877716347e-05
5,8,0.0004403446096946928,0.0004403446096946928
5,9,0.0006962858326286792,0.0006962858326286792
5,10,0.0001311714627840188,0.0001311714627840188
5,11,-0.0003351611092810569,0.0003351611092810569
6,0,0.00015239520851395572,0.00015239520851395572
6,1,0.0005208421360359261,0.0005208421360359261
6,2,5.848345174142011e-05,5.848345174142011e-05
6,3,-0.00019454659229184434,0.00019454659229184434
6,4,0.0007256170077118707,0.0007256170077118707
6,5,9.066797359763568e-05,9.066797359763568e-05
6,6,-0.0007838772214825152,0.0007838772214825152
6,7,-0.00017257078412968863,0.00017257078412968863
