layer,head,importance_signed,abs_importance,perturbation_l2,cell_abs,cell_signed,abs_imp_median,pert_median,is_gt
0,0,1.7563477245796655e-05,1.7563477245796655e-05,0.08028333634138107,D,B,0.00017259515816164805,0.08915162831544876,0
0,1,0.004099834325783147,0.004099834325783147,0.0004608006274793297,B,B,0.00017259515816164805,0.08915162831544876,0
0,2,-0.00035769599756235726,0.00035769599756235726,0.053180988878011703,B,D,0.00017259515816164805,0.08915162831544876,0
0,3,0.0013856192812423118,0.0013856192812423118,0.0006729349261149764,B,B,0.00017259515816164805,0.08915162831544876,0
0,4,-0.00014407004581729055,0.00014407004581729055,0.010495101101696491,D,D,0.00017259515816164805,0.08915162831544876,0
0,5,0.0016561444597664177,0.0016561444597664177,1.9911520212190226e-05,B,B,0.00017259515816164805,0.08915162831544876,0
0,6,-0.0001263453096038425,0.0001263453096038425,0.12637288868427277,C,C,0.00017259515816164805,0.08915162831544876,0
0,7,0.0013091378993738134,0.0013091378993738134,0.06779453158378601,B,B,0.00017259515816164805,0.08915162831544876,0
0,8,0.00019650367550666514,0.00019650367550666514,0.016882572323083878,B,B,0.00017259515816164805,0.08915162831544876,0
0,9,0.00025785991810919895,0.00025785991810919895,0.06451877951622009,B,B,0.00017259515816164805,0.08915162831544876,0
0,10,-0.00041256343136694684,0.00041256343136694684,0.05460122227668762,B,D,0.00017259515816164805,0.08915162831544876,0
0,11,7.743984677630045e-05,7.743984677630045e-05,0.09272070974111557,C,A,0.00017259515816164805,0.08915162831544876,0
1,0,0.00021567663249072444,0.00021567663249072444,0.07248739898204803,B,B,0.00017259515816164805,0.08915162831544876,0
1,1,6.347714366639057e-06,6.347714366639057e-06,0.08024498075246811,D,D,0.00017259515816164805,0.08915162831544876,0
1,2,2.912565230245301e-05,2.912565230245301e-05,0.07389508932828903,D,B,0.00017259515816164805,0.08915162831544876,0
1,3,3.920333693144262e-05,3.920333693144262e-05,0.04210462048649788,D,B,0.00017259515816164805,0.08915162831544876,0
1,4,2.3082309503180687e-05,2.3082309503180687e-05,0.08777114748954773,D,B,0.00017259515816164805,0.08915162831544876,0
1,5,-0.000591263369659617,0.000591263369659617,0.090187206864357,A,C,0.00017259515816164805,0.08915162831544876,0
1,6,4.4632408409184254e-05,4.4632408409184254e-05,0.18785983324050903,C,A,0.00017259515816164805,0.08915162831544876,0
1,7,0.00034143926923035917,0.00034143926923035917,0.1839110404253006,A,A,0.00017259515816164805,0.08915162831544876,0
1,8,-2.0233177624784382e-05,2.0233177624784382e-05,0.2353285253047943,C,C,0.00017259515816164805,0.08915162831544876,0
1,9,-3.1341396987155656e-05,3.1341396987155656e-05,0.14520969986915588,C,C,0.00017259515816164805,0.08915162831544876,0
1,10,-5.057335312672051e-05,5.057335312672051e-05,0.0944477841258049,C,C,0.00017259515816164805,0.08915162831544876,0
1,11,-0.0002877223465523604,0.0002877223465523604,0.04790196567773819,B,D,0.00017259515816164805,0.08915162831544876,0
2,0,2.30221706141176e-05,2.30221706141176e-05,0.08572311699390411,D,B,0.00017259515816164805,0.08915162831544876,0
2,1,0.0005346410923522116,0.0005346410923522116,0.2741636633872986,A,A,0.00017259515816164805,0.08915162831544876,0
2,2,-0.00023354994406135643,0.00023354994406135643,0.05106224864721298,B,D,0.00017259515816164805,0.08915162831544876,0
2,3,2.3630893238923978e-05,2.3630893238923978e-05,0.0491352304816246,D,B,0.00017259515816164805,0.08915162831544876,0
2,4,0.0005282986693919134,0.0005282986693919134,0.03786236420273781,B,B,0.00017259515816164805,0.08915162831544876,0
2,5,0.0003212534667377809,0.0003212534667377809,0.05996853485703468,B,B,0.00017259515816164805,0.08915162831544876,0
2,6,0.00025707103900143857,0.00025707103900143857,0.06774026900529861,B,B,0.00017259515816164805,0.08915162831544876,0
2,7,7.333643104623366e-06,7.333643104623366e-06,0.1177547425031662,C,C,0.00017259515816164805,0.08915162831544876,0
2,8,4.7575327176890836e-05,4.7575327176890836e-05,0.04574206843972206,D,B,0.00017259515816164805,0.08915162831544876,0
2,9,-0.0001327434587963805,0.0001327434587963805,0.08762519061565399,D,D,0.00017259515816164805,0.08915162831544876,0
2,10,0.00012022992044563585,0.00012022992044563585,0.10621463507413864,C,A,0.00017259515816164805,0.08915162831544876,0
2,11,-0.00023570964648286785,0.00023570964648286785,0.06576739996671677,B,D,0.00017259515816164805,0.08915162831544876,0
3,0,0.0002777420906462935,0.0002777420906462935,0.03332420438528061,B,B,0.00017259515816164805,0.08915162831544876,0
3,1,6.902144839898705e-05,6.902144839898705e-05,0.05372021347284317,D,B,0.00017259515816164805,0.08915162831544876,0
3,2,-1.029368916938278e-06,1.029368916938278e-06,0.05176674947142601,D,D,0.00017259515816164805,0.08915162831544876,0
3,3,0.0002990188906400737,0.0002990188906400737,0.055356115102767944,B,B,0.00017259515816164805,0.08915162831544876,0
3,4,-0.0005326657996630457,0.0005326657996630457,0.28301116824150085,A,C,0.00017259515816164805,0.08915162831544876,0
3,5,0.00012390211607082868,0.00012390211607082868,0.11008654534816742,C,A,0.00017259515816164805,0.08915162831544876,0
3,6,0.0002455976821934547,0.0002455976821934547,0.07368060201406479,B,B,0.00017259515816164805,0.08915162831544876,0
3,7,-0.00027796430787191406,0.00027796430787191406,0.057786498218774796,B,D,0.00017259515816164805,0.08915162831544876,0
3,8,5.66693325356471e-05,5.66693325356471e-05,0.06257861107587814,D,B,0.00017259515816164805,0.08915162831544876,0
3,9,0.00014981926479748497,0.00014981926479748497,0.05850420519709587,D,B,0.00017259515816164805,0.08915162831544876,0
3,10,-0.00012650016615398108,0.00012650016615398108,0.0759170800447464,D,D,0.00017259515816164805,0.08915162831544876,0
3,11,1.8005298317969043e-05,1.8005298317969043e-05,0.058769986033439636,D,B,0.00017259515816164805,0.08915162831544876,0
4,0,-4.3423366159922594e-05,4.3423366159922594e-05,0.05956246331334114,D,D,0.00017259515816164805,0.08915162831544876,0
4,1,-0.00034504270936425163,0.00034504270936425163,0.12199998646974564,A,C,0.00017259515816164805,0.08915162831544876,0
4,2,5.159189922221419e-07,5.159189922221419e-07,0.03401678055524826,D,D,0.00017259515816164805,0.08915162831544876,0
4,3,0.0003220476129897065,0.0003220476129897065,0.045007143169641495,B,B,0.00017259515816164805,0.08915162831544876,0
4,4,-0.0002570261120635742,0.0002570261120635742,0.19891978800296783,A,C,0.00017259515816164805,0.08915162831544876,0
4,5,0.0004923690559684168,0.0004923690559684168,0.07040544599294662,B,B,0.00017259515816164805,0.08915162831544876,0
4,6,-0.00032716146352898545,0.00032716146352898545,0.08963857591152191,A,C,0.00017259515816164805,0.08915162831544876,0
4,7,-5.007400122253314e-05,5.007400122253314e-05,0.09381671994924545,C,C,0.00017259515816164805,0.08915162831544876,0
4,8,-0.0001089438117219399,0.0001089438117219399,0.10393119603395462,C,C,0.00017259515816164805,0.08915162831544876,0
4,9,-0.00014711294851338375,0.00014711294851338375,0.07895422726869583,D,D,0.00017259515816164805,0.08915162831544876,0
4,10,-0.00036393842660487064,0.00036393842660487064,0.05205564573407173,B,D,0.00017259515816164805,0.08915162831544876,0
4,11,-0.0006593980946513478,0.0006593980946513478,0.11304855346679688,A,C,0.00017259515816164805,0.08915162831544876,0
5,0,-0.0002827513205102272,0.0002827513205102272,0.34369850158691406,A,C,0.00017259515816164805,0.08915162831544876,0
5,1,0.0023861861718955657,0.0023861861718955657,0.7384292483329773,A,A,0.00017259515816164805,0.08915162831544876,0
5,2,0.00020023677166847165,0.00020023677166847165,0.07716702669858932,B,B,0.00017259515816164805,0.08915162831544876,0
5,3,-5.8903468633103584e-05,5.8903468633103584e-05,0.07823270559310913,D,D,0.00017259515816164805,0.08915162831544876,0
5,4,0.0005277642429015739,0.0005277642429015739,0.1110561266541481,A,A,0.00017259515816164805,0.08915162831544876,0
5,5,0.004112689024422023,0.004112689024422023,0.6585696935653687,A,A,0.00017259515816164805,0.08915162831544876,0
5,6,-4.841325594223678e-06,4.841325594223678e-06,0.09825076907873154,C,C,0.00017259515816164805,0.08915162831544876,0
5,7,-1.4613129877716347e-05,1.4613129877716347e-05,0.0914406105875969,C,C,0.00017259515816164805,0.08915162831544876,0
5,8,0.0004403446096946928,0.0004403446096946928,0.304468035697937,A,A,0.00017259515816164805,0.08915162831544876,0
5,9,0.0006962858326286792,0.0006962858326286792,0.2334199845790863,A,A,0.00017259515816164805,0.08915162831544876,0
5,10,0.0001311714627840188,0.0001311714627840188,0.06919758766889572,D,B,0.00017259515816164805,0.08915162831544876,0
5,11,-0.0003351611092810569,0.0003351611092810569,0.2367076724767685,A,C,0.00017259515816164805,0.08915162831544876,0
6,0,0.00015239520851395572,0.00015239520851395572,0.10470744222402573,C,A,0.00017259515816164805,0.08915162831544876,0
6,1,0.0005208421360359261,0.0005208421360359261,0.3523666262626648,A,A,0.00017259515816164805,0.08915162831544876,0
6,2,5.848345174142011e-05,5.848345174142011e-05,0.2132149338722229,C,A,0.00017259515816164805,0.08915162831544876,0
6,3,-0.00019454659229184434,0.00019454659229184434,0.037782877683639526,B,D,0.00017259515816164805,0.08915162831544876,0
6,4,0.0007256170077118707,0.0007256170077118707,0.1885543018579483,A,A,0.00017259515816164805,0.08915162831544876,0
6,5,9.066797359763568e-05,9.066797359763568e-05,0.1677408367395401,C,A,0.00017259515816164805,0.08915162831544876,0
6,6,-0.0007838772214825152,0.0007838772214825152,0.12192098796367645,A,C,0.00017259515816164805,0.08915162831544876,0
6,7,-0.00017257078412968863,0.00017257078412968863,0.10686863213777542,C,C,0.00017259515816164805,0.08915162831544876,0
6,8,0.00024353806727217542,0.00024353806727217542,0.10228515416383743,A,A,0.00017259515816164805,0.08915162831544876,0
6,9,0.003639003903759319,0.003639003903759319,0.9234580993652344,A,A,0.00017259515816164805,0.08915162831544876,0
6,10,4.393781956452125e-05,4.393781956452125e-05,0.021894048899412155,D,B,0.00017259515816164805,0.08915162831544876,0
6,11,0.0004333926438547797,0.0004333926438547797,0.1258489191532135,A,A,0.00017259515816164805,0.08915162831544876,0
7,0,2.241337568448243e-05,2.241337568448243e-05,0.09828316420316696,C,A,0.00017259515816164805,0.08915162831544876,0
7,1,-7.601639632584534e-05,7.601639632584534e-05,0.01652691885828972,D,D,0.00017259515816164805,0.08915162831544876,0
7,2,0.00018465501147033048,0.00018465501147033048,0.25776925683021545,A,A,0.00017259515816164805,0.08915162831544876,0
7,3,-0.00026998928218036067,0.00026998928218036067,0.08916211873292923,A,C,0.00017259515816164805,0.08915162831544876,0
7,4,2.9107197427130638e-05,2.9107197427130638e-05,0.01049541961401701,D,B,0.00017259515816164805,0.08915162831544876,0
7,5,1.0709913891571166e-06,1.0709913891571166e-06,0.09408888965845108,C,C,0.00017259515816164805,0.08915162831544876,0
7,6,0.0004939594236185452,0.0004939594236185452,0.18140098452568054,A,A,0.00017259515816164805,0.08915162831544876,0
7,7,0.0008170851357385822,0.0008170851357385822,0.12964874505996704,A,A,0.00017259515816164805,0.08915162831544876,0
7,8,-9.698698278867712e-05,9.698698278867712e-05,0.13422557711601257,C,C,0.00017259515816164805,0.08915162831544876,0
7,9,-5.5139255653396946e-05,5.5139255653396946e-05,0.08069474995136261,D,D,0.00017259515816164805,0.08915162831544876,0
7,10,0.015751179438745433,0.015751179438745433,1.1262446641921997,A,A,0.00017259515816164805,0.08915162831544876,1
7,11,0.0007358232590735092,0.0007358232590735092,0.2399195432662964,A,A,0.00017259515816164805,0.08915162831544876,1
8,0,-0.00012227532862510437,0.00012227532862510437,0.16393253207206726,C,C,0.00017259515816164805,0.08915162831544876,0
8,1,-0.0004698596054436288,0.0004698596054436288,0.20252181589603424,A,C,0.00017259515816164805,0.08915162831544876,0
8,2,0.00017261953219360748,0.00017261953219360748,0.030241241678595543,B,B,0.00017259515816164805,0.08915162831544876,0
8,3,-6.15329875029158e-05,6.15329875029158e-05,0.039442334324121475,D,D,0.00017259515816164805,0.08915162831544876,0
8,4,2.5052422152199716e-05,2.5052422152199716e-05,0.03255226090550423,D,B,0.00017259515816164805,0.08915162831544876,0
8,5,0.0002592794896054129,0.0002592794896054129,0.13974685966968536,A,A,0.00017259515816164805,0.08915162831544876,0
8,6,0.00017130409754456677,0.00017130409754456677,0.28882330656051636,C,A,0.00017259515816164805,0.08915162831544876,0
8,7,-7.327740852702824e-05,7.327740852702824e-05,0.18284496665000916,C,C,0.00017259515816164805,0.08915162831544876,0
8,8,0.002397029120529609,0.002397029120529609,0.3806442320346832,A,A,0.00017259515816164805,0.08915162831544876,0
8,9,-0.0008334023327637441,0.0008334023327637441,0.1649869680404663,A,C,0.00017259515816164805,0.08915162831544876,0
8,10,0.0012313068067217603,0.0012313068067217603,0.2135566771030426,A,A,0.00017259515816164805,0.08915162831544876,1
8,11,0.007997360091987371,0.007997360091987371,0.8933644890785217,A,A,0.00017259515816164805,0.08915162831544876,1
9,0,-9.470990822507686e-05,9.470990822507686e-05,0.033770814538002014,D,D,0.00017259515816164805,0.08915162831544876,0
9,1,0.04514490205778371,0.04514490205778371,1.186662197113037,A,A,0.00017259515816164805,0.08915162831544876,1
9,2,-1.6556053671623605e-06,1.6556053671623605e-06,0.010551455430686474,D,D,0.00017259515816164805,0.08915162831544876,0
9,3,0.0005185602835101055,0.0005185602835101055,0.2573395371437073,A,A,0.00017259515816164805,0.08915162831544876,0
9,4,-5.266056263908414e-05,5.266056263908414e-05,0.027749067172408104,D,D,0.00017259515816164805,0.08915162831544876,0
9,5,0.00040903922670423865,0.00040903922670423865,0.3130238652229309,A,A,0.00017259515816164805,0.08915162831544876,0
9,6,-0.0009187010661841633,0.0009187010661841633,0.313998818397522,A,C,0.00017259515816164805,0.08915162831544876,0
9,7,-6.153154195859267e-05,6.153154195859267e-05,0.07710730284452438,D,D,0.00017259515816164805,0.08915162831544876,0
9,8,7.212656765118175e-05,7.212656765118175e-05,0.04785871505737305,D,B,0.00017259515816164805,0.08915162831544876,0
9,9,-0.0005285418561465083,0.0005285418561465083,0.10061292350292206,A,C,0.00017259515816164805,0.08915162831544876,0
9,10,-6.93083324324606e-05,6.93083324324606e-05,0.04916602000594139,D,D,0.00017259515816164805,0.08915162831544876,0
9,11,3.290101494579645e-07,3.290101494579645e-07,0.028615379706025124,D,D,0.00017259515816164805,0.08915162831544876,0
10,0,-0.00023127660598987188,0.00023127660598987188,0.2071884125471115,A,C,0.00017259515816164805,0.08915162831544876,0
10,1,-0.00012635687463388723,0.00012635687463388723,0.07394716143608093,D,D,0.00017259515816164805,0.08915162831544876,0
10,2,-0.0011355314224368862,0.0011355314224368862,0.42121896147727966,A,C,0.00017259515816164805,0.08915162831544876,0
10,3,6.8674255251643945e-06,6.8674255251643945e-06,0.09118331223726273,C,C,0.00017259515816164805,0.08915162831544876,0
10,4,0.001810075125742383,0.001810075125742383,0.5044403672218323,A,A,0.00017259515816164805,0.08915162831544876,0
10,5,7.600757420206383e-06,7.600757420206383e-06,0.018525172024965286,D,D,0.00017259515816164805,0.08915162831544876,0
