model,seed,group,ratio,k,k_actual,mean_abs_delta,median_abs_delta,n_eval_trials,n_cal_pairs,n_eval_pairs,n_cell_hihp,n_cell_hilp,n_cell_C,n_cell_D
qwen-2.5-7b-instruct,43,hihp_imp_desc,0.01,8,8,0.6001302083333333,0.375,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,hihp_imp_desc,0.03,24,24,1.056640625,0.625,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,hihp_imp_desc,0.05,40,40,2.0748697916666665,0.625,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,hihp_imp_desc,0.07,55,55,3.477278645833333,1.0,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,hihp_imp_desc,0.1,79,79,7.563232421875,6.875,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,hihp_imp_desc,0.12,95,95,8.535370890299479,8.25,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,hihp_imp_desc,0.15,118,118,9.039453125,9.375,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,hihp_imp_desc,0.160714,126,126,9.136940511067708,9.5,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,hihp_imp_desc,0.2,157,157,10.465781656901042,11.125,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,hihp_imp_desc,0.3,236,236,12.376998901367188,12.125,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,hihp_imp_desc,0.5,392,266,12.19092305501302,12.0,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,hihp_imp_asc,0.01,8,8,0.07265625,0.125,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,hihp_imp_asc,0.03,24,24,0.228125,0.25,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,hihp_imp_asc,0.05,40,40,0.1842447916666666,0.125,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,hihp_imp_asc,0.07,55,55,0.679296875,0.5,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,hihp_imp_asc,0.1,79,79,0.8640625,0.75,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,hihp_imp_asc,0.12,95,95,1.5514322916666667,1.5,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,hihp_imp_asc,0.15,118,118,2.7352864583333334,2.75,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,hihp_imp_asc,0.160714,126,126,3.0824869791666667,3.125,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,hihp_imp_asc,0.2,157,157,3.871223958333333,3.875,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,hihp_imp_asc,0.3,236,236,9.68411865234375,8.625,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,hihp_imp_asc,0.5,392,266,12.19092305501302,12.0,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,hilp_imp_desc,0.01,8,8,0.0717447916666666,0.125,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,hilp_imp_desc,0.03,24,24,0.0809895833333333,0.125,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,hilp_imp_desc,0.05,40,40,0.0783854166666666,0.125,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,hilp_imp_desc,0.07,55,55,0.082421875,0.125,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,hilp_imp_desc,0.1,79,79,0.09609375,0.125,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,hilp_imp_desc,0.12,95,95,0.0877604166666666,0.125,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,hilp_imp_desc,0.15,118,118,0.1209635416666666,0.125,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,hilp_imp_desc,0.160714,126,126,0.1135416666666666,0.125,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,hilp_imp_desc,0.2,157,126,0.1135416666666666,0.125,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,hilp_imp_desc,0.3,236,126,0.1135416666666666,0.125,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,hilp_imp_desc,0.5,392,126,0.1135416666666666,0.125,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,hilp_imp_asc,0.01,8,8,0.0705729166666666,0.0,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,hilp_imp_asc,0.03,24,24,0.08359375,0.125,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,hilp_imp_asc,0.05,40,40,0.078125,0.125,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,hilp_imp_asc,0.07,55,55,0.0890625,0.125,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,hilp_imp_asc,0.1,79,79,0.090234375,0.125,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,hilp_imp_asc,0.12,95,95,0.1055989583333333,0.125,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,hilp_imp_asc,0.15,118,118,0.1170572916666666,0.125,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,hilp_imp_asc,0.160714,126,126,0.1135416666666666,0.125,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,hilp_imp_asc,0.2,157,126,0.1135416666666666,0.125,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,hilp_imp_asc,0.3,236,126,0.1135416666666666,0.125,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,hilp_imp_asc,0.5,392,126,0.1135416666666666,0.125,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,C_imp_asc,0.01,8,8,0.8063802083333333,0.375,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,C_imp_asc,0.03,24,24,2.9083984375,2.25,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,C_imp_asc,0.05,40,40,4.959505208333334,4.375,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,C_imp_asc,0.07,55,55,9.798006184895833,9.875,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,C_imp_asc,0.1,79,79,11.963035074869792,12.125,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,C_imp_asc,0.12,95,95,12.863311767578123,12.8125,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,C_imp_asc,0.15,118,118,12.87962849934896,12.9375,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,C_imp_asc,0.160714,126,126,13.050950113932291,12.9375,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,C_imp_asc,0.2,157,126,13.050950113932291,12.9375,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,C_imp_asc,0.3,236,126,13.050950113932291,12.9375,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,C_imp_asc,0.5,392,126,13.050950113932291,12.9375,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,D_imp_asc,0.01,8,8,0.0684895833333333,0.0,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,D_imp_asc,0.03,24,24,0.068359375,0.0,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,D_imp_asc,0.05,40,40,0.0678385416666666,0.0,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,D_imp_asc,0.07,55,55,0.068359375,0.0,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,D_imp_asc,0.1,79,79,0.0727864583333333,0.0625,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,D_imp_asc,0.12,95,95,0.082421875,0.125,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,D_imp_asc,0.15,118,118,0.0811197916666666,0.125,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,D_imp_asc,0.160714,126,126,0.0765625,0.125,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,D_imp_asc,0.2,157,157,0.0822916666666666,0.125,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,D_imp_asc,0.3,236,236,0.14140625,0.125,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,D_imp_asc,0.5,392,265,0.140234375,0.125,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,diag_rank_asc,0.01,8,8,0.069921875,0.0,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,diag_rank_asc,0.03,24,24,0.0662760416666666,0.0,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,diag_rank_asc,0.05,40,40,0.065234375,0.0,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,diag_rank_asc,0.07,55,55,0.0709635416666666,0.0,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,diag_rank_asc,0.1,79,79,0.0696614583333333,0.0,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,diag_rank_asc,0.12,95,95,0.0751302083333333,0.125,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,diag_rank_asc,0.15,118,118,0.1118489583333333,0.125,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,diag_rank_asc,0.160714,126,126,0.1432291666666666,0.125,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,diag_rank_asc,0.2,157,157,0.5848958333333333,0.375,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,diag_rank_asc,0.3,236,236,5.558723958333333,5.125,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,43,diag_rank_asc,0.5,392,391,13.054526774088542,12.9375,960,20,80,266,126,126,265
qwen-2.5-7b-instruct,44,hihp_imp_desc,0.01,8,8,0.6138020833333333,0.375,960,20,80,267,125,125,266
qwen-2.5-7b-instruct,44,hihp_imp_desc,0.03,24,24,1.08046875,0.625,960,20,80,267,125,125,266
qwen-2.5-7b-instruct,44,hihp_imp_desc,0.05,40,40,2.286393229166667,0.75,960,20,80,267,125,125,266
qwen-2.5-7b-instruct,44,hihp_imp_desc,0.07,55,55,4.637141927083333,1.875,960,20,80,267,125,125,266
qwen-2.5-7b-instruct,44,hihp_imp_desc,0.1,79,79,6.2072265625,5.375,960,20,80,267,125,125,266
qwen-2.5-7b-instruct,44,hihp_imp_desc,0.12,95,95,9.0271240234375,9.0,960,20,80,267,125,125,266
qwen-2.5-7b-instruct,44,hihp_imp_desc,0.15,118,118,8.407218424479167,9.0,960,20,80,267,125,125,266
