importance_metric,ablation_type,delta_metric,ratio,cell_c_k,cell_d_k,k_equal,cd_ratio_def_b,cd_ratio_def_a,cell_c_mean_def_b,cell_d_mean_def_b,cell_c_mean_def_a,cell_d_mean_def_a
signed_ld,resample,logit_diff,0.01,2,2,True,0.00151207399961902,0.13595720423019073,0.0004887628555297852,0.3232400369644165,0.059927477836608886,0.44078192234039304
signed_ld,resample,target_logit,0.01,2,2,True,0.006732417658734192,0.09680552005450666,0.0019581079483032226,0.29084766387939454,0.031101412773132324,0.32127726554870606
signed_ld,resample,logit_diff,0.03,5,5,True,0.03657386612379178,0.23505656027627347,0.008639273643493652,0.23621439456939697,0.1092221212387085,0.46466314792633057
signed_ld,resample,target_logit,0.03,5,5,True,0.0509768230871227,0.13415218745413282,0.012839522361755371,0.2518698024749756,0.04636344432830811,0.3456033420562744
signed_ld,resample,logit_diff,0.05,8,8,True,0.11803867372014737,0.26200586117747243,0.00859379768371582,0.07280493259429932,0.1291827964782715,0.4930530786514282
signed_ld,resample,target_logit,0.05,8,8,True,0.07073822858459455,0.17522240119111435,0.016784443855285644,0.23727543354034425,0.06568185329437255,0.37484849452972413
signed_ld,resample,logit_diff,0.07,11,11,True,0.5287653641741242,0.5001296268517595,0.06462054729461669,0.12221024990081787,0.2390289068222046,0.4779339075088501
signed_ld,resample,target_logit,0.07,11,11,True,0.1860952925337409,0.33400633987234396,0.048118896484375,0.2585712718963623,0.12635976791381837,0.37831547737121585
signed_ld,resample,logit_diff,0.1,15,15,True,0.7112645317479925,0.4793401690085248,0.09872656345367431,0.13880428314208984,0.23680099010467529,0.4940144920349121
signed_ld,resample,target_logit,0.1,15,15,True,0.22294010863065222,0.3587654158930939,0.05502500534057617,0.24681519031524657,0.13530368804931642,0.37713693141937255
signed_ld,resample,logit_diff,0.12,18,18,True,0.7853859194723983,0.45192949381127745,0.1344883918762207,0.17123860836029053,0.2588875102996826,0.5728493356704711
signed_ld,resample,target_logit,0.12,18,18,True,0.23493996146897797,0.3696292886077927,0.05897470474243164,0.2510203218460083,0.14686233520507813,0.397323317527771
signed_ld,resample,logit_diff,0.15,22,22,True,1.791587160728612,0.6620514592309402,0.3331368637084961,0.18594510555267335,0.38609259605407714,0.5831761121749878
signed_ld,resample,target_logit,0.15,22,22,True,0.28079704262987504,0.3910165452883049,0.07389940738677979,0.26317729949951174,0.15965107440948487,0.4082974910736084
signed_ld,resample,logit_diff,0.2,28,28,True,42.17476407580936,17.64108220678679,9.708413488864899,0.23019484996795656,9.708413488864899,0.5503298139572144
signed_ld,resample,target_logit,0.2,28,28,True,15.75041999128884,9.838934325505171,3.9007426738739013,0.2476595973968506,3.9007426738739013,0.3964598751068115
signed_ld,resample,logit_diff,0.3,28,28,True,42.17476407580936,17.64108220678679,9.708413488864899,0.23019484996795656,9.708413488864899,0.5503298139572144
signed_ld,resample,target_logit,0.3,28,28,True,15.75041999128884,9.838934325505171,3.9007426738739013,0.2476595973968506,3.9007426738739013,0.3964598751068115
signed_ld,resample,logit_diff,0.5,28,28,True,42.17476407580936,17.64108220678679,9.708413488864899,0.23019484996795656,9.708413488864899,0.5503298139572144
signed_ld,resample,target_logit,0.5,28,28,True,15.75041999128884,9.838934325505171,3.9007426738739013,0.2476595973968506,3.9007426738739013,0.3964598751068115
abs_ld,resample,logit_diff,0.01,2,2,True,0.06955737511349618,0.3366695967900549,0.0004887628555297852,0.007026758193969727,0.059927477836608886,0.1780008602142334
abs_ld,resample,target_logit,0.01,2,2,True,0.15044085036292718,0.5460325435928081,0.0019581079483032226,0.013015799522399903,0.031101412773132324,0.05695889949798584
abs_ld,resample,logit_diff,0.03,5,5,True,2.5200494978975607,0.6255402375174841,0.008856196403503418,0.0035142946243286134,0.11076467990875244,0.17707043170928954
abs_ld,resample,target_logit,0.03,5,5,True,0.7406119030973803,0.9178135040503196,0.009830241203308105,0.013273134231567382,0.053169445991516115,0.057930555343627926
abs_ld,resample,logit_diff,0.05,8,8,True,0.14385388926239068,0.6967008760470539,0.0005774879455566406,0.004014406204223633,0.12733535766601561,0.18276905059814452
abs_ld,resample,target_logit,0.05,8,8,True,0.3944014554129586,0.910920414170607,0.006886792182922363,0.01746137619018555,0.06169827938079834,0.0677318000793457
abs_ld,resample,logit_diff,0.07,11,11,True,0.5166784528899266,0.48650321099906624,0.005636935234069824,0.010909948348999023,0.13433332920074462,0.2761201286315918
abs_ld,resample,target_logit,0.07,11,11,True,0.8713883946388187,0.6987861576243648,0.011993823051452636,0.0137640380859375,0.06803250789642334,0.09735812187194824
abs_ld,resample,logit_diff,0.1,15,15,True,0.4400219170961134,0.4766737280421447,0.012399330139160156,0.028178892135620116,0.14145599365234374,0.2967564296722412
