group,ratio,k,k_actual,prompt_id,delta_ld_signed
C_imp_asc,0.01,2,2,0,-3.0990467071533203
C_imp_asc,0.01,2,2,1,-4.482133865356445
C_imp_asc,0.01,2,2,2,-11.673188209533691
C_imp_asc,0.01,2,2,3,-8.429677963256836
C_imp_asc,0.01,2,2,4,-4.463634490966797
C_imp_asc,0.01,2,2,5,-9.571507453918457
C_imp_asc,0.01,2,2,6,-9.850847244262695
C_imp_asc,0.01,2,2,7,-9.799263000488281
C_imp_asc,0.01,2,2,8,-6.7061262130737305
C_imp_asc,0.01,2,2,9,-9.188364028930664
C_imp_asc,0.01,2,2,10,-11.626303672790527
C_imp_asc,0.01,2,2,11,-6.67903995513916
C_imp_asc,0.01,2,2,12,-6.9319610595703125
C_imp_asc,0.01,2,2,13,-10.430841445922852
C_imp_asc,0.01,2,2,14,-6.282048225402832
C_imp_asc,0.01,2,2,15,-8.85008430480957
C_imp_asc,0.01,2,2,16,-4.93900203704834
C_imp_asc,0.01,2,2,17,-7.441987037658691
C_imp_asc,0.01,2,2,18,-5.254851341247559
C_imp_asc,0.01,2,2,19,-5.244603157043457
C_imp_asc,0.01,2,2,20,-6.465892791748047
C_imp_asc,0.01,2,2,21,-10.429129600524902
C_imp_asc,0.01,2,2,22,-5.252079010009766
C_imp_asc,0.01,2,2,23,-6.938531875610352
C_imp_asc,0.01,2,2,24,-7.121731758117676
C_imp_asc,0.01,2,2,25,-8.55135440826416
C_imp_asc,0.01,2,2,26,-11.490943908691406
C_imp_asc,0.01,2,2,27,-4.366573333740234
C_imp_asc,0.01,2,2,28,-11.588086128234863
C_imp_asc,0.01,2,2,29,-7.0384626388549805
C_imp_asc,0.01,2,2,30,-6.236381530761719
C_imp_asc,0.01,2,2,31,-5.997991561889648
C_imp_asc,0.01,2,2,32,-12.37784194946289
C_imp_asc,0.01,2,2,33,-8.834027290344238
C_imp_asc,0.01,2,2,34,-9.704503059387207
C_imp_asc,0.01,2,2,35,-7.5803728103637695
C_imp_asc,0.01,2,2,36,-9.432451248168945
C_imp_asc,0.01,2,2,37,-6.806262016296387
C_imp_asc,0.01,2,2,38,-5.457927703857422
C_imp_asc,0.01,2,2,39,-8.354961395263672
C_imp_asc,0.01,2,2,40,-6.949064254760742
C_imp_asc,0.01,2,2,41,-5.629705429077148
C_imp_asc,0.01,2,2,42,-7.795937538146973
C_imp_asc,0.01,2,2,43,-5.276354789733887
C_imp_asc,0.01,2,2,44,-9.685037612915039
C_imp_asc,0.01,2,2,45,-8.7932767868042
C_imp_asc,0.01,2,2,46,-6.139486312866211
C_imp_asc,0.01,2,2,47,-7.503006935119629
C_imp_asc,0.01,2,2,48,-9.851415634155273
C_imp_asc,0.01,2,2,49,-9.023382186889648
C_imp_asc,0.01,2,2,50,-10.539739608764648
C_imp_asc,0.01,2,2,51,-4.118154525756836
C_imp_asc,0.01,2,2,52,-6.816954612731934
C_imp_asc,0.01,2,2,53,-4.017446517944336
C_imp_asc,0.01,2,2,54,-5.373859405517578
C_imp_asc,0.01,2,2,55,-10.972831726074219
C_imp_asc,0.01,2,2,56,-5.540773391723633
C_imp_asc,0.01,2,2,57,-5.485700607299805
C_imp_asc,0.01,2,2,58,-6.949064254760742
C_imp_asc,0.01,2,2,59,-6.580390930175781
C_imp_asc,0.01,2,2,60,-7.925776481628418
C_imp_asc,0.01,2,2,61,-9.507311820983887
C_imp_asc,0.01,2,2,62,-11.91928768157959
C_imp_asc,0.01,2,2,63,-7.275386810302734
C_imp_asc,0.01,2,2,64,-8.833342552185059
C_imp_asc,0.01,2,2,65,-8.729609489440918
C_imp_asc,0.01,2,2,66,-9.109845161437988
C_imp_asc,0.01,2,2,67,-4.322460174560547
C_imp_asc,0.01,2,2,68,-7.764183044433594
C_imp_asc,0.01,2,2,69,-5.214626312255859
C_imp_asc,0.01,2,2,70,-9.021230697631836
C_imp_asc,0.01,2,2,71,-6.998208999633789
C_imp_asc,0.01,2,2,72,-8.09365177154541
C_imp_asc,0.01,2,2,73,-7.500555038452148
C_imp_asc,0.01,2,2,74,-5.385408401489258
C_imp_asc,0.01,2,2,75,-9.598053932189941
C_imp_asc,0.01,2,2,76,-11.907430648803711
C_imp_asc,0.01,2,2,77,-10.881925582885742
C_imp_asc,0.01,2,2,78,-7.134410858154297
C_imp_asc,0.01,2,2,79,-3.4972352981567383
C_imp_asc,0.01,2,2,80,-8.327717781066895
C_imp_asc,0.01,2,2,81,-4.005987167358398
C_imp_asc,0.01,2,2,82,-6.923372268676758
C_imp_asc,0.01,2,2,83,-7.925776481628418
C_imp_asc,0.01,2,2,84,-9.26879596710205
C_imp_asc,0.01,2,2,85,-9.778669357299805
C_imp_asc,0.01,2,2,86,-4.144874572753906
C_imp_asc,0.01,2,2,87,-5.473695755004883
C_imp_asc,0.01,2,2,88,-5.051012992858887
C_imp_asc,0.01,2,2,89,-5.853916168212891
C_imp_asc,0.01,2,2,90,-5.878237724304199
C_imp_asc,0.01,2,2,91,-9.18124008178711
C_imp_asc,0.01,2,2,92,-9.539579391479492
C_imp_asc,0.01,2,2,93,-7.260402679443359
C_imp_asc,0.01,2,2,94,-7.870205879211426
C_imp_asc,0.01,2,2,95,-8.09040355682373
C_imp_asc,0.01,2,2,96,-4.6486968994140625
C_imp_asc,0.01,2,2,97,-9.17609691619873
C_imp_asc,0.01,2,2,98,-6.6628265380859375
C_imp_asc,0.01,2,2,99,-7.622041702270508
C_imp_asc,0.03,5,5,0,-4.407735824584961
C_imp_asc,0.03,5,5,1,-4.926854133605957
C_imp_asc,0.03,5,5,2,-14.325818061828613
C_imp_asc,0.03,5,5,3,-9.30541706085205
C_imp_asc,0.03,5,5,4,-4.878727912902832
C_imp_asc,0.03,5,5,5,-11.214788436889648
C_imp_asc,0.03,5,5,6,-11.21196174621582
C_imp_asc,0.03,5,5,7,-12.603479385375977
C_imp_asc,0.03,5,5,8,-7.438640594482422
C_imp_asc,0.03,5,5,9,-10.875212669372559
C_imp_asc,0.03,5,5,10,-11.692513465881348
C_imp_asc,0.03,5,5,11,-7.974671363830566
C_imp_asc,0.03,5,5,12,-6.764003753662109
C_imp_asc,0.03,5,5,13,-11.42570686340332
C_imp_asc,0.03,5,5,14,-7.068903923034668
C_imp_asc,0.03,5,5,15,-10.819069862365723
C_imp_asc,0.03,5,5,16,-6.4608154296875
C_imp_asc,0.03,5,5,17,-8.391324043273926
C_imp_asc,0.03,5,5,18,-5.561382293701172
C_imp_asc,0.03,5,5,19,-6.358339309692383
C_imp_asc,0.03,5,5,20,-6.938401222229004
C_imp_asc,0.03,5,5,21,-11.392952919006348
C_imp_asc,0.03,5,5,22,-6.284749984741211
C_imp_asc,0.03,5,5,23,-7.731711387634277
C_imp_asc,0.03,5,5,24,-8.936809539794922
C_imp_asc,0.03,5,5,25,-9.266451835632324
C_imp_asc,0.03,5,5,26,-12.313215255737305
C_imp_asc,0.03,5,5,27,-4.297931671142578
C_imp_asc,0.03,5,5,28,-12.829232215881348
C_imp_asc,0.03,5,5,29,-6.778215408325195
C_imp_asc,0.03,5,5,30,-9.41563606262207
C_imp_asc,0.03,5,5,31,-5.95914363861084
C_imp_asc,0.03,5,5,32,-15.367618560791016
C_imp_asc,0.03,5,5,33,-10.11868953704834
C_imp_asc,0.03,5,5,34,-10.319445610046387
C_imp_asc,0.03,5,5,35,-8.70340347290039
C_imp_asc,0.03,5,5,36,-10.597840309143066
C_imp_asc,0.03,5,5,37,-7.638128280639648
C_imp_asc,0.03,5,5,38,-7.348196983337402
C_imp_asc,0.03,5,5,39,-8.659324645996094
