model,group,ratio,n_trials,mean_abs_delta,mean_signed_delta,median_abs_delta
qwen-2.5-14b-instruct,diag_rank_asc,0.15,120,0.105208,-0.005208,0.125
qwen-2.5-14b-instruct,diag_rank_asc,0.2,120,0.396875,-0.221875,0.25
olmo-2-13b-instruct,diag_zscore_asc,0.05,120,0.094531,-0.052344,0.0625
olmo-2-13b-instruct,diag_zscore_asc,0.1,120,0.211719,-0.121094,0.125
olmo-2-13b-instruct,diag_zscore_asc,0.15,120,0.366927,-0.266927,0.21875
olmo-2-13b-instruct,diag_zscore_asc,0.2,120,0.58125,-0.503646,0.328125
olmo-2-13b-instruct,diag_rank_asc,0.05,120,0.024479,0.002604,0.03125
olmo-2-13b-instruct,diag_rank_asc,0.1,120,0.048177,0.008594,0.03125
olmo-2-13b-instruct,diag_rank_asc,0.15,120,0.085938,-0.027083,0.0625
olmo-2-13b-instruct,diag_rank_asc,0.2,120,0.132031,-0.080469,0.078125
