layer,head,perturbation_L2
0,0,1.0665059089660645
0,1,1.118487000465393
0,2,0.05366421863436699
0,3,0.14970913529396057
0,4,0.08028421550989151
0,5,0.4671083688735962
0,6,0.22369767725467682
0,7,0.15132449567317963
0,8,0.4084460139274597
0,9,2.0594089031219482
0,10,0.2551954388618469
0,11,2.065359592437744
0,12,2.405661106109619
0,13,0.4388314187526703
0,14,0.16190311312675476
0,15,0.46680885553359985
1,0,0.28534719347953796
1,1,0.1410025656223297
1,2,0.39706188440322876
1,3,0.13983044028282166
1,4,0.7853938341140747
1,5,0.12750425934791565
1,6,1.158747911453247
1,7,0.2539424002170563
1,8,0.40570443868637085
1,9,0.1529991179704666
1,10,0.6109619736671448
1,11,2.4638831615448
1,12,0.16245265305042267
1,13,0.07449276745319366
1,14,0.6428311467170715
1,15,0.33456581830978394
2,0,0.04712934046983719
2,1,0.524779200553894
2,2,0.3017466366291046
2,3,1.202576994895935
2,4,1.09245765209198
2,5,0.44596073031425476
2,6,0.7210392951965332
2,7,1.2364716529846191
2,8,0.9474272727966309
2,9,0.8592367172241211
2,10,0.7911033034324646
2,11,1.0005033016204834
2,12,0.5758238434791565
2,13,0.3080132305622101
2,14,1.0378130674362183
2,15,0.6991463303565979
3,0,0.4622707664966583
3,1,0.30720385909080505
3,2,0.18472401797771454
3,3,0.5122365951538086
3,4,0.4843217730522156
3,5,0.37360483407974243
3,6,0.44870254397392273
3,7,0.2533033788204193
3,8,1.4544341564178467
3,9,0.9043166041374207
3,10,0.5212612152099609
3,11,0.264666885137558
3,12,1.669757604598999
3,13,0.6819522976875305
3,14,0.04924013838171959
3,15,0.8399057388305664
4,0,1.684956431388855
4,1,1.2353068590164185
4,2,0.7708346247673035
4,3,0.7271825075149536
4,4,1.3882710933685303
4,5,1.67239511013031
4,6,0.6078141331672668
4,7,0.32228368520736694
4,8,0.16219140589237213
4,9,0.6244946122169495
4,10,0.992162823677063
4,11,0.509181022644043
4,12,0.6764041185379028
4,13,0.16729365289211273
4,14,0.1999978870153427
4,15,4.308262348175049
5,0,0.5291454792022705
5,1,0.9623992443084717
5,2,1.902784824371338
5,3,2.0029780864715576
5,4,0.18733318150043488
5,5,2.693155527114868
5,6,2.2367682456970215
5,7,0.2560397684574127
