crel_pair,n_C_trials,n_D_trials,c_mean_abs_delta,d_mean_abs_delta,c_minus_d
SAME-OPP,20,20,3.4281,0.0437,3.3844
SAME-MORE,20,20,5.1531,0.0875,5.0656
SAME-LESS,20,20,4.6344,0.05,4.5844
OPP-MORE,20,20,5.9562,0.2313,5.725
OPP-LESS,20,20,4.9594,0.2125,4.7469
MORE-LESS,20,20,4.9969,0.1,4.8969
