group,ratio,n_trials,n_valid,accuracy_clean,accuracy_patched,accuracy_degradation,flip_rate,target_logit_delta_mean,source_logit_delta_mean
C_imp_asc,0.05,120,120,0.35,0.24166666666666667,0.10833333333333331,0.10833333333333334,-1.734375,9.4828125
C_imp_asc,0.1,120,120,0.35,0.05,0.3,0.4,-5.420833333333333,11.553125
C_imp_asc,0.2,120,120,0.35,0.0,0.35,1.0,-12.877083333333333,21.402083333333334
C_imp_asc,0.3,120,120,0.35,0.0,0.35,1.0,-13.109895833333333,21.304166666666667
D_imp_asc,0.05,120,120,0.35,0.35833333333333334,-0.00833333333333336,0.025,-0.027083333333333334,-0.06471354166666667
D_imp_asc,0.1,120,120,0.35,0.31666666666666665,0.033333333333333326,0.05,-0.17291666666666666,-0.3427001953125
D_imp_asc,0.2,120,120,0.35,0.3416666666666667,0.008333333333333304,0.041666666666666664,-0.022916666666666665,-0.54039306640625
D_imp_asc,0.3,120,120,0.35,0.375,-0.025000000000000022,0.025,-0.10833333333333334,-0.5508056640625
hihp_imp_desc,0.05,120,120,0.35,0.16666666666666666,0.18333333333333332,0.35,-2.9114583333333335,3.8179036458333333
hihp_imp_desc,0.1,120,120,0.35,0.0,0.35,0.6416666666666667,-4.942708333333333,16.039583333333333
hihp_imp_desc,0.2,120,120,0.35,0.025,0.32499999999999996,0.925,-5.13125,18.834375
hihp_imp_desc,0.3,120,120,0.35,0.0,0.35,1.0,-17.526041666666668,20.61875
hilp_imp_desc,0.05,120,120,0.35,0.3333333333333333,0.016666666666666663,0.016666666666666666,-0.14166666666666666,-0.4309895833333333
hilp_imp_desc,0.1,120,120,0.35,0.425,-0.07500000000000001,0.075,-0.0375,0.035807291666666664
hilp_imp_desc,0.2,120,120,0.35,0.475,-0.125,0.125,0.15416666666666667,0.23776041666666667
hilp_imp_desc,0.3,120,120,0.35,0.475,-0.125,0.125,0.15416666666666667,0.23776041666666667
