layer,head,causal_imp,perturbation_L2,cell_new_abs,causal_imp_median,perturbation_median
0,0,0.0625,0.095277726650238,D_p,0.065625,0.7376671731472015
0,1,0.06458333333333334,0.0495906472206115,D_p,0.065625,0.7376671731472015
0,2,0.059375,0.0683250799775123,D_p,0.065625,0.7376671731472015
0,3,0.06875,0.0339640565216541,hilp_p,0.065625,0.7376671731472015
0,4,0.06770833333333333,0.1380705535411834,hilp_p,0.065625,0.7376671731472015
0,5,0.05520833333333333,0.0535411685705184,D_p,0.065625,0.7376671731472015
0,6,0.057291666666666664,0.0289835669100284,D_p,0.065625,0.7376671731472015
0,7,0.065625,0.0565537884831428,hilp_p,0.065625,0.7376671731472015
0,8,0.05,0.039568193256855,D_p,0.065625,0.7376671731472015
0,9,0.065625,0.0681980773806572,hilp_p,0.065625,0.7376671731472015
0,10,0.0625,0.0563396550714969,D_p,0.065625,0.7376671731472015
0,11,0.05625,0.0313512682914733,D_p,0.065625,0.7376671731472015
0,12,0.059375,0.0376800410449504,D_p,0.065625,0.7376671731472015
0,13,0.058333333333333334,0.0428878404200077,D_p,0.065625,0.7376671731472015
0,14,0.07083333333333333,0.0415799878537654,hilp_p,0.065625,0.7376671731472015
0,15,0.0,0.0,D_p,0.065625,0.7376671731472015
0,16,0.06770833333333333,0.0481194444000721,hilp_p,0.065625,0.7376671731472015
0,17,0.06770833333333333,0.0807676389813423,hilp_p,0.065625,0.7376671731472015
0,18,0.06145833333333333,0.2084118574857711,D_p,0.065625,0.7376671731472015
0,19,0.06041666666666667,0.1500658094882965,D_p,0.065625,0.7376671731472015
0,20,0.057291666666666664,0.1789222806692123,D_p,0.065625,0.7376671731472015
0,21,0.06770833333333333,0.1007125452160835,hilp_p,0.065625,0.7376671731472015
0,22,0.06354166666666666,0.0876423418521881,D_p,0.065625,0.7376671731472015
0,23,0.06875,0.0388164073228836,hilp_p,0.065625,0.7376671731472015
0,24,0.057291666666666664,0.0437884591519832,D_p,0.065625,0.7376671731472015
0,25,0.07291666666666667,0.0591353438794612,hilp_p,0.065625,0.7376671731472015
0,26,0.06875,0.0434267222881317,hilp_p,0.065625,0.7376671731472015
0,27,0.065625,0.0536140725016593,hilp_p,0.065625,0.7376671731472015
1,0,0.06145833333333333,0.0834939628839492,D_p,0.065625,0.7376671731472015
1,1,0.06145833333333333,0.0819700062274932,D_p,0.065625,0.7376671731472015
1,2,0.06041666666666667,0.0664978772401809,D_p,0.065625,0.7376671731472015
1,3,0.06145833333333333,0.0640429258346557,D_p,0.065625,0.7376671731472015
1,4,0.06354166666666666,0.1672148704528808,D_p,0.065625,0.7376671731472015
1,5,0.06770833333333333,0.1105461046099662,hilp_p,0.065625,0.7376671731472015
1,6,0.06041666666666667,0.0728684440255165,D_p,0.065625,0.7376671731472015
1,7,0.06875,0.0744793936610221,hilp_p,0.065625,0.7376671731472015
1,8,0.05,0.0724987536668777,D_p,0.065625,0.7376671731472015
1,9,0.06145833333333333,0.0615932010114192,D_p,0.065625,0.7376671731472015
1,10,0.05416666666666667,0.0600096173584461,D_p,0.065625,0.7376671731472015
1,11,0.06354166666666666,0.0807431042194366,D_p,0.065625,0.7376671731472015
1,12,0.06875,0.0594133287668228,hilp_p,0.065625,0.7376671731472015
1,13,0.06458333333333334,0.0894892588257789,D_p,0.065625,0.7376671731472015
1,14,0.05416666666666667,0.108061097562313,D_p,0.065625,0.7376671731472015
1,15,0.052083333333333336,0.0540043301880359,D_p,0.065625,0.7376671731472015
1,16,0.06979166666666667,0.0671747252345085,hilp_p,0.065625,0.7376671731472015
1,17,0.059375,0.0561374463140964,D_p,0.065625,0.7376671731472015
1,18,0.06041666666666667,0.0873847007751464,D_p,0.065625,0.7376671731472015
1,19,0.071875,0.0542193986475467,hilp_p,0.065625,0.7376671731472015
1,20,0.06354166666666666,0.0597219988703727,D_p,0.065625,0.7376671731472015
1,21,0.06770833333333333,0.0963296368718147,hilp_p,0.065625,0.7376671731472015
1,22,0.0625,0.0886955633759498,D_p,0.065625,0.7376671731472015
1,23,0.059375,0.1104542687535286,D_p,0.065625,0.7376671731472015
1,24,0.06875,0.0921267047524452,hilp_p,0.065625,0.7376671731472015
1,25,0.05625,0.1001715511083602,D_p,0.065625,0.7376671731472015
1,26,0.057291666666666664,0.0972489491105079,D_p,0.065625,0.7376671731472015
1,27,0.07083333333333333,0.1032786592841148,hilp_p,0.065625,0.7376671731472015
2,0,0.058333333333333334,0.1276539862155914,D_p,0.065625,0.7376671731472015
2,1,0.058333333333333334,0.1160389482975006,D_p,0.065625,0.7376671731472015
2,2,0.071875,0.1111429408192634,hilp_p,0.065625,0.7376671731472015
2,3,0.06041666666666667,0.1400841325521469,D_p,0.065625,0.7376671731472015
2,4,0.05520833333333333,0.0918537527322769,D_p,0.065625,0.7376671731472015
2,5,0.06666666666666667,0.1045914515852928,hilp_p,0.065625,0.7376671731472015
2,6,0.065625,0.1096002459526062,hilp_p,0.065625,0.7376671731472015
2,7,0.06041666666666667,0.1200184226036071,D_p,0.065625,0.7376671731472015
2,8,0.07291666666666667,0.2020553350448608,hilp_p,0.065625,0.7376671731472015
2,9,0.08229166666666667,1.3245735168457031,hihp_p,0.065625,0.7376671731472015
2,10,0.059375,0.2147537320852279,D_p,0.065625,0.7376671731472015
2,11,0.0625,0.1625659763813018,D_p,0.065625,0.7376671731472015
2,12,0.06041666666666667,0.183835968375206,D_p,0.065625,0.7376671731472015
2,13,0.05520833333333333,0.1086562722921371,D_p,0.065625,0.7376671731472015
2,14,0.057291666666666664,0.2167965024709701,D_p,0.065625,0.7376671731472015
2,15,0.05416666666666667,0.2347699403762817,D_p,0.065625,0.7376671731472015
2,16,0.06145833333333333,0.2715805172920227,D_p,0.065625,0.7376671731472015
2,17,0.059375,0.3007959425449371,D_p,0.065625,0.7376671731472015
2,18,0.06770833333333333,0.1414765417575836,hilp_p,0.065625,0.7376671731472015
2,19,0.065625,0.225719079375267,hilp_p,0.065625,0.7376671731472015
2,20,0.06354166666666666,0.1469488590955734,D_p,0.065625,0.7376671731472015
2,21,0.06145833333333333,0.1501156091690063,D_p,0.065625,0.7376671731472015
2,22,0.06875,0.2502492666244507,hilp_p,0.065625,0.7376671731472015
2,23,0.06354166666666666,0.1537968218326568,D_p,0.065625,0.7376671731472015
2,24,0.07708333333333334,0.2739389538764953,hilp_p,0.065625,0.7376671731472015
2,25,0.058333333333333334,0.3444641232490539,D_p,0.065625,0.7376671731472015
2,26,0.06041666666666667,1.0424907207489014,C_p,0.065625,0.7376671731472015
2,27,0.059375,0.1949590295553207,D_p,0.065625,0.7376671731472015
3,0,0.05416666666666667,0.1117116510868072,D_p,0.065625,0.7376671731472015
3,1,0.059375,0.1324841380119323,D_p,0.065625,0.7376671731472015
3,2,0.065625,0.1931018233299255,hilp_p,0.065625,0.7376671731472015
3,3,0.05625,0.1454220563173294,D_p,0.065625,0.7376671731472015
3,4,0.06145833333333333,0.1266631335020065,D_p,0.065625,0.7376671731472015
3,5,0.07291666666666667,0.4576734900474548,hilp_p,0.065625,0.7376671731472015
3,6,0.06666666666666667,0.1584948301315307,hilp_p,0.065625,0.7376671731472015
3,7,0.05416666666666667,0.2067481875419616,D_p,0.065625,0.7376671731472015
3,8,0.05520833333333333,0.1261062175035476,D_p,0.065625,0.7376671731472015
3,9,0.065625,0.3112559616565704,hilp_p,0.065625,0.7376671731472015
3,10,0.07395833333333333,0.2096773087978363,hilp_p,0.065625,0.7376671731472015
3,11,0.06458333333333334,0.2124520242214203,D_p,0.065625,0.7376671731472015
3,12,0.06979166666666667,0.1624501347541809,hilp_p,0.065625,0.7376671731472015
3,13,0.053125,0.2544930577278137,D_p,0.065625,0.7376671731472015
3,14,0.06666666666666667,0.3228444457054138,hilp_p,0.065625,0.7376671731472015
3,15,0.05416666666666667,0.2205429971218109,D_p,0.065625,0.7376671731472015
3,16,0.0625,0.1144097819924354,D_p,0.065625,0.7376671731472015
3,17,0.058333333333333334,0.2492892742156982,D_p,0.065625,0.7376671731472015
3,18,0.075,0.1820990443229675,hilp_p,0.065625,0.7376671731472015
3,19,0.0625,0.1928269118070602,D_p,0.065625,0.7376671731472015
3,20,0.057291666666666664,0.2307307720184326,D_p,0.065625,0.7376671731472015
3,21,0.06458333333333334,0.2596145570278168,D_p,0.065625,0.7376671731472015
3,22,0.05625,0.1865015178918838,D_p,0.065625,0.7376671731472015
3,23,0.0625,0.2185371220111847,D_p,0.065625,0.7376671731472015
