layer,head,induction_score,prev_token_score,dup_token_score
0,0,0.013031653128564358,0.08128118515014648,0.010815429501235485
0,1,0.00011220542364753783,0.0007877812604419887,0.19511038064956665
0,2,0.01248244009912014,0.061963409185409546,0.012661177664995193
0,3,5.276019237498986e-06,0.015169879421591759,9.44867788348347e-05
0,4,0.0004986117710359395,0.05685275420546532,0.00433853454887867
0,5,1.4956544873712119e-05,0.0020029786974191666,0.3051932454109192
0,6,0.013007906265556812,0.08495531231164932,0.014108986593782902
0,7,0.0011189916403964162,0.22290875017642975,0.00033960482687689364
0,8,0.012249786406755447,0.07871288061141968,0.009977086447179317
0,9,0.012754997238516808,0.0737399309873581,0.005363652482628822
0,10,0.009326907806098461,0.04991084709763527,0.06995530426502228
0,11,0.013703945092856884,0.06961879134178162,0.014393373392522335
1,0,0.0011485253926366568,0.23240600526332855,0.00053475855384022
1,1,0.0019238577224314213,0.1841445118188858,0.0008253531996160746
1,2,0.0074065313674509525,0.1177305057644844,0.006622306536883116
1,3,0.0032820231281220913,0.06560084968805313,0.0029405930545181036
1,4,0.008147836662828922,0.09096338599920273,0.007752459030598402
1,5,0.0122068515047431,0.055719438940286636,0.030148200690746307
1,6,0.014304440468549728,0.052574772387742996,0.023798100650310516
1,7,0.01622244156897068,0.06887218356132507,0.009188585914671421
1,8,0.011263457126915455,0.06284444779157639,0.009532611817121506
1,9,0.013393530622124672,0.0533357635140419,0.010593500919640064
1,10,0.009003506042063236,0.11331194639205933,0.008132120594382286
1,11,0.0006074173143133521,0.011539573781192303,0.1293700784444809
2,0,0.001308153267018497,0.1743008941411972,0.00041852775029838085
2,1,0.015785513445734978,0.054406870156526566,0.013878272846341133
2,2,2.4326200218638405e-06,0.492697536945343,2.491061650289339e-07
2,3,0.0001304653997067362,0.2928841710090637,2.351282637391705e-05
2,4,4.6430970542132854e-05,0.15515339374542236,1.0204011232417542e-05
2,5,4.4870284909848124e-05,0.333854079246521,4.89642434331472e-06
2,6,0.0040515209548175335,0.09888925403356552,0.002518987050279975
2,7,0.007150743622332811,0.11785712838172913,0.006452024448662996
2,8,0.00014736325829289854,0.2590159475803375,2.622690226417035e-05
2,9,6.260054942686111e-05,0.3723646402359009,4.517024990491336e-06
2,10,0.004759602248668671,0.1417103409767151,0.004369722213596106
2,11,0.0018027201294898987,0.07952596247196198,0.001485830289311707
3,0,0.0015798471868038177,0.024621395394206047,0.3175017237663269
3,1,0.0008740465855225921,0.1371384859085083,0.0001639321999391541
3,2,1.2470229194150306e-05,0.4001353979110718,1.9463648186501814e-06
3,3,6.955298431421397e-06,0.34916621446609497,4.824951247428544e-07
3,4,0.009104984812438488,0.044883985072374344,0.005551551003009081
3,5,0.009991103783249855,0.05480851233005524,0.006175771355628967
3,6,0.00010198444942943752,0.31664544343948364,2.7799798772321083e-05
3,7,4.555714895104757e-06,0.5243092179298401,3.4678419069678057e-07
3,8,1.9296694517834112e-05,0.3401810824871063,2.89924582830281e-06
3,9,0.00022772887314204127,0.12680208683013916,0.00010032856516772881
3,10,0.0013072683941572905,0.10847935080528259,0.0018812924390658736
3,11,0.0004146058054175228,0.21184717118740082,6.297408253885806e-05
4,0,5.484525900101289e-05,0.13857872784137726,1.2055218576279003e-05
4,1,0.00019119844364468008,0.14054548740386963,4.464776429813355e-05
4,2,0.005038062110543251,0.04634341597557068,0.0034775417298078537
4,3,0.00028593148454092443,0.24784594774246216,0.00010414561984362081
4,4,0.0026376761961728334,0.04607293754816055,0.010022055357694626
4,5,0.00015782211266923696,0.1228269636631012,4.062421066919342e-05
4,6,0.0014597667613998055,0.15950661897659302,0.00035684992326423526
4,7,0.0034596461337059736,0.1870507299900055,0.00922005157917738
4,8,0.013415503315627575,0.048633623868227005,0.0090751638635993
4,9,0.0007796580903232098,0.09555940330028534,0.0002625733322929591
4,10,0.004260034766048193,0.02965090237557888,0.0071773286908864975
4,11,1.0760766193038118e-13,0.9631083011627197,3.3216019832218064e-17
5,0,0.22352123260498047,0.05021549388766289,0.006534101907163858
5,1,0.41749560832977295,0.024299075827002525,0.001316007343120873
5,2,0.0005213535041548312,0.1794685572385788,0.0001268742635147646
5,3,0.004551907069981098,0.11379537731409073,0.0016359579749405384
5,4,0.0002611883683130145,0.18104779720306396,0.00010765517072286457
5,5,0.444489985704422,0.02726166881620884,0.001177019439637661
5,6,8.874104241840541e-05,0.4346051514148712,0.00018568019731901586
5,7,0.00015598553000018,0.04675678163766861,0.00010543179814703763
5,8,0.07981926202774048,0.058026205748319626,0.0006171712884679437
5,9,0.016852788627147675,0.04475841671228409,0.004603005014359951
5,10,0.012330539524555206,0.06589352339506149,0.031231706961989403
5,11,0.0019592426251620054,0.04637077823281288,0.003507679793983698
6,0,0.0009377322276122868,0.21768248081207275,0.0004105271364096552
6,1,0.004315484315156937,0.051594141870737076,0.0004118935903534293
6,2,0.008349102921783924,0.03754262626171112,0.007678877096623182
6,3,0.004100179765373468,0.07442359626293182,0.0017441941890865564
6,4,0.02216685749590397,0.06706240028142929,0.010888125747442245
6,5,0.00368695380166173,0.10481472313404083,0.002612104406580329
6,6,0.01666594110429287,0.053225040435791016,0.017719760537147522
6,7,0.006123308092355728,0.11451246589422226,0.0028065198566764593
6,8,0.00013218233652878553,0.49553748965263367,5.7385983382118866e-05
6,9,0.420462042093277,0.025304753333330154,0.0018318817019462585
6,10,0.02524782344698906,0.058465924113988876,0.008115027099847794
6,11,0.0014388125855475664,0.1162126436829567,0.00043965689837932587
