model,group,ratio,ratio_label,k,k_actual,crel_pair,pair_id,attr_dim,delta_target_logit_signed,delta_source_logit_signed,argmax_token_id_clean,argmax_token_id_patched,n_cell_C_p,n_cell_D_p,n_cell_hihp_p,n_cell_hilp_p,causal_imp_median,perturbation_median
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,OPP-MORE,pair7,P,-0.125,0.046875,59380,59380,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,OPP-MORE,pair7,Q,-0.25,0.21875,59380,59380,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,OPP-MORE,pair8,P,-0.125,-0.078125,13259,13259,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,OPP-MORE,pair8,Q,0.0,0.15625,13259,13259,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,OPP-MORE,pair9,P,0.125,0.03125,57625,57625,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,OPP-MORE,pair9,Q,0.125,0.0625,57625,57625,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,OPP-LESS,pair0,P,-0.125,-0.078125,22337,22337,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,OPP-LESS,pair0,Q,0.0,0.1875,22337,22337,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,OPP-LESS,pair1,P,0.125,-0.140625,11716,11716,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,OPP-LESS,pair1,Q,0.125,0.1875,11716,11716,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,OPP-LESS,pair2,P,0.0,0.046875,64883,64883,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,OPP-LESS,pair2,Q,0.0,0.1875,64883,64883,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,OPP-LESS,pair3,P,0.0,-0.015625,2479,2479,94,348,418,164,0.029166666666666667,0.2509546428918838
llama-3.1-8b-instruct,C_p_imp_asc,0.05,r0.05,51,51,OPP-LESS,pair3,Q,0.0,0.375,2479,2479,94,348,418,164,0.029166666666666667,0.2509546428918838
