layer,head,importance,perturbation,cell
0,0,0.0526194852941176,0.1607403010403847,hilp
0,1,0.0641084558823529,0.2164473191964241,hilp
0,2,0.1011029411764705,0.2494463408297366,hilp
0,3,0.0220588235294117,0.0180257072840022,D
0,4,0.033547794117647,0.0704092175754554,hilp
0,5,0.0241268382352941,0.0162032050678081,D
0,6,0.0418198529411764,0.1323018577497671,hilp
0,7,0.0381433823529411,0.0982406082980827,hilp
0,8,0.0259650735294117,0.0344471850925508,D
0,9,0.0170036764705882,0.0181249519656001,D
0,10,0.0278033088235294,0.0388216508709935,D
0,11,0.0454963235294117,0.1116968455779201,hilp
0,12,0.0438878676470588,0.1006051679715336,hilp
0,13,0.0232077205882352,0.0130178907112327,D
0,14,0.0241268382352941,0.0083756928541012,D
0,15,0.0255055147058823,0.0784790193908573,D
0,16,0.0186121323529411,0.0070405038979301,D
0,17,0.0202205882352941,0.0469483729068408,D
0,18,0.0193014705882352,0.0032488045989713,D
0,19,0.0229779411764705,0.0128783572581596,D
0,20,0.0229779411764705,0.026831228094285,D
0,21,0.0229779411764705,0.0125762797919485,D
0,22,0.0280330882352941,0.0046106701526749,D
0,23,0.0307904411764705,0.1183176651487455,hilp
0,24,0.0847886029411764,0.1729096419653882,hilp
0,25,0.0294117647058823,0.0311931648277951,hilp
0,26,0.01953125,0.0366896339358337,D
0,27,0.0202205882352941,0.0268498447258025,D
0,28,0.0241268382352941,0.0295264184379073,D
0,29,0.0243566176470588,0.0005174438145278,D
0,30,0.0186121323529411,0.0145178262438789,D
0,31,0.0068933823529411,1.528815763616448e-05,D
1,0,0.0422794117647058,0.0902040789506452,hilp
1,1,0.05859375,0.1495499202693977,hilp
1,2,0.0390625,0.0533072512925547,hilp
1,3,0.0631893382352941,0.2344225454897455,hilp
1,4,0.0753676470588235,0.3072489484714906,hilp
1,5,0.0477941176470588,0.1245735856697566,hilp
1,6,0.046875,0.1721679906357381,hilp
1,7,0.0330882352941176,0.0249905574738102,hilp
1,8,0.0243566176470588,0.0422244796680067,D
1,9,0.017922794117647,0.0245783170582452,D
1,10,0.0487132352941176,0.1364418239716221,hilp
1,11,0.0503216911764705,0.1567360053441542,hilp
1,12,0.0280330882352941,0.0301348171196877,D
1,13,0.0236672794117647,0.0226103950219968,D
