trial_id,layer,head,perturbation_l2
P101_10027,0,0,0.1994758546352386
P101_10027,0,1,0.2486875206232071
P101_10027,0,2,0.3002018630504608
P101_10027,0,3,0.0347492210566997
P101_10027,0,4,0.0155228534713387
P101_10027,0,5,0.0140227749943733
P101_10027,0,6,0.2983091473579407
P101_10027,0,7,0.0285646244883537
P101_10027,0,8,0.0312552340328693
P101_10027,0,9,0.0178728960454463
P101_10027,0,10,0.0250541903078556
P101_10027,0,11,0.0800936818122863
P101_10027,0,12,0.5776776671409607
P101_10027,0,13,0.0235357824712991
P101_10027,0,14,0.0117312241345644
P101_10027,0,15,0.0693647861480712
P101_10027,0,16,0.0061804666183888
P101_10027,0,17,0.0563653446733951
P101_10027,0,18,0.0041478597559034
P101_10027,0,19,0.0126320170238614
P101_10027,0,20,0.0302424244582653
P101_10027,0,21,0.0129465628415346
P101_10027,0,22,0.0046397726982831
P101_10027,0,23,0.1233074367046356
P101_10027,0,24,0.1808779835700988
P101_10027,0,25,0.0232812762260437
P101_10027,0,26,0.0362531840801239
P101_10027,0,27,0.0209235325455665
P101_10027,0,28,0.0557116195559501
P101_10027,0,29,0.0004581609100569
P101_10027,0,30,0.0333597622811794
P101_10027,0,31,0.0
P101_10027,1,0,0.0868110805749893
P101_10027,1,1,0.2073705494403839
P101_10027,1,2,0.0666017681360244
P101_10027,1,3,0.4333018064498901
P101_10027,1,4,0.2398658841848373
P101_10027,1,5,0.3311606645584106
P101_10027,1,6,0.217463418841362
P101_10027,1,7,0.0245956368744373
P101_10027,1,8,0.0300684440881013
P101_10027,1,9,0.0208685807883739
P101_10027,1,10,0.0997404903173446
P101_10027,1,11,0.1944440156221389
P101_10027,1,12,0.040953554213047
P101_10027,1,13,0.0225939285010099
P101_10027,1,14,0.0157444216310977
P101_10027,1,15,0.0345455706119537
P101_10027,1,16,0.1945496648550033
P101_10027,1,17,0.1331934332847595
P101_10027,1,18,0.0566207505762577
P101_10027,1,19,0.1073972955346107
