crel_pair,n_C_trials,n_D_trials,c_mean_abs_delta,d_mean_abs_delta,c_minus_d
SAME-OPP,20,20,0.7625,0.0219,0.7406
SAME-MORE,20,20,1.8016,0.0484,1.7531
SAME-LESS,20,20,1.1484,0.0375,1.1109
OPP-MORE,20,20,2.2785,0.0672,2.2113
OPP-LESS,20,20,1.9328,0.0641,1.8688
MORE-LESS,20,20,3.1467,0.0641,3.0826
