layer,head,mean_perturbation_l2,std_perturbation_l2,n_trials
0,0,1.011319618261255,1.4397842143144068,68
0,1,1.0628147116478752,0.5229981635026838,68
0,2,1.5151158764081842,0.7421388209967161,68
0,3,1.443758291137569,0.7235277340559,68
0,4,1.7516691481304245,1.4735558768475892,68
0,5,0.9669856142033549,0.404616242143664,68
0,6,0.9722158165977282,0.757246909314974,68
0,7,0.9969668221824309,0.4478210783454347,68
0,8,1.0486626987904482,1.216036809622039,68
0,9,0.9735100812771741,0.40452872305445947,68
0,10,0.5384058659238851,0.5910681716470346,68
0,11,1.5040254503880586,1.021085741560485,68
0,12,1.4239088374272209,1.367584429639575,68
0,13,0.9694241344490472,0.7827402641733626,68
0,14,1.146810799042749,1.1536802206950323,68
0,15,1.193620662259705,0.49226308622310916,68
0,16,1.1186693369903986,0.6617218908106546,68
0,17,1.1911520343958675,1.1867941562248079,68
0,18,1.4164251596940791,0.7304417863697988,68
0,19,0.9954904306625181,0.7722826408314946,68
0,20,1.1259323139401043,0.603578779316473,68
0,21,0.3053205073126318,0.18801895857311857,68
0,22,1.32009553421727,0.7300267739185915,68
0,23,1.09328196953763,0.5877176331958855,68
0,24,1.035654359990183,0.5335658207125444,68
0,25,0.6817985643797061,0.3088872770530672,68
0,26,1.4820244066855486,0.3912040569240772,68
0,27,0.7956524307305431,0.8535821084970575,68
0,28,0.6112943218801828,0.3894194387829074,68
0,29,0.5895060427925166,0.30129772458222337,68
0,30,0.653157702044529,0.28746145032686565,68
0,31,1.2795769158093369,0.6351691377827715,68
0,32,0.6450544451089466,0.2800608287748579,68
0,33,0.749959845753277,0.23931505034488748,68
0,34,0.6366340213400477,0.2755541450770802,68
0,35,1.111834071631379,0.9036191285382315,68
0,36,0.7731457491240957,1.1689526520238804,68
0,37,0.6030108160613215,0.6829527532292038,68
0,38,1.6575390436850928,1.2103862973713309,68
0,39,1.565621774561484,1.8444813263758315,68
1,0,0.1185666548416895,0.04717187682445723,68
1,1,0.11503267415580065,0.04325902716919986,68
1,2,0.11335537059451728,0.0443771509466267,68
1,3,0.11175080761313438,0.036887146255510976,68
1,4,0.10823919325519134,0.036989266504470264,68
1,5,0.38159359571085694,0.1375156504137405,68
1,6,0.4065141815911321,0.13638265125060534,68
1,7,0.38613957298152585,0.11573938499910391,68
1,8,0.5171857844380772,0.24527772121264446,68
1,9,0.33697774425587235,0.10576449703148645,68
