model,group,ratio,k,k_actual,crel_pair,pair_id,attr_dim,delta_target_logit_signed,delta_source_logit_signed,argmax_token_id_clean,argmax_token_id_patched
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-OPP,pair0,P,-1.0,-2.0,13939,13939
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-OPP,pair0,Q,-1.5,-2.0,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-OPP,pair1,P,-0.75,-2.0625,13939,13939
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-OPP,pair1,Q,-2.25,-2.125,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-OPP,pair2,P,-2.125,-2.1875,46002,46002
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-OPP,pair2,Q,-3.0,-2.9375,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-OPP,pair3,P,-2.0,-2.875,13939,46002
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-OPP,pair3,Q,-3.25,-2.375,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-OPP,pair4,P,-0.75,-2.3125,13939,13939
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-OPP,pair4,Q,-2.25,-3.125,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-OPP,pair5,P,-2.25,-2.5,13939,46002
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-OPP,pair5,Q,-3.25,-2.5,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-OPP,pair6,P,-1.0,-2.875,13939,13939
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-OPP,pair6,Q,-2.25,-2.25,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-OPP,pair7,P,-1.0,-2.6875,13939,13939
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-OPP,pair7,Q,-2.0,-2.0,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-OPP,pair8,P,-1.25,-2.3125,13939,13939
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-OPP,pair8,Q,-2.5,-2.25,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-OPP,pair9,P,-0.75,-1.3125,13939,13939
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-OPP,pair9,Q,-2.75,-3.125,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-MORE,pair0,P,-0.75,-1.4375,13939,46002
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-MORE,pair0,Q,0.0,-2.5625,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-MORE,pair1,P,-0.75,-0.375,13939,13939
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-MORE,pair1,Q,-0.75,-1.25,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-MORE,pair2,P,-1.25,-2.1875,46002,46002
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-MORE,pair2,Q,-0.5,-2.1875,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-MORE,pair3,P,-1.0,-0.6875,13939,46002
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-MORE,pair3,Q,-2.0,-1.6875,6351,22096
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-MORE,pair4,P,-0.25,-1.609375,13939,13939
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-MORE,pair4,Q,0.0,-2.40625,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-MORE,pair5,P,-1.25,-2.6875,13939,46002
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-MORE,pair5,Q,-1.75,-1.6875,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-MORE,pair6,P,-0.5,-0.78125,13939,13939
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-MORE,pair6,Q,-0.5,-1.8125,6351,6351
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-MORE,pair7,P,-1.0,-1.375,13939,46002
qwen-2.5-14b-instruct,hihp_imp_desc,0.01,19,19,SAME-MORE,pair7,Q,-1.5,-2.75,6351,6351
