model,cell,ordering,ratio,argmax_stability,target_top1_stability,mean_target_rank,median_target_rank,mean_margin,mean_abs_delta,n_trials
llama-3.1-8b-instruct,C,C_imp_asc,0.05,0.9558823529411764,0.2941176470588235,112.29411764705884,4.0,5.230238970588236,0.1298253676470588,68
llama-3.1-8b-instruct,C,C_imp_asc,0.1,0.8970588235294118,0.3088235294117647,105.51470588235294,3.5,5.146053538602941,0.2297794117647058,68
llama-3.1-8b-instruct,C,C_imp_asc,0.2,0.9117647058823528,0.3088235294117647,104.20588235294116,3.0,5.131965188419118,0.2681525735294117,68
llama-3.1-8b-instruct,C,C_imp_asc,0.3,0.9117647058823528,0.3088235294117647,104.20588235294116,3.0,5.131965188419118,0.2681525735294117,68
llama-3.1-8b-instruct,C,C_imp_asc,0.5,0.9117647058823528,0.3088235294117647,104.20588235294116,3.0,5.131965188419118,0.2681525735294117,68
llama-3.1-8b-instruct,D,D_imp_asc,0.05,0.9852941176470588,0.3088235294117647,108.97058823529412,3.0,5.273336971507353,0.0551470588235294,68
llama-3.1-8b-instruct,D,D_imp_asc,0.1,0.9558823529411764,0.3088235294117647,106.79411764705884,3.0,5.257984834558823,0.0636488970588235,68
llama-3.1-8b-instruct,D,D_imp_asc,0.2,0.9558823529411764,0.3088235294117647,103.07352941176472,3.5,5.241067325367647,0.1364889705882352,68
llama-3.1-8b-instruct,D,D_imp_asc,0.3,0.9264705882352942,0.2941176470588235,101.33823529411764,4.0,5.203024471507353,0.2088694852941176,68
llama-3.1-8b-instruct,D,D_imp_asc,0.5,0.8970588235294118,0.2794117647058823,92.94117647058825,4.5,5.084070542279412,0.3354779411764705,68
llama-3.1-8b-instruct,diag,diag_rank_asc,0.05,0.9705882352941176,0.3088235294117647,106.69117647058825,4.0,5.277968462775736,0.0323988970588235,68
llama-3.1-8b-instruct,diag,diag_rank_asc,0.1,0.9558823529411764,0.2941176470588235,108.48529411764706,3.0,5.265452665441177,0.0498621323529411,68
llama-3.1-8b-instruct,diag,diag_rank_asc,0.2,0.9705882352941176,0.3088235294117647,114.1029411764706,3.0,5.262982536764706,0.115579044117647,68
llama-3.1-8b-instruct,diag,diag_rank_asc,0.3,0.9411764705882352,0.3088235294117647,102.3529411764706,3.5,5.179227941176471,0.1551011029411764,68
llama-3.1-8b-instruct,diag,diag_rank_asc,0.5,0.8088235294117647,0.2647058823529412,89.38235294117646,4.0,4.966739430147059,0.4758731617647059,68
llama-3.1-8b-instruct,hihp,hihp_imp_asc,0.05,0.9411764705882352,0.2941176470588235,85.61764705882354,3.5,5.2543801700367645,0.2392003676470588,68
llama-3.1-8b-instruct,hihp,hihp_imp_asc,0.1,0.8676470588235294,0.2941176470588235,75.66176470588235,3.0,5.154483570772059,0.4446231617647059,68
llama-3.1-8b-instruct,hihp,hihp_imp_asc,0.2,0.8382352941176471,0.2941176470588235,53.16176470588236,4.0,4.814165900735294,0.7644761029411765,68
llama-3.1-8b-instruct,hihp,hihp_imp_asc,0.3,0.7205882352941176,0.2941176470588235,64.79411764705883,4.0,4.012063419117647,1.5425091911764706,68
llama-3.1-8b-instruct,hihp,hihp_imp_asc,0.5,0.2941176470588235,0.0588235294117647,2565.6617647058824,190.5,-0.3019301470588235,5.702090992647059,68
