layer,head,rsa_crel,rsa_attr,rsa_max,rsa_max_before_clamp,rsa_crel_pval,rsa_attr_pval
0,0,0.4310514032840729,-0.014755246229469776,0.4310514032840729,0.4310514032840729,0.0,0.20170000195503235
0,1,0.46669140458106995,0.08532261848449707,0.46669140458106995,0.46669140458106995,0.0,0.002199999988079071
0,2,0.2656216025352478,0.03677225485444069,0.2656216025352478,0.2656216025352478,0.0,0.02500000037252903
0,3,0.2362266480922699,-0.012978572398424149,0.2362266480922699,0.2362266480922699,0.0,0.2702000141143799
0,4,0.30243757367134094,-0.011994697153568268,0.30243757367134094,0.30243757367134094,0.0,0.29120001196861267
0,5,0.23660089075565338,0.0632411539554596,0.23660089075565338,0.23660089075565338,0.0,0.000699999975040555
0,6,0.20394325256347656,0.13844196498394012,0.20394325256347656,0.20394325256347656,0.0,0.0
0,7,0.0644560307264328,-0.017152924090623856,0.0644560307264328,0.0644560307264328,9.999999747378752e-05,0.10509999841451645
0,8,0.09635799378156662,0.216054305434227,0.216054305434227,0.216054305434227,0.0,0.0
0,9,0.3176831901073456,-0.0009828805923461914,0.3176831901073456,0.3176831901073456,0.0,0.9420999884605408
0,10,0.31122612953186035,0.09583388268947601,0.31122612953186035,0.31122612953186035,0.0,9.999999747378752e-05
0,11,0.10897043347358704,0.05084961652755737,0.10897043347358704,0.10897043347358704,0.0,0.0015999999595806003
0,12,0.23068928718566895,0.10029199719429016,0.23068928718566895,0.23068928718566895,0.0,0.0
0,13,0.3044798672199249,0.14397424459457397,0.3044798672199249,0.3044798672199249,0.0,0.0
0,14,0.3820876479148865,0.2266952097415924,0.3820876479148865,0.3820876479148865,0.0,0.0
0,15,0.4981478154659271,0.0921771377325058,0.4981478154659271,0.4981478154659271,0.0,0.0017999999690800905
1,0,0.4089493751525879,0.031931765377521515,0.4089493751525879,0.4089493751525879,0.0,0.045899998396635056
1,1,0.32607197761535645,-0.02034025639295578,0.32607197761535645,0.32607197761535645,0.0,0.1071000024676323
1,2,0.4479767680168152,0.04585370048880577,0.4479767680168152,0.4479767680168152,0.0,0.019999999552965164
1,3,0.08785710483789444,0.19279217720031738,0.19279217720031738,0.19279217720031738,0.0,0.0
1,4,0.36536359786987305,0.0768362432718277,0.36536359786987305,0.36536359786987305,0.0,0.0015999999595806003
1,5,0.14609111845493317,-0.006727129220962524,0.14609111845493317,0.14609111845493317,0.0,0.6362000107765198
1,6,0.12435568124055862,0.1000605896115303,0.12435568124055862,0.12435568124055862,0.0,0.0
1,7,0.4365679919719696,-0.013078504242002964,0.4365679919719696,0.4365679919719696,0.0,0.3718000054359436
1,8,0.3663071393966675,-0.008721649646759033,0.3663071393966675,0.3663071393966675,0.0,0.5493000149726868
1,9,0.2850953936576843,0.0031009316444396973,0.2850953936576843,0.2850953936576843,0.0,0.8292999863624573
1,10,0.13341167569160461,0.03635489568114281,0.13341167569160461,0.13341167569160461,0.0,0.020500000566244125
1,11,0.4862784147262573,0.042449891567230225,0.4862784147262573,0.4862784147262573,0.0,0.02669999934732914
1,12,0.493179053068161,0.026337765157222748,0.493179053068161,0.493179053068161,0.0,0.07509999722242355
1,13,0.344635009765625,0.07780073583126068,0.344635009765625,0.344635009765625,0.0,0.002199999988079071
1,14,0.2597178816795349,0.08581848442554474,0.2597178816795349,0.2597178816795349,0.0,9.999999747378752e-05
1,15,0.42858627438545227,0.09290292859077454,0.42858627438545227,0.42858627438545227,0.0,0.0012000000569969416
2,0,0.4864233434200287,0.14861661195755005,0.4864233434200287,0.4864233434200287,0.0,0.00019999999494757503
2,1,0.3600388765335083,0.07789789140224457,0.3600388765335083,0.3600388765335083,0.0,0.002199999988079071
2,2,0.23727864027023315,0.06100654602050781,0.23727864027023315,0.23727864027023315,0.0,0.0013000000035390258
2,3,0.4838607609272003,0.08047980070114136,0.4838607609272003,0.4838607609272003,0.0,0.004399999976158142
2,4,0.13482201099395752,-0.01932891085743904,0.13482201099395752,0.13482201099395752,0.0,0.12049999833106995
2,5,0.45759764313697815,0.039507851004600525,0.45759764313697815,0.45759764313697815,0.0,0.03350000083446503
2,6,0.37971511483192444,0.1803564727306366,0.37971511483192444,0.37971511483192444,0.0,0.0
2,7,0.3852054178714752,0.07598870247602463,0.3852054178714752,0.3852054178714752,0.0,0.0019000000320374966
2,8,0.11141606420278549,0.05011894553899765,0.11141606420278549,0.11141606420278549,0.0,0.006300000008195639
2,9,0.4364015758037567,0.09022074937820435,0.4364015758037567,0.4364015758037567,0.0,0.0015999999595806003
2,10,0.43119221925735474,0.06339484453201294,0.43119221925735474,0.43119221925735474,0.0,0.006200000178068876
2,11,0.10030236840248108,0.061121731996536255,0.10030236840248108,0.10030236840248108,0.0,0.0020000000949949026
2,12,0.49012142419815063,0.0806872546672821,0.49012142419815063,0.49012142419815063,0.0,0.0034000000450760126
2,13,0.4740941822528839,0.07003869861364365,0.4740941822528839,0.4740941822528839,0.0,0.006200000178068876
2,14,0.4365242123603821,0.09558859467506409,0.4365242123603821,0.4365242123603821,0.0,0.0010000000474974513
2,15,0.41539454460144043,0.09806987643241882,0.41539454460144043,0.41539454460144043,0.0,0.0003000000142492354
3,0,0.4168183207511902,0.29509568214416504,0.4168183207511902,0.4168183207511902,0.0,0.0
3,1,0.49616739153862,0.06678026914596558,0.49616739153862,0.49616739153862,0.0,0.010900000110268593
3,2,0.459308385848999,0.035499684512615204,0.459308385848999,0.459308385848999,0.0,0.04259999841451645
3,3,0.18003565073013306,0.2866117060184479,0.2866117060184479,0.2866117060184479,0.0,0.0
3,4,0.3921729326248169,0.02606368064880371,0.3921729326248169,0.3921729326248169,0.0,0.06930000334978104
3,5,0.1335229128599167,0.06122095137834549,0.1335229128599167,0.1335229128599167,0.0,0.0026000000070780516
3,6,0.5032703876495361,-0.02041728049516678,0.5032703876495361,0.5032703876495361,0.0,0.1006999984383583
3,7,0.1826237589120865,0.07299253344535828,0.1826237589120865,0.1826237589120865,0.0,0.00019999999494757503
3,8,0.36138421297073364,0.05970482528209686,0.36138421297073364,0.36138421297073364,0.0,0.005499999970197678
