layer,head,perturbation_L2
0,0,0.0698712095618248
0,1,0.03631818667054176
0,2,0.4370216727256775
0,3,0.09378854930400848
0,4,0.07202469557523727
0,5,0.20492790639400482
0,6,0.09772850573062897
0,7,0.08121208101511002
0,8,0.1751411408185959
0,9,0.19318178296089172
0,10,0.20547115802764893
0,11,0.35898125171661377
0,12,0.46494728326797485
0,13,0.04308733716607094
0,14,0.2813131511211395
0,15,0.12015082687139511
1,0,0.25706133246421814
1,1,0.4867321252822876
1,2,0.22691555321216583
1,3,0.5394460558891296
1,4,0.1906493902206421
1,5,0.2958846688270569
1,6,0.2117554098367691
1,7,0.33874714374542236
1,8,0.304823100566864
1,9,0.280415803194046
1,10,0.3446717858314514
1,11,0.2719416320323944
1,12,0.2840542495250702
1,13,0.28996455669403076
1,14,0.45452532172203064
1,15,0.31849753856658936
2,0,1.3293936252593994
2,1,0.28487467765808105
2,2,0.28894877433776855
2,3,0.406482070684433
2,4,0.8018125295639038
2,5,0.33275482058525085
2,6,0.5082260370254517
2,7,0.2821275591850281
2,8,0.27356937527656555
2,9,0.3373960554599762
2,10,0.4550510048866272
2,11,0.2715476155281067
2,12,0.3465399742126465
2,13,0.36188840866088867
2,14,0.3498915433883667
2,15,0.27819907665252686
3,0,0.6132737994194031
3,1,0.7334267497062683
3,2,0.4758705496788025
3,3,0.3076852262020111
3,4,0.30814966559410095
3,5,0.37375497817993164
3,6,1.8693236112594604
3,7,0.364322692155838
3,8,0.3154533803462982
3,9,0.08310350775718689
3,10,0.8702082633972168
3,11,2.449697732925415
3,12,0.48666900396347046
3,13,5.455951690673828
3,14,0.4582732319831848
3,15,0.7660104632377625
4,0,0.32294371724128723
4,1,0.23865622282028198
4,2,0.3562406003475189
4,3,3.6906731128692627
4,4,0.5651708245277405
4,5,0.4941137433052063
4,6,1.1609792709350586
4,7,0.3594352602958679
4,8,0.8809423446655273
4,9,0.5084182620048523
4,10,0.24902832508087158
4,11,0.5662444233894348
4,12,0.12852348387241364
4,13,0.38145244121551514
4,14,2.23797345161438
4,15,0.48967084288597107
5,0,0.9475428462028503
5,1,1.5377449989318848
5,2,0.5943905115127563
5,3,0.1456180363893509
5,4,0.47409307956695557
5,5,0.9260180592536926
