group,ratio,mean_delta,mean_abs_delta,std_delta,n
C_imp_asc,0.01,0.13616342,0.41617306,1.404387074125804,50
C_imp_asc,0.03,0.25274905999999997,0.50142094,1.4228699303087093,50
C_imp_asc,0.05,0.052792959999999986,0.65097652,1.6519195343701931,50
C_imp_asc,0.07,-0.004645920000000001,0.80254156,1.7753550079740115,50
C_imp_asc,0.1,-0.007258299999999998,0.80047606,1.721870977911637,50
C_imp_asc,0.15,0.04685299999999998,0.8840405199999999,1.7452547269436702,50
C_imp_asc,0.2,0.33376466,0.92688966,1.7229679091505319,50
C_imp_asc,0.3,1.57256354,1.69162602,2.2264500293662253,50
C_imp_asc,0.5,1.57256354,1.69162602,2.2264500293662253,50
C_pert_asc,0.01,0.27898686,0.29913826,1.3098362142461686,50
C_pert_asc,0.03,0.37146239999999997,0.37341556,1.3334451101439977,50
C_pert_asc,0.05,0.37478278,0.39134526000000003,1.3512514450482078,50
C_pert_asc,0.07,0.48436276,0.48436276,1.3664464715553943,50
C_pert_asc,0.1,0.49236816,0.62721192,1.5151774995174165,50
C_pert_asc,0.15,0.64716248,0.7846624799999999,1.607452805184704,50
C_pert_asc,0.2,0.7842480000000001,1.11815428,2.193749610030195,50
C_pert_asc,0.3,1.57256354,1.69162602,2.2264500293662253,50
C_pert_asc,0.5,1.57256354,1.69162602,2.2264500293662253,50
C_pert_desc,0.01,0.59986332,0.67173832,1.348666991937874,50
C_pert_desc,0.03,0.8503259,0.8640759,1.4390984515778076,50
C_pert_desc,0.05,0.95033696,0.95033696,1.4755313708097133,50
C_pert_desc,0.07,0.93747014,0.93903262,1.514795186108441,50
C_pert_desc,0.1,1.3535442800000002,1.3535442800000002,1.9890914373502402,50
C_pert_desc,0.15,1.42246584,1.4702783199999998,1.9561270323528699,50
C_pert_desc,0.2,1.5284717399999999,1.60190926,2.149990706810773,50
C_pert_desc,0.3,1.57256354,1.69162602,2.2264500293662253,50
C_pert_desc,0.5,1.57256354,1.69162602,2.2264500293662253,50
D_imp_asc,0.01,0.26266956,0.2917346,1.299558014282017,50
D_imp_asc,0.03,0.28520512,0.31276371999999997,1.3050939038477172,50
D_imp_asc,0.05,0.31019782,0.33615969999999995,1.306380452427313,50
D_imp_asc,0.07,0.28902826000000004,0.34703606,1.3233138519658463,50
D_imp_asc,0.1,0.27522462000000003,0.37104497999999997,1.3438458336356416,50
D_imp_asc,0.15,0.29153076,0.40055424,1.3599769366848684,50
D_imp_asc,0.2,0.30899412000000004,0.41696288000000004,1.364105338273983,50
D_imp_asc,0.3,0.50066402,0.56503906,1.4731019823174678,50
D_imp_asc,0.5,0.50066402,0.56503906,1.4731019823174678,50
D_pert_asc,0.01,0.25854978,0.26601562,1.2949662590981217,50
D_pert_asc,0.03,0.25965578,0.2722437,1.2949696450869195,50
D_pert_asc,0.05,0.25629268,0.28001832,1.2959404543329256,50
D_pert_asc,0.07,0.25425408,0.29862424,1.3054715879302219,50
D_pert_asc,0.1,0.2857544,0.33827876,1.3193566917130328,50
D_pert_asc,0.15,0.30510508000000003,0.34899176,1.3195036707456553,50
D_pert_asc,0.2,0.40231696,0.47614503999999996,1.4010146144691866,50
D_pert_asc,0.3,0.50066402,0.56503906,1.4731019823174678,50
D_pert_asc,0.5,0.50066402,0.56503906,1.4731019823174678,50
D_pert_desc,0.01,0.30238766,0.30582514,1.3434649701332164,50
D_pert_desc,0.03,0.32753170000000004,0.34307862,1.3502326263906854,50
