group,ratio,k,k_actual,trial_id,delta_target_signed,delta_target_abs
C_pert_asc,0.01,968,968,47,0.011719,0.011719
C_pert_asc,0.01,968,968,48,0.011719,0.011719
C_pert_asc,0.01,968,968,49,-0.03125,0.03125
C_pert_desc,0.01,968,968,0,0.366211,0.366211
C_pert_desc,0.01,968,968,1,6.895508,6.895508
C_pert_desc,0.01,968,968,2,0.416992,0.416992
C_pert_desc,0.01,968,968,3,0.353516,0.353516
C_pert_desc,0.01,968,968,4,0.30957,0.30957
C_pert_desc,0.01,968,968,5,0.284424,0.284424
C_pert_desc,0.01,968,968,6,6.979492,6.979492
C_pert_desc,0.01,968,968,7,0.276367,0.276367
C_pert_desc,0.01,968,968,8,0.359375,0.359375
C_pert_desc,0.01,968,968,9,0.356934,0.356934
C_pert_desc,0.01,968,968,10,0.239502,0.239502
C_pert_desc,0.01,968,968,11,1.023438,1.023438
C_pert_desc,0.01,968,968,12,0.325195,0.325195
C_pert_desc,0.01,968,968,13,0.368408,0.368408
C_pert_desc,0.01,968,968,14,0.390625,0.390625
C_pert_desc,0.01,968,968,15,0.480469,0.480469
C_pert_desc,0.01,968,968,16,-0.421875,0.421875
C_pert_desc,0.01,968,968,17,0.349854,0.349854
C_pert_desc,0.01,968,968,18,-1.179688,1.179688
C_pert_desc,0.01,968,968,19,0.287598,0.287598
C_pert_desc,0.01,968,968,20,0.379883,0.379883
C_pert_desc,0.01,968,968,21,0.507812,0.507812
C_pert_desc,0.01,968,968,22,0.402344,0.402344
C_pert_desc,0.01,968,968,23,0.394531,0.394531
C_pert_desc,0.01,968,968,24,0.376221,0.376221
C_pert_desc,0.01,968,968,25,0.265625,0.265625
C_pert_desc,0.01,968,968,26,-0.195312,0.195312
C_pert_desc,0.01,968,968,27,0.321289,0.321289
C_pert_desc,0.01,968,968,28,0.179688,0.179688
C_pert_desc,0.01,968,968,29,0.313232,0.313232
C_pert_desc,0.01,968,968,30,0.343262,0.343262
C_pert_desc,0.01,968,968,31,1.320312,1.320312
C_pert_desc,0.01,968,968,32,0.335938,0.335938
C_pert_desc,0.01,968,968,33,0.373535,0.373535
C_pert_desc,0.01,968,968,34,0.279297,0.279297
C_pert_desc,0.01,968,968,35,0.319336,0.319336
C_pert_desc,0.01,968,968,36,0.445312,0.445312
C_pert_desc,0.01,968,968,37,0.302246,0.302246
C_pert_desc,0.01,968,968,38,0.261719,0.261719
C_pert_desc,0.01,968,968,39,0.37793,0.37793
C_pert_desc,0.01,968,968,40,0.427734,0.427734
C_pert_desc,0.01,968,968,41,0.351562,0.351562
C_pert_desc,0.01,968,968,42,0.309082,0.309082
C_pert_desc,0.01,968,968,43,0.338867,0.338867
C_pert_desc,0.01,968,968,44,0.383789,0.383789
C_pert_desc,0.01,968,968,45,0.388672,0.388672
C_pert_desc,0.01,968,968,46,0.179688,0.179688
C_pert_desc,0.01,968,968,47,0.331055,0.331055
C_pert_desc,0.01,968,968,48,0.368164,0.368164
C_pert_desc,0.01,968,968,49,1.148438,1.148438
D_imp_asc,0.01,968,968,0,0.005859,0.005859
D_imp_asc,0.01,968,968,1,6.036133,6.036133
D_imp_asc,0.01,968,968,2,-0.027344,0.027344
D_imp_asc,0.01,968,968,3,-0.050781,0.050781
D_imp_asc,0.01,968,968,4,-0.035156,0.035156
D_imp_asc,0.01,968,968,5,-0.022949,0.022949
D_imp_asc,0.01,968,968,6,7.041992,7.041992
D_imp_asc,0.01,968,968,7,-0.020508,0.020508
D_imp_asc,0.01,968,968,8,0.017578,0.017578
D_imp_asc,0.01,968,968,9,-0.004883,0.004883
D_imp_asc,0.01,968,968,10,-0.003235,0.003235
D_imp_asc,0.01,968,968,11,-0.023438,0.023438
D_imp_asc,0.01,968,968,12,0.010742,0.010742
D_imp_asc,0.01,968,968,13,0.019287,0.019287
D_imp_asc,0.01,968,968,14,0.007812,0.007812
D_imp_asc,0.01,968,968,15,-0.000977,0.000977
D_imp_asc,0.01,968,968,16,-0.046875,0.046875
D_imp_asc,0.01,968,968,17,-0.000244,0.000244
D_imp_asc,0.01,968,968,18,0.164062,0.164062
D_imp_asc,0.01,968,968,19,-0.00293,0.00293
D_imp_asc,0.01,968,968,20,-0.008789,0.008789
D_imp_asc,0.01,968,968,21,0.039062,0.039062
D_imp_asc,0.01,968,968,22,-0.019531,0.019531
D_imp_asc,0.01,968,968,23,-0.009766,0.009766
D_imp_asc,0.01,968,968,24,-0.003906,0.003906
D_imp_asc,0.01,968,968,25,-0.007812,0.007812
D_imp_asc,0.01,968,968,26,0.164062,0.164062
D_imp_asc,0.01,968,968,27,-0.000977,0.000977
D_imp_asc,0.01,968,968,28,-0.039062,0.039062
D_imp_asc,0.01,968,968,29,-0.008789,0.008789
D_imp_asc,0.01,968,968,30,-0.003418,0.003418
D_imp_asc,0.01,968,968,31,-0.054688,0.054688
D_imp_asc,0.01,968,968,32,-0.013672,0.013672
D_imp_asc,0.01,968,968,33,0.002441,0.002441
D_imp_asc,0.01,968,968,34,0.000488,0.000488
D_imp_asc,0.01,968,968,35,-0.008789,0.008789
D_imp_asc,0.01,968,968,36,-0.179688,0.179688
D_imp_asc,0.01,968,968,37,-0.009277,0.009277
D_imp_asc,0.01,968,968,38,-0.072266,0.072266
D_imp_asc,0.01,968,968,39,-0.012695,0.012695
D_imp_asc,0.01,968,968,40,0.004883,0.004883
D_imp_asc,0.01,968,968,41,0.257812,0.257812
D_imp_asc,0.01,968,968,42,-0.004395,0.004395
D_imp_asc,0.01,968,968,43,-0.004395,0.004395
D_imp_asc,0.01,968,968,44,-0.015625,0.015625
D_imp_asc,0.01,968,968,45,-0.009766,0.009766
D_imp_asc,0.01,968,968,46,0.015625,0.015625
D_imp_asc,0.01,968,968,47,0.000977,0.000977
D_imp_asc,0.01,968,968,48,0.008789,0.008789
D_imp_asc,0.01,968,968,49,0.0625,0.0625
D_pert_asc,0.01,968,968,0,0.00293,0.00293
D_pert_asc,0.01,968,968,1,6.020508,6.020508
D_pert_asc,0.01,968,968,2,-0.019531,0.019531
D_pert_asc,0.01,968,968,3,-0.050781,0.050781
D_pert_asc,0.01,968,968,4,-0.03125,0.03125
D_pert_asc,0.01,968,968,5,-0.022095,0.022095
D_pert_asc,0.01,968,968,6,7.018555,7.018555
D_pert_asc,0.01,968,968,7,-0.017578,0.017578
D_pert_asc,0.01,968,968,8,-0.000977,0.000977
D_pert_asc,0.01,968,968,9,0.000732,0.000732
D_pert_asc,0.01,968,968,10,0.000122,0.000122
D_pert_asc,0.01,968,968,11,0.007812,0.007812
D_pert_asc,0.01,968,968,12,-0.000977,0.000977
D_pert_asc,0.01,968,968,13,0.001221,0.001221
D_pert_asc,0.01,968,968,14,-0.001953,0.001953
D_pert_asc,0.01,968,968,15,0.0,0.0
D_pert_asc,0.01,968,968,16,0.007812,0.007812
D_pert_asc,0.01,968,968,17,0.000488,0.000488
D_pert_asc,0.01,968,968,18,0.0,0.0
D_pert_asc,0.01,968,968,19,0.000977,0.000977
D_pert_asc,0.01,968,968,20,0.000977,0.000977
D_pert_asc,0.01,968,968,21,0.007812,0.007812
D_pert_asc,0.01,968,968,22,-0.001953,0.001953
D_pert_asc,0.01,968,968,23,0.0,0.0
D_pert_asc,0.01,968,968,24,-0.000977,0.000977
D_pert_asc,0.01,968,968,25,0.000977,0.000977
D_pert_asc,0.01,968,968,26,-0.015625,0.015625
D_pert_asc,0.01,968,968,27,0.0,0.0
D_pert_asc,0.01,968,968,28,0.001953,0.001953
D_pert_asc,0.01,968,968,29,-0.000977,0.000977
D_pert_asc,0.01,968,968,30,0.0,0.0
D_pert_asc,0.01,968,968,31,-0.007812,0.007812
D_pert_asc,0.01,968,968,32,-0.001953,0.001953
D_pert_asc,0.01,968,968,33,0.001465,0.001465
D_pert_asc,0.01,968,968,34,0.000244,0.000244
D_pert_asc,0.01,968,968,35,0.000488,0.000488
D_pert_asc,0.01,968,968,36,0.015625,0.015625
D_pert_asc,0.01,968,968,37,-0.000977,0.000977
