group,k,effect,random_mean,random_sd,random_ci_lo,random_ci_hi,ratio_vs_random,n_random_seeds
induction_top5,5,5.774113571047783,0.11556649540305138,0.22551999013761836,-0.09260696157813073,1.0537394579052926,49.96356038062677,1000
prev_token_top5,5,0.2199494081735611,0.11556649540305138,0.22551999013761836,-0.09260696157813073,1.0537394579052926,1.9032281580094852,1000
dup_token_top5,5,0.6628288263082505,0.11556649540305138,0.22551999013761836,-0.09260696157813073,1.0537394579052926,5.735475701643103,1000
cell_d_top5,5,-0.0006404453516006469,0.11556649540305138,0.22551999013761836,-0.09260696157813073,1.0537394579052926,-0.005541790891616299,1000
induction_top10,10,7.378068873286248,0.2491795085373521,0.33018414517138833,-0.09642368298768997,1.33406730812788,29.60945270578007,1000
prev_token_top10,10,0.6254458278417587,0.2491795085373521,0.33018414517138833,-0.09642368298768997,1.33406730812788,2.5100211149505665,1000
dup_token_top10,10,0.484447802901268,0.2491795085373521,0.33018414517138833,-0.09642368298768997,1.33406730812788,1.9441719174458083,1000
cell_d_top10,10,-0.010299015045166015,0.2491795085373521,0.33018414517138833,-0.09642368298768997,1.33406730812788,-0.04133170943959137,1000
induction_top15,15,7.712407061457634,0.4179778015390038,0.4700811527115897,-0.06670450322329997,1.6922171816527845,18.45171450029254,1000
prev_token_top15,15,1.0918255573511124,0.4179778015390038,0.4700811527115897,-0.06670450322329997,1.6922171816527845,2.612161586885681,1000
dup_token_top15,15,0.6101787602901458,0.4179778015390038,0.4700811527115897,-0.06670450322329997,1.6922171816527845,1.459835326286357,1000
cell_d_top15,15,-0.018417033553123473,0.4179778015390038,0.4700811527115897,-0.06670450322329997,1.6922171816527845,-0.04406222886792441,1000
