ratio,cell_c_k,cell_d_k,k_equal,cd_ratio_def_b,cd_ratio_def_a,cell_c_mean_def_b,cell_d_mean_def_b,cell_c_mean_def_a,cell_d_mean_def_a
0.01,2,2,True,13.766725890013976,3.2882479027727958,0.0040688574314117435,0.0002955573797225952,0.014060429334640502,0.00427596390247345
0.03,5,5,True,25.35556715796998,2.5132283780647184,0.0162388551235199,0.0006404453516006469,0.027099870443344116,0.010782892107963562
0.05,8,8,True,32.46106314709657,2.8610884553868345,0.031271846890449526,0.000963364839553833,0.0434528511762619,0.015187524557113648
0.07,11,11,True,4.723696777142997,2.391139344216471,0.06068790197372437,0.012847543954849243,0.07393083333969117,0.03091866374015808
0.1,15,15,True,4.539271175395823,2.78199885805278,0.08359990954399109,0.018417033553123473,0.10072509169578553,0.036206014752388
0.12,18,18,True,3.1344919994443825,2.512914839206153,0.05790344059467316,0.01847299039363861,0.09477719962596894,0.03771604120731354
0.15,22,22,True,12.432456153882283,5.605376830438669,0.21377120822668075,0.017194607853889467,0.21377120822668075,0.03813681304454804
0.2,23,23,True,12.212487576268256,5.358894257049421,0.20392656862735747,0.016698200702667237,0.21123785197734832,0.03941817879676819
0.3,23,23,True,12.212487576268256,5.358894257049421,0.20392656862735747,0.016698200702667237,0.21123785197734832,0.03941817879676819
0.5,23,23,True,12.212487576268256,5.358894257049421,0.20392656862735747,0.016698200702667237,0.21123785197734832,0.03941817879676819
