crel_pair,n_C_trials,n_D_trials,c_mean_abs_delta,d_mean_abs_delta,c_minus_d
SAME-OPP,20,20,0.5625,0.0375,0.525
SAME-MORE,20,20,1.3375,0.0563,1.2812
SAME-LESS,20,20,0.8063,0.0375,0.7688
OPP-MORE,20,20,2.8188,0.0312,2.7875
OPP-LESS,20,20,2.7719,0.0375,2.7344
MORE-LESS,20,20,3.7219,0.025,3.6969
