trial_id,cell,ordering,ratio,k,k_actual,argmax_preserved,target_preserved_top1,patched_argmax_id,patched_target_rank,patched_target_logit,patched_competitor_logit,patched_margin,clean_target_logit,delta_target_logit
P101_10066,hilp,hilp_imp_asc,0.1,198,198,True,False,1791,50,17.5,6.4375,11.0625,17.375,0.125
P101_10066,hilp,hilp_imp_asc,0.2,396,215,True,False,1791,48,17.625,6.625,11.0,17.375,0.25
P101_10066,hilp,hilp_imp_asc,0.3,595,215,True,False,1791,48,17.625,6.625,11.0,17.375,0.25
P101_10066,hilp,hilp_imp_asc,0.5,992,215,True,False,1791,48,17.625,6.625,11.0,17.375,0.25
P101_10066,C,C_imp_asc,0.05,99,99,True,False,1791,52,17.375,6.09375,11.28125,17.375,0.0
P101_10066,C,C_imp_asc,0.1,198,198,True,False,1791,48,17.5,6.1875,11.3125,17.375,0.125
P101_10066,C,C_imp_asc,0.2,396,252,True,False,1791,42,17.75,6.5625,11.1875,17.375,0.375
P101_10066,C,C_imp_asc,0.3,595,252,True,False,1791,42,17.75,6.5625,11.1875,17.375,0.375
P101_10066,C,C_imp_asc,0.5,992,252,True,False,1791,42,17.75,6.5625,11.1875,17.375,0.375
P101_10066,D,D_imp_asc,0.05,99,99,True,False,1791,53,17.375,6.09375,11.28125,17.375,0.0
P101_10066,D,D_imp_asc,0.1,198,198,True,False,1791,54,17.375,6.09375,11.28125,17.375,0.0
P101_10066,D,D_imp_asc,0.2,396,396,True,False,1791,54,17.375,6.09375,11.28125,17.375,0.0
P101_10066,D,D_imp_asc,0.3,595,595,True,False,1791,55,17.25,6.0625,11.1875,17.375,-0.125
P101_10066,D,D_imp_asc,0.5,992,777,True,False,1791,55,17.25,6.34375,10.90625,17.375,-0.125
P103_0,hihp,hihp_imp_desc,0.05,99,99,False,False,23196,2,21.375,11.625,9.75,23.625,-2.25
P103_0,hihp,hihp_imp_desc,0.1,198,198,False,False,23196,2,20.125,12.125,8.0,23.625,-3.5
P103_0,hihp,hihp_imp_desc,0.2,396,396,False,False,23196,4,18.875,11.3125,7.5625,23.625,-4.75
P103_0,hihp,hihp_imp_desc,0.3,595,595,False,False,23196,8,18.25,11.1875,7.0625,23.625,-5.375
P103_0,hihp,hihp_imp_desc,0.5,992,740,False,False,23196,11,17.75,10.9375,6.8125,23.625,-5.875
P103_0,hihp,hihp_imp_asc,0.05,99,99,True,True,7830,1,23.875,11.375,12.5,23.625,0.25
P103_0,hihp,hihp_imp_asc,0.1,198,198,True,True,7830,1,24.0,11.6875,12.3125,23.625,0.375
P103_0,hihp,hihp_imp_asc,0.2,396,396,True,True,7830,1,24.0,12.4375,11.5625,23.625,0.375
P103_0,hihp,hihp_imp_asc,0.3,595,595,True,True,7830,1,23.5,12.0625,11.4375,23.625,-0.125
P103_0,hihp,hihp_imp_asc,0.5,992,740,False,False,23196,11,17.75,10.9375,6.8125,23.625,-5.875
P103_0,hilp,hilp_imp_desc,0.05,99,99,True,True,7830,1,23.875,11.125,12.75,23.625,0.25
P103_0,hilp,hilp_imp_desc,0.1,198,198,True,True,7830,1,23.875,11.0,12.875,23.625,0.25
P103_0,hilp,hilp_imp_desc,0.2,396,215,True,True,7830,1,23.875,11.0,12.875,23.625,0.25
P103_0,hilp,hilp_imp_desc,0.3,595,215,True,True,7830,1,23.875,11.0,12.875,23.625,0.25
P103_0,hilp,hilp_imp_desc,0.5,992,215,True,True,7830,1,23.875,11.0,12.875,23.625,0.25
P103_0,hilp,hilp_imp_asc,0.05,99,99,True,True,7830,1,23.625,11.375,12.25,23.625,0.0
P103_0,hilp,hilp_imp_asc,0.1,198,198,True,True,7830,1,23.75,11.3125,12.4375,23.625,0.125
P103_0,hilp,hilp_imp_asc,0.2,396,215,True,True,7830,1,23.875,11.0,12.875,23.625,0.25
P103_0,hilp,hilp_imp_asc,0.3,595,215,True,True,7830,1,23.875,11.0,12.875,23.625,0.25
P103_0,hilp,hilp_imp_asc,0.5,992,215,True,True,7830,1,23.875,11.0,12.875,23.625,0.25
P103_0,C,C_imp_asc,0.05,99,99,True,True,7830,1,23.875,11.125,12.75,23.625,0.25
P103_0,C,C_imp_asc,0.1,198,198,True,True,7830,1,24.0,11.1875,12.8125,23.625,0.375
