cell,ordering,ratio,argmax_stability,target_top1_stability,mean_target_rank,median_target_rank,mean_margin,mean_abs_delta,n_trials
C,C_imp_asc,0.05,0.9411764705882353,0.25,192.4264705882353,4.0,7.130974264705882,0.2913602941176471,68
C,C_imp_asc,0.1,0.9117647058823529,0.22058823529411764,194.1764705882353,4.5,7.130055147058823,0.4181985294117647,68
C,C_imp_asc,0.2,0.8970588235294118,0.22058823529411764,181.13235294117646,4.0,7.096966911764706,0.5128676470588235,68
C,C_imp_asc,0.3,0.8970588235294118,0.22058823529411764,181.13235294117646,4.0,7.096966911764706,0.5128676470588235,68
C,C_imp_asc,0.5,0.8970588235294118,0.22058823529411764,181.13235294117646,4.0,7.096966911764706,0.5128676470588235,68
D,D_imp_asc,0.05,1.0,0.25,197.47058823529412,5.0,7.237591911764706,0.04963235294117647,68
D,D_imp_asc,0.1,1.0,0.25,188.9558823529412,4.5,7.236213235294118,0.09558823529411764,68
D,D_imp_asc,0.2,0.9411764705882353,0.2647058823529412,195.26470588235293,5.0,7.181985294117647,0.16544117647058823,68
D,D_imp_asc,0.3,0.9558823529411765,0.23529411764705882,198.69117647058823,5.0,7.045496323529412,0.2867647058823529,68
D,D_imp_asc,0.5,0.9264705882352942,0.25,200.75,4.0,6.977941176470588,0.45955882352941174,68
diag,diag_rank_asc,0.05,1.0,0.25,189.0,5.0,7.252757352941177,0.04595588235294118,68
diag,diag_rank_asc,0.1,1.0,0.25,196.3235294117647,5.0,7.231617647058823,0.07261029411764706,68
diag,diag_rank_asc,0.2,0.9852941176470589,0.25,194.05882352941177,5.0,7.2265625,0.140625,68
diag,diag_rank_asc,0.3,0.9705882352941176,0.23529411764705882,200.83823529411765,4.5,7.106158088235294,0.24356617647058823,68
diag,diag_rank_asc,0.5,0.8823529411764706,0.23529411764705882,201.39705882352942,4.0,6.751838235294118,0.6773897058823529,68
hihp,hihp_imp_asc,0.05,0.9558823529411765,0.25,218.14705882352942,4.0,7.1911764705882355,0.25965073529411764,68
hihp,hihp_imp_asc,0.1,0.8970588235294118,0.23529411764705882,204.11764705882354,4.0,7.102022058823529,0.6332720588235294,68
hihp,hihp_imp_asc,0.2,0.7647058823529411,0.25,188.58823529411765,4.0,6.8083639705882355,1.2518382352941178,68
hihp,hihp_imp_asc,0.3,0.6176470588235294,0.2647058823529412,245.94117647058823,4.5,5.571231617647059,2.297794117647059,68
hihp,hihp_imp_asc,0.5,0.3235294117647059,0.058823529411764705,3034.3823529411766,171.0,-0.7465533088235294,7.388097426470588,68
hihp,hihp_imp_desc,0.05,0.5588235294117647,0.11764705882352941,748.3529411764706,38.0,1.4030330882352942,4.6171875,68
hihp,hihp_imp_desc,0.1,0.4264705882352941,0.11764705882352941,1209.25,62.5,0.4820772058823529,5.445772058823529,68
hihp,hihp_imp_desc,0.2,0.35294117647058826,0.10294117647058823,2351.470588235294,133.0,-0.4052159926470588,6.332146139705882,68
hihp,hihp_imp_desc,0.3,0.3235294117647059,0.058823529411764705,2837.5588235294117,167.5,-0.7219669117647058,6.915211397058823,68
hihp,hihp_imp_desc,0.5,0.3235294117647059,0.058823529411764705,3034.3823529411766,171.0,-0.7465533088235294,7.388097426470588,68
hilp,hilp_imp_asc,0.05,0.9558823529411765,0.2647058823529412,204.41176470588235,5.0,7.208180147058823,0.2702205882352941,68
hilp,hilp_imp_asc,0.1,0.9117647058823529,0.25,126.69117647058823,4.0,7.268841911764706,0.5772058823529411,68
hilp,hilp_imp_asc,0.2,0.9117647058823529,0.25,110.6470588235294,4.0,7.3318014705882355,0.6976102941176471,68
hilp,hilp_imp_asc,0.3,0.9117647058823529,0.25,110.6470588235294,4.0,7.3318014705882355,0.6976102941176471,68
hilp,hilp_imp_asc,0.5,0.9117647058823529,0.25,110.6470588235294,4.0,7.3318014705882355,0.6976102941176471,68
hilp,hilp_imp_desc,0.05,0.9411764705882353,0.23529411764705882,123.55882352941177,4.5,7.329044117647059,0.6240808823529411,68
hilp,hilp_imp_desc,0.1,0.9264705882352942,0.23529411764705882,111.67647058823529,4.0,7.3166360294117645,0.6755514705882353,68
hilp,hilp_imp_desc,0.2,0.9117647058823529,0.25,110.6470588235294,4.0,7.3318014705882355,0.6976102941176471,68
hilp,hilp_imp_desc,0.3,0.9117647058823529,0.25,110.6470588235294,4.0,7.3318014705882355,0.6976102941176471,68
hilp,hilp_imp_desc,0.5,0.9117647058823529,0.25,110.6470588235294,4.0,7.3318014705882355,0.6976102941176471,68
