layer,head,perturbation_L2
0,0,0.0005189740913920105
0,1,0.0006057409918867052
0,2,0.0005508956965059042
0,3,0.002193658845499158
0,4,0.00034985027741640806
0,5,0.0009650920983403921
0,6,0.0010868307435885072
0,7,0.0008144195307977498
0,8,0.0014752716524526477
0,9,0.0025566061958670616
0,10,0.003836502321064472
0,11,0.003669433295726776
0,12,0.0019282244611531496
0,13,0.0034262167755514383
0,14,0.0029843924567103386
0,15,0.0027492400258779526
0,16,0.0010401185136288404
0,17,0.0010478449985384941
0,18,0.00043592642759904265
0,19,0.0015429137274622917
0,20,0.0010941517539322376
0,21,0.0009126228978857398
0,22,0.0017524121794849634
0,23,0.002762487158179283
0,24,0.003998034633696079
0,25,0.00265427865087986
0,26,0.003322092117741704
0,27,0.005550067871809006
0,28,0.0014344113878905773
0,29,0.0029617194086313248
0,30,0.0014033634215593338
0,31,0.0029251081869006157
0,32,0.001228857901878655
0,33,0.00012549007078632712
0,34,0.003731939708814025
0,35,0.002357998164370656
0,36,0.0008062407723627985
0,37,5.807940397062339e-06
0,38,0.0018280798103660345
0,39,0.0024169289972633123
0,40,0.0007553387549705803
0,41,0.00048811922897584736
0,42,0.0008501274860464036
0,43,0.0006012399098835886
0,44,0.0010291582439094782
0,45,0.0024403121788054705
0,46,0.0009398679831065238
0,47,0.000725544523447752
0,48,0.0017694963607937098
0,49,0.00020258623408153653
0,50,0.0014278648886829615
0,51,0.00038024477544240654
0,52,0.0008639569277875125
0,53,0.0007082016672939062
0,54,0.00035153585486114025
0,55,0.0007204669527709484
0,56,0.000652908522170037
0,57,0.0011698862072080374
0,58,0.0009393796208314598
0,59,0.0022106573451310396
0,60,0.0008607279742136598
0,61,0.0013930195709690452
0,62,0.0016048806719481945
0,63,0.001113319187425077
1,0,0.01008728425949812
1,1,0.010241430252790451
1,2,0.01854661852121353
1,3,0.019504042342305183
1,4,0.003272682661190629
1,5,0.008880083449184895
1,6,0.006401107180863619
1,7,0.018838144838809967
1,8,0.007404375355690718
1,9,0.010834495536983013
1,10,0.008869940415024757
1,11,0.007881750352680683
1,12,0.00901450403034687
1,13,0.00583037780597806
1,14,0.011640334501862526
1,15,0.012356691062450409
1,16,0.011439698748290539
1,17,0.012548500671982765
1,18,0.00942070409655571
1,19,0.01198726799339056
1,20,0.011081459000706673
1,21,0.009024900384247303
1,22,0.011467833071947098
1,23,0.022040994837880135
1,24,0.022039879113435745
1,25,0.0122592244297266
1,26,0.015559800900518894
1,27,0.02630492113530636
1,28,0.016835758462548256
1,29,0.016772134229540825
1,30,0.024328939616680145
1,31,0.01178035605698824
1,32,0.021838271990418434
1,33,0.015383428893983364
1,34,0.014045537449419498
1,35,0.014037204906344414
1,36,0.023193340748548508
1,37,0.02172241359949112
1,38,0.01852290704846382
