crel_pair,n_C_trials,n_D_trials,c_mean_abs_delta,d_mean_abs_delta,c_minus_d
SAME-OPP,20,20,0.675,0.0312,0.6438
SAME-MORE,20,20,1.2875,0.05,1.2375
SAME-LESS,20,20,1.2312,0.0437,1.1875
OPP-MORE,20,20,1.5125,0.0312,1.4812
OPP-LESS,20,20,1.7125,0.0437,1.6687
MORE-LESS,20,20,3.3312,0.0375,3.2937
