layer,head,causal_imp,perturbation_L2,cell_new_abs,causal_imp_median,perturbation_median
0,0,0.028125,1.0665059089660645,D_p,0.034375,1.7816407084465027
0,1,0.029166666666666667,1.118487000465393,D_p,0.034375,1.7816407084465027
0,2,0.020833333333333332,0.0536642186343669,D_p,0.034375,1.7816407084465027
0,3,0.03125,0.1497091352939605,D_p,0.034375,1.7816407084465027
0,4,0.03125,0.0802842155098915,D_p,0.034375,1.7816407084465027
0,5,0.029166666666666667,0.4671083688735962,D_p,0.034375,1.7816407084465027
0,6,0.0375,0.2236976772546768,hilp_p,0.034375,1.7816407084465027
0,7,0.035416666666666666,0.1513244956731796,hilp_p,0.034375,1.7816407084465027
0,8,0.03229166666666667,0.4084460139274597,D_p,0.034375,1.7816407084465027
0,9,0.03125,2.059408903121948,C_p,0.034375,1.7816407084465027
0,10,0.03333333333333333,0.2551954388618469,D_p,0.034375,1.7816407084465027
0,11,0.03333333333333333,2.065359592437744,C_p,0.034375,1.7816407084465027
0,12,0.034375,2.405661106109619,hihp_p,0.034375,1.7816407084465027
0,13,0.029166666666666667,0.4388314187526703,D_p,0.034375,1.7816407084465027
0,14,0.03125,0.1619031131267547,D_p,0.034375,1.7816407084465027
0,15,0.030208333333333334,0.4668088555335998,D_p,0.034375,1.7816407084465027
1,0,0.029166666666666667,0.2853471934795379,D_p,0.034375,1.7816407084465027
1,1,0.030208333333333334,0.1410025656223297,D_p,0.034375,1.7816407084465027
1,2,0.035416666666666666,0.3970618844032287,hilp_p,0.034375,1.7816407084465027
1,3,0.036458333333333336,0.1398304402828216,hilp_p,0.034375,1.7816407084465027
1,4,0.034375,0.7853938341140747,hilp_p,0.034375,1.7816407084465027
1,5,0.029166666666666667,0.1275042593479156,D_p,0.034375,1.7816407084465027
1,6,0.036458333333333336,1.158747911453247,hilp_p,0.034375,1.7816407084465027
1,7,0.03333333333333333,0.2539424002170563,D_p,0.034375,1.7816407084465027
1,8,0.03229166666666667,0.4057044386863708,D_p,0.034375,1.7816407084465027
1,9,0.03333333333333333,0.1529991179704666,D_p,0.034375,1.7816407084465027
1,10,0.030208333333333334,0.6109619736671448,D_p,0.034375,1.7816407084465027
1,11,0.03229166666666667,2.4638831615448,C_p,0.034375,1.7816407084465027
1,12,0.036458333333333336,0.1624526530504226,hilp_p,0.034375,1.7816407084465027
1,13,0.0375,0.0744927674531936,hilp_p,0.034375,1.7816407084465027
