layer,head,mean_abs_delta,mean_signed_delta,n_trials
0,0,0.02493465647977941,-0.00238037109375,68
0,1,0.02238195082720588,0.001357134650735294,68
0,2,0.024460736443014705,0.0002477309283088235,68
0,3,0.022191664751838234,-0.000800637637867647,68
0,4,0.026370777803308824,0.003694422104779412,68
0,5,0.018364401424632353,0.000786276424632353,68
0,6,0.024855669806985295,0.002983542049632353,68
0,7,0.02435302734375,0.0012099322150735295,68
0,8,0.02517879710477941,0.0013248219209558824,68
0,9,0.023139504825367647,0.003091251148897059,68
0,10,0.05014576631433824,-0.00560446346507353,68
0,11,0.028672162224264705,0.0016587201286764705,68
0,12,0.02232809627757353,5.385454963235294e-05,68
0,13,0.022852280560661766,0.002373190487132353,68
0,14,0.03184958065257353,-0.00714111328125,68
0,15,0.01968563304227941,-0.0011955710018382354,68
0,16,0.18888585707720587,0.14708036534926472,68
0,17,0.02672262752757353,0.002279842601102941,68
0,18,0.024726418887867647,0.0009298885569852941,68
0,19,0.04720171760110294,0.016641055836397058,68
0,20,0.02317540785845588,0.007076487821691176,68
0,21,0.02330465877757353,-0.0003769818474264706,68
0,22,0.028445973115808824,0.004742790670955882,68
0,23,0.02675134995404412,-0.0023157456341911763,68
0,24,0.02191162109375,0.00019028607536764706,68
0,25,0.028374167049632353,-0.0003554400275735294,68
0,26,0.025932760799632353,0.0007001091452205882,68
0,27,0.02476950252757353,0.00548239315257353,68
0,28,0.026015337775735295,0.003683651194852941,68
0,29,0.019646139705882353,-0.00037339154411764703,68
0,30,0.025193158318014705,-0.002883013556985294,68
0,31,0.02694881663602941,0.002707088694852941,68
0,32,0.02138025620404412,-0.002143411075367647,68
0,33,0.02191162109375,-0.00403909122242647,68
0,34,0.02799718520220588,-0.0029943129595588237,68
0,35,0.02589685776654412,0.002057243795955882,68
0,36,0.02418787339154412,0.0012099322150735295,68
0,37,0.024755141314338234,-0.001533059512867647,68
0,38,0.021261776194852942,-0.00022259880514705882,68
0,39,0.030104693244485295,-0.00384521484375,68
1,0,0.03153363396139706,0.0035292681525735292,68
1,1,0.02879064223345588,0.002387551700367647,68
1,2,0.02552346622242647,0.0007647346047794118,68
1,3,0.022073184742647058,-0.0007036994485294118,68
1,4,0.02517879710477941,-0.001906451056985294,68
1,5,0.02606201171875,0.0013750861672794119,68
1,6,0.030625287224264705,0.0032384535845588237,68
1,7,0.02222756778492647,0.002739401424632353,68
1,8,0.02792178883272059,-0.003557990579044118,68
1,9,0.026991900275735295,0.0048899931066176475,68
1,10,0.024848489200367647,0.0020644244025735292,68
1,11,0.024704877068014705,0.001540240119485294,68
1,12,0.024338666130514705,-0.0013104607077205881,68
1,13,0.02723245059742647,-0.009474810431985295,68
1,14,0.028754739200367647,0.001626407398897059,68
1,15,0.04243289723115809,0.012331794289981617,68
1,16,0.02392578125,-0.0022547104779411763,68
1,17,0.026780072380514705,0.008986529181985295,68
1,18,0.026851878446691176,0.002423454733455882,68
1,19,0.024166331571691176,-8.975758272058824e-05,68
1,20,0.023972455193014705,-0.001748477711397059,68
1,21,0.03787769990808824,-0.009112189797794117,68
1,22,0.027975643382352942,0.006649241727941176,68
1,23,0.024496639476102942,0.002150591681985294,68
1,24,0.025803509880514705,0.002409093520220588,68
1,25,0.02752685546875,0.002825568704044118,68
1,26,0.024776683134191176,-0.002143411075367647,68
1,27,0.02675134995404412,-0.002531163832720588,68
1,28,0.022730210248161766,-0.00103759765625,68
1,29,0.02821619370404412,0.0004846909466911765,68
1,30,0.03248147403492647,0.003730325137867647,68
1,31,0.02906350528492647,0.0007719152113970588,68
1,32,0.02877628102022059,-0.0017053940716911765,68
1,33,0.02173928653492647,-0.000908346737132353,68
1,34,0.02759866153492647,0.0007144703584558823,68
1,35,0.029943129595588234,0.006807215073529412,68
1,36,0.02227783203125,0.0006929285386029412,68
1,37,0.02397425034466912,-0.0023462632123161763,68
1,38,0.029199936810661766,0.0001472024356617647,68
1,39,0.021987017463235295,-0.002843520220588235,68
2,0,0.02593994140625,-7.539636948529412e-05,68
2,1,0.02154541015625,-0.0018346449908088235,68
2,2,0.03136129940257353,0.00635842715992647,68
2,3,0.02672262752757353,-0.00023336971507352942,68
2,4,0.04097972196691176,-0.0008832146139705882,68
2,5,0.033522661994485295,0.005001292509191176,68
2,6,0.024801815257352942,-0.001321231617647059,68
2,7,0.022881002987132353,0.00014002182904411764,68
2,8,0.03438433478860294,0.002760943244485294,68
2,9,0.03315286075367647,-0.00032312729779411764,68
2,10,0.025595272288602942,0.001051958869485294,68
2,11,0.020041073069852942,-0.00010770909926470588,68
2,12,0.027268353630514705,0.0066743738511029415,68
2,13,0.028115665211397058,-0.0009514303768382353,68
2,14,0.03393913717830882,-0.001762838924632353,68
2,15,0.033860150505514705,0.008153578814338236,68
2,16,0.02735452090992647,-0.00658102596507353,68
2,17,0.021782370174632353,-0.0003554400275735294,68
2,18,0.06737383674172794,0.003667494829963235,68
2,19,0.028478285845588234,0.004121668198529412,68
2,20,0.03050680721507353,0.0009657915900735295,68
2,21,0.036376953125,0.0032312729779411763,68
2,22,0.029910816865808824,0.006760541130514706,68
2,23,0.03991340188419118,0.004929486443014706,68
2,24,0.05630672679227941,0.019972857306985295,68
2,25,0.02382166245404412,-0.002617331112132353,68
2,26,0.04732199276194853,-0.0007198558134191177,68
2,27,0.021337172564338234,-0.0010088752297794119,68
2,28,0.024999281939338234,0.0013320025275735295,68
2,29,0.03710578469669118,0.007808909696691176,68
2,30,0.03603946461397059,0.000983743106617647,68
2,31,0.03821159811580882,-0.003593893612132353,68
2,32,0.02076272403492647,0.0017987419577205881,68
2,33,0.02699549057904412,0.0042329676011029415,68
2,34,0.023584702435661766,0.007342170266544118,68
2,35,0.02557373046875,-0.002114688648897059,68
2,36,0.02714269301470588,0.003159466911764706,68
2,37,0.03222297219669118,0.01361083984375,68
2,38,0.026787252987132353,0.0017987419577205881,68
2,39,0.03702679802389706,0.003622616038602941,68
3,0,0.02371395335477941,0.001152487362132353,68
3,1,0.026281020220588234,0.0042796415441176475,68
3,2,0.03920970243566176,0.00027645335477941176,68
3,3,0.03268971162683824,0.006372788373161764,68
3,4,0.018637264476102942,-0.002962000229779412,68
3,5,0.02866857192095588,0.0022008559283088237,68
3,6,0.02862548828125,-0.0013750861672794119,68
3,7,0.030722225413602942,0.00360107421875,68
3,8,0.032700482536764705,0.005816291360294118,68
3,9,0.030496036305147058,-0.006383559283088236,68
3,10,0.03182444852941176,0.005816291360294118,68
3,11,0.02867575252757353,0.00032671760110294115,68
3,12,0.060805376838235295,-0.010943244485294117,68
3,13,0.02256505629595588,0.00030517578125,68
3,14,0.04140696806066176,-0.01312255859375,68
3,15,0.03406838809742647,0.0043119542738970585,68
3,16,0.03930305032169118,0.0007144703584558823,68
3,17,0.04333855124080882,0.005884507123161764,68
3,18,0.026650821461397058,0.004907944623161764,68
3,19,0.024627685546875,-0.003918816061580882,68
3,20,0.029659495634191176,-0.0014468922334558824,68
3,21,0.040480669806985295,-0.0065092198988970585,68
3,22,0.02572452320772059,-0.002832749310661765,68
3,23,0.04027018827550551,-0.0030028399299172792,68
3,24,0.05302877987132353,-0.0063548368566176475,68
3,25,0.03048526539522059,0.002653234145220588,68
3,26,0.02281637752757353,0.003687241498161765,68
3,27,0.021640553193933824,-0.0017071892233455881,68
3,28,0.026248707490808824,0.0074067957261029415,68
3,29,0.032151166130514705,-0.0018131031709558824,68
3,30,0.028726016773897058,0.003680060891544118,68
3,31,0.034255083869485295,-0.002143411075367647,68
3,32,0.030298569623161766,0.00029799517463235297,68
3,33,0.020655014935661766,0.001425350413602941,68
3,34,0.024439194623161766,0.002215217141544118,68
3,35,0.02500646254595588,0.003155876608455882,68
3,36,0.03726375804227941,0.0017053940716911765,68
3,37,0.034588982077205885,-0.012745576746323529,68
3,38,0.04022216796875,-0.00762939453125,68
3,39,0.02418787339154412,0.001511517693014706,68
4,0,0.04056683708639706,0.0018059225643382354,68
4,1,0.06131879021139706,0.006423052619485294,68
4,2,0.02779971852022059,0.006695915670955882,68
4,3,0.027347340303308824,0.002660414751838235,68
4,4,0.041579302619485295,0.017265768612132353,68
4,5,0.033490349264705885,0.0007467830882352941,68
4,6,0.04663803998161765,-0.001443301930147059,68
4,7,0.03404684627757353,-0.0066312902113970585,68
4,8,0.061232622931985295,-0.00079345703125,68
4,9,0.024704877068014705,0.005216710707720588,68
4,10,0.044814165900735295,0.005521886488970588,68
4,11,0.028438792509191176,-0.0017341164981617646,68
4,12,0.02615535960477941,0.002301384420955882,68
4,13,0.06647446576286764,0.011952119715073529,68
4,14,0.03373359231387868,-0.002325618968290441,68
4,15,0.03827622357536765,0.0012386546415441176,68
4,16,0.021875718060661766,0.0040678136488970585,68
4,17,0.024349437040441176,0.002836339613970588,68
4,18,0.027778176700367647,0.0002477309283088235,68
4,19,0.036481071920955885,-0.0011309455422794119,68
4,20,0.032700482536764705,-0.0025132123161764708,68
4,21,0.030111873851102942,0.004886402803308824,68
4,22,0.032366584329044115,0.0025670668658088237,68
4,23,0.031939338235294115,-0.0004739200367647059,68
4,24,0.02935791015625,0.00177001953125,68
4,25,0.02850341796875,0.006817985983455882,68
4,26,0.03362319048713235,0.003830853630514706,68
4,27,0.024331485523897058,-0.001669491038602941,68
4,28,0.033648322610294115,-0.0040355009191176475,68
4,29,0.028856614056755516,-0.0069270414464613975,68
4,30,0.03686422460219439,-0.003948323866900276,68
4,31,0.02471923828125,0.0007288315716911765,68
4,32,0.029627182904411766,0.00244140625,68
4,33,0.024388930376838234,-0.002222397748161765,68
4,34,0.09413416245404412,0.043410357306985295,68
4,35,0.02537267348345588,-0.001181209788602941,68
4,36,0.027440688189338234,0.0039457433363970585,68
4,37,0.04735969094669118,0.006516400505514706,68
4,38,0.02782126034007353,0.0001472024356617647,68
4,39,0.026036879595588234,-4.3083639705882356e-05,68
5,0,0.02542293772977941,-0.00201416015625,68
5,1,0.028428021599264705,0.004057042738970588,68
5,2,0.031628776999080885,0.0063853544347426475,68
5,3,0.034470502068014705,0.008778291590073529,68
5,4,0.027846392463235295,0.0027573529411764708,68
5,5,0.030808392693014705,-0.0015976849724264705,68
5,6,0.02708165785845588,-0.0008293600643382353,68
5,7,0.023545209099264705,-0.00444479549632353,68
5,8,0.05788466509650735,-0.013688031364889705,68
5,9,0.037823845358455885,0.0007288315716911765,68
5,10,0.02293844784007353,0.008936264935661764,68
5,11,0.028158748851102942,0.0006283030790441177,68
5,12,0.05237893497242647,-2.5132123161764705e-05,68
5,13,0.021846995634191176,-0.002667595358455882,68
5,14,0.05300364774816176,0.0036513384650735292,68
5,15,0.04467414407169118,-0.00201416015625,68
5,16,0.054095099954044115,0.0002549115349264706,68
5,17,0.03546860638786765,0.0054105870863970585,68
5,18,0.04519832835477941,-0.006107105928308824,68
5,19,0.04639748965992647,0.010738597196691176,68
5,20,0.033368278952205885,-0.0009262982536764705,68
5,21,0.027928969439338234,0.0022080365349264708,68
5,22,0.02389705882352941,0.00045955882352941176,68
5,23,0.03213680491727941,0.0001472024356617647,68
5,24,0.03518856272977941,0.00665283203125,68
5,25,0.04967902688419118,-0.002847110523897059,68
5,26,0.031784955193014705,0.008290010340073529,68
5,27,0.028927073759191176,0.006437413832720588,68
5,28,0.03523501227883732,0.0018456402946920955,68
5,29,0.034010943244485295,0.00013284122242647058,68
5,30,0.04880658318014706,-0.01255170036764706,68
5,31,0.03796027688419118,-0.006731818704044118,68
5,32,0.03158389820772059,0.00592041015625,68
5,33,0.02322567210477941,0.0019279928768382354,68
5,34,0.03199375376981847,-0.008254668291877298,68
5,35,0.02735452090992647,0.001274557674632353,68
5,36,0.03050501206341912,0.00722189510569853,68
