model,seed,group,ratio,k,k_actual,mean_abs_delta,median_abs_delta,n_eval_trials,n_cal_pairs,n_eval_pairs,n_cell_hihp,n_cell_hilp,n_cell_C,n_cell_D
gemma-3-27b-it,43,C_imp_asc,0.07,139,139,3.586197916666667,2.25,960,20,80,544,399,399,544
gemma-3-27b-it,43,C_imp_asc,0.1,199,199,5.403125,4.0,960,20,80,544,399,399,544
gemma-3-27b-it,43,C_imp_asc,0.12,239,239,7.4087890625,5.75,960,20,80,544,399,399,544
gemma-3-27b-it,43,C_imp_asc,0.15,298,298,8.794791666666667,7.4375,960,20,80,544,399,399,544
gemma-3-27b-it,43,C_imp_asc,0.2,397,397,10.91669921875,10.25,960,20,80,544,399,399,544
gemma-3-27b-it,43,C_imp_asc,0.201109,400,399,11.990462239583334,11.5,960,20,80,544,399,399,544
gemma-3-27b-it,43,C_imp_asc,0.3,596,399,11.990462239583334,11.5,960,20,80,544,399,399,544
gemma-3-27b-it,43,C_imp_asc,0.5,992,399,11.990462239583334,11.5,960,20,80,544,399,399,544
gemma-3-27b-it,43,D_imp_asc,0.01,20,20,0.1958333333333333,0.25,960,20,80,544,399,399,544
gemma-3-27b-it,43,D_imp_asc,0.03,60,60,0.19921875,0.25,960,20,80,544,399,399,544
gemma-3-27b-it,43,D_imp_asc,0.05,100,100,0.2229166666666666,0.25,960,20,80,544,399,399,544
gemma-3-27b-it,43,D_imp_asc,0.07,139,139,0.26875,0.25,960,20,80,544,399,399,544
gemma-3-27b-it,43,D_imp_asc,0.1,199,199,0.3208333333333333,0.25,960,20,80,544,399,399,544
gemma-3-27b-it,43,D_imp_asc,0.12,239,239,0.37265625,0.25,960,20,80,544,399,399,544
gemma-3-27b-it,43,D_imp_asc,0.15,298,298,0.3950520833333333,0.25,960,20,80,544,399,399,544
gemma-3-27b-it,43,D_imp_asc,0.2,397,397,0.45546875,0.25,960,20,80,544,399,399,544
gemma-3-27b-it,43,D_imp_asc,0.201109,400,400,0.4520833333333333,0.25,960,20,80,544,399,399,544
gemma-3-27b-it,43,D_imp_asc,0.3,596,544,0.4888020833333333,0.25,960,20,80,544,399,399,544
gemma-3-27b-it,43,D_imp_asc,0.5,992,544,0.4888020833333333,0.25,960,20,80,544,399,399,544
