layer,head,perturbation_L2
0,0,0.09394801408052444
0,1,0.09500814229249954
0,2,0.08993294090032578
0,3,0.0745587944984436
0,4,0.09487446397542953
0,5,0.06154985353350639
0,6,0.09626247733831406
0,7,0.06711513549089432
0,8,0.08600372076034546
0,9,0.06800317764282227
0,10,0.0981166884303093
0,11,0.08813124895095825
0,12,0.007742817047983408
0,13,0.10808785259723663
0,14,0.01044375542551279
0,15,0.05454415827989578
0,16,0.13283690810203552
0,17,0.09777066856622696
0,18,0.05534582585096359
0,19,0.06984364241361618
0,20,0.054117005318403244
0,21,0.02734963223338127
0,22,0.10981433838605881
0,23,0.05839284509420395
0,24,0.056527283042669296
0,25,0.11768932640552521
0,26,0.12291362881660461
0,27,0.059630393981933594
0,28,0.07901091873645782
0,29,0.033673834055662155
0,30,0.049548715353012085
0,31,0.017335480079054832
0,32,0.008577700704336166
0,33,0.08373655378818512
0,34,0.04471185430884361
0,35,0.02967264875769615
0,36,0.04728003591299057
0,37,0.05050685629248619
0,38,0.07849105447530746
0,39,0.035247333347797394
1,0,0.015806106850504875
1,1,0.01751602627336979
1,2,0.013455756939947605
1,3,0.014679083600640297
1,4,0.017760757356882095
1,5,0.1048383116722107
1,6,0.03594549000263214
1,7,0.02670370414853096
1,8,0.07517871260643005
1,9,0.05145078897476196
1,10,0.017857477068901062
1,11,0.017532316967844963
1,12,0.023165619000792503
1,13,0.017102189362049103
1,14,0.014540478587150574
1,15,0.03139889985322952
1,16,0.09220796078443527
1,17,0.027434080839157104
1,18,0.05338742583990097
1,19,0.020346321165561676
1,20,0.0552181638777256
1,21,0.03422332555055618
1,22,0.04140332713723183
1,23,0.03375633433461189
1,24,0.024172207340598106
1,25,0.04738175868988037
1,26,0.04563542455434799
1,27,0.023212924599647522
1,28,0.029092412441968918
1,29,0.04758793115615845
1,30,0.015506318770349026
1,31,0.012967978604137897
1,32,0.013382459059357643
1,33,0.012243427336215973
1,34,0.01301989983767271
1,35,0.02179245837032795
1,36,0.021338356658816338
1,37,0.04364103078842163
1,38,0.032938793301582336
1,39,0.02729511447250843
2,0,0.06055957078933716
2,1,0.04889265075325966
2,2,0.06341151893138885
2,3,0.03719226270914078
2,4,0.056729525327682495
2,5,0.03079633042216301
2,6,0.02541450411081314
2,7,0.026305530220270157
2,8,0.022970549762248993
2,9,0.024564405903220177
2,10,0.04741532355546951
2,11,0.046805981546640396
2,12,0.06107547506690025
2,13,0.0399344377219677
2,14,0.06509846448898315
2,15,0.03812547028064728
2,16,0.041549671441316605
2,17,0.11558859050273895
2,18,0.0577358677983284
2,19,0.03930461034178734
2,20,0.06388571858406067
2,21,0.09155711531639099
2,22,0.058595381677150726
2,23,0.05549853295087814
2,24,0.046619806438684464
2,25,0.06892111152410507
2,26,0.07830612361431122
2,27,0.05405469238758087
2,28,0.04376048222184181
2,29,0.06884462386369705
2,30,0.035439711064100266
2,31,0.044404707849025726
2,32,0.04606044292449951
2,33,0.03829076886177063
2,34,0.03473443537950516
2,35,0.046289533376693726
2,36,0.2262697070837021
2,37,0.06284679472446442
2,38,0.051727477461099625
2,39,0.04283587634563446
3,0,0.08598636090755463
3,1,0.08693776279687881
3,2,0.06015091389417648
3,3,0.14227211475372314
3,4,0.13942427933216095
3,5,0.10409649461507797
3,6,0.13027702271938324
3,7,0.08522572368383408
3,8,0.07746731489896774
3,9,0.10167595744132996
3,10,0.08939463645219803
3,11,0.07440410554409027
3,12,0.10215497761964798
3,13,0.07644202560186386
3,14,0.09451930969953537
3,15,0.08894727379083633
3,16,0.08633537590503693
3,17,0.10116405785083771
3,18,0.08874829858541489
3,19,0.1285151094198227
3,20,0.08013350516557693
3,21,0.09601309895515442
3,22,0.11887402832508087
3,23,0.08091815561056137
3,24,0.11340693384408951
3,25,0.1752263903617859
3,26,0.20239177346229553
3,27,0.11248171329498291
3,28,0.1356644332408905
3,29,0.11553914844989777
3,30,0.05986541882157326
3,31,0.07423125207424164
3,32,0.06140971556305885
3,33,0.07561016827821732
3,34,0.1053914949297905
3,35,0.07471462339162827
3,36,0.09634087234735489
3,37,0.08657677471637726
3,38,0.10423747450113297
3,39,0.0869276151061058
4,0,0.13735873997211456
4,1,0.1038312166929245
4,2,0.1435786634683609
4,3,0.1518046110868454
4,4,0.1454387754201889
4,5,0.19822734594345093
4,6,0.20544901490211487
4,7,0.20658043026924133
4,8,0.16409891843795776
4,9,0.26151981949806213
4,10,0.153950035572052
4,11,0.10115665942430496
4,12,0.11253543198108673
4,13,0.20065395534038544
4,14,0.09623823314905167
4,15,0.10374817252159119
4,16,0.15507705509662628
4,17,0.11972001194953918
4,18,0.09412536770105362
4,19,0.1314905434846878
4,20,0.09391085058450699
4,21,0.09020401537418365
4,22,0.07309402525424957
4,23,0.07218735665082932
4,24,0.10449305176734924
4,25,0.11240047216415405
4,26,0.10958744585514069
4,27,0.090842604637146
4,28,0.08461353927850723
4,29,0.1590137928724289
4,30,0.14344216883182526
4,31,0.10416513681411743
4,32,0.15795476734638214
4,33,0.09912619739770889
