layer,head,rsa_crel,rsa_attr,rsa_max,rsa_max_before_clamp,rsa_crel_pval,rsa_attr_pval
0,0,0.5253496170043945,-0.020492255687713623,0.5253496170043945,0.5253496170043945,0.0,0.08500000089406967
0,1,0.13731959462165833,0.018380045890808105,0.13731959462165833,0.13731959462165833,0.0,0.12110000103712082
0,2,0.38070982694625854,0.012560509145259857,0.38070982694625854,0.38070982694625854,0.0,0.260699987411499
0,3,0.3386577367782593,0.0028983280062675476,0.3386577367782593,0.3386577367782593,0.0,0.8184000253677368
0,4,0.359872430562973,-0.010120190680027008,0.359872430562973,0.359872430562973,0.0,0.3095000088214874
0,5,0.060684915632009506,0.08221380412578583,0.08221380412578583,0.08221380412578583,0.0,9.999999747378752e-05
0,6,0.09543628245592117,0.07185284793376923,0.09543628245592117,0.09543628245592117,0.0,0.00139999995008111
0,7,0.0678907036781311,0.05530150234699249,0.0678907036781311,0.0678907036781311,0.0,0.000699999975040555
0,8,0.045328520238399506,0.03394021466374397,0.045328520238399506,0.045328520238399506,0.002400000113993883,0.019600000232458115
0,9,0.05547304451465607,0.09869922697544098,0.09869922697544098,0.09869922697544098,0.0,0.0
0,10,0.5232083797454834,0.04279404506087303,0.5232083797454834,0.5232083797454834,0.0,0.026499999687075615
0,11,0.39856505393981934,0.02120063453912735,0.39856505393981934,0.39856505393981934,0.0,0.09610000252723694
0,12,0.4261651635169983,0.027704671025276184,0.4261651635169983,0.4261651635169983,0.0,0.06279999762773514
0,13,0.31293192505836487,0.10518866777420044,0.31293192505836487,0.31293192505836487,0.0,0.0003000000142492354
0,14,0.4622073769569397,-0.0004728958010673523,0.4622073769569397,0.4622073769569397,0.0,0.9753999710083008
0,15,0.10733973979949951,0.043363042175769806,0.10733973979949951,0.10733973979949951,0.0,0.0035000001080334187
0,16,0.5030239820480347,0.059959836304187775,0.5030239820480347,0.5030239820480347,0.0,0.013100000098347664
0,17,0.13159877061843872,-0.007554218173027039,0.13159877061843872,0.13159877061843872,0.0,0.5659999847412109
