crel_pair,n_C_trials,n_D_trials,c_mean_abs_delta,d_mean_abs_delta,c_minus_d
SAME-OPP,20,20,1.9812,0.125,1.8562
SAME-MORE,20,20,7.5875,0.175,7.4125
SAME-LESS,20,20,6.5438,0.175,6.3688
OPP-MORE,20,20,9.5312,0.15,9.3812
OPP-LESS,20,20,9.875,0.15,9.725
MORE-LESS,20,20,10.6813,0.075,10.6063
