layer,head,mean_abs_delta,mean_signed_delta,n_trials
0,0,0.03262867647058824,-0.0013786764705882354,68
0,1,0.031020220588235295,-0.005284926470588236,68
0,2,0.03630514705882353,-0.009650735294117647,68
0,3,0.03423713235294118,-0.0029871323529411763,68
0,4,0.031939338235294115,-0.0011488970588235295,68
0,5,0.03814338235294118,-0.008731617647058824,68
0,6,0.031479779411764705,-0.003446691176470588,68
0,7,0.03791360294117647,-0.007582720588235294,68
0,8,0.03469669117647059,-0.0062040441176470585,68
0,9,0.03814338235294118,-0.00505514705882353,68
0,10,0.03423713235294118,-0.007123161764705882,68
0,11,0.03607536764705882,-0.004825367647058824,68
0,12,0.04595588235294118,-0.007352941176470588,68
0,13,0.034926470588235295,0.0,68
0,14,0.035386029411764705,0.00045955882352941176,68
0,15,0.029641544117647058,-0.002068014705882353,68
0,16,0.038373161764705885,-0.002527573529411765,68
0,17,0.03561580882352941,-0.009880514705882353,68
0,18,0.03331801470588235,0.0029871323529411763,68
0,19,0.03354779411764706,-0.009191176470588236,68
0,20,0.03010110294117647,-0.00390625,68
0,21,0.03239889705882353,-0.008961397058823529,68
0,22,0.03676470588235294,-0.006433823529411764,68
0,23,0.04021139705882353,-0.005284926470588236,68
0,24,0.03515625,0.00022977941176470588,68
0,25,0.03722426470588235,-0.004136029411764706,68
0,26,0.0390625,-0.0078125,68
0,27,0.03400735294117647,-0.003676470588235294,68
0,28,0.051011029411764705,-0.00505514705882353,68
0,29,0.03056066176470588,-0.00390625,68
0,30,0.035386029411764705,-0.008731617647058824,68
0,31,0.03515625,0.001608455882352941,68
0,32,0.03722426470588235,-0.002297794117647059,68
0,33,0.03745404411764706,-0.008501838235294117,68
0,34,0.04090073529411765,-0.01332720588235294,68
0,35,0.03262867647058824,-0.010569852941176471,68
0,36,0.03515625,-0.002527573529411765,68
0,37,0.035845588235294115,-0.009191176470588236,68
0,38,0.035845588235294115,-0.006433823529411764,68
0,39,0.038832720588235295,-0.004365808823529412,68
0,40,0.03699448529411765,-0.007582720588235294,68
0,41,0.04204963235294118,-0.00390625,68
0,42,0.03377757352941176,-0.00666360294117647,68
0,43,0.04136029411764706,-0.004595588235294118,68
0,44,0.039292279411764705,-0.007123161764705882,68
0,45,0.04503676470588235,-0.008272058823529412,68
0,46,0.03285845588235294,-0.004825367647058824,68
0,47,0.03699448529411765,-0.008961397058823529,68
0,48,0.034466911764705885,-0.006433823529411764,68
0,49,0.03607536764705882,-0.0006893382352941177,68
0,50,0.03331801470588235,-0.002527573529411765,68
0,51,0.03010110294117647,-0.002068014705882353,68
0,52,0.03653492647058824,-0.008042279411764705,68
0,53,0.038832720588235295,-0.0062040441176470585,68
0,54,0.03216911764705882,-0.001838235294117647,68
0,55,0.03607536764705882,-0.0057444852941176475,68
0,56,0.031939338235294115,-0.01171875,68
0,57,0.03125,0.003676470588235294,68
0,58,0.031939338235294115,-0.00942095588235294,68
0,59,0.03354779411764706,-0.009191176470588236,68
0,60,0.03791360294117647,-0.002527573529411765,68
0,61,0.03056066176470588,-0.001608455882352941,68
0,62,0.03676470588235294,-0.0055147058823529415,68
0,63,0.03791360294117647,0.0011488970588235295,68
1,0,0.03423713235294118,-0.005284926470588236,68
1,1,0.04871323529411765,-0.0009191176470588235,68
1,2,0.038832720588235295,-0.0011488970588235295,68
1,3,0.0390625,-0.011488970588235295,68
1,4,0.04044117647058824,-0.007352941176470588,68
1,5,0.034466911764705885,-0.003676470588235294,68
1,6,0.03561580882352941,-0.007582720588235294,68
1,7,0.05307904411764706,-0.010340073529411764,68
1,8,0.031020220588235295,-0.004825367647058824,68
1,9,0.03400735294117647,-0.006433823529411764,68
1,10,0.034926470588235295,-0.0055147058823529415,68
1,11,0.031479779411764705,-0.008042279411764705,68
1,12,0.03653492647058824,-0.007123161764705882,68
1,13,0.03630514705882353,-0.003216911764705882,68
1,14,0.04136029411764706,-0.00045955882352941176,68
1,15,0.038832720588235295,-0.0062040441176470585,68
1,16,0.03285845588235294,-0.004365808823529412,68
1,17,0.042279411764705885,-0.01332720588235294,68
1,18,0.04940257352941176,-0.001608455882352941,68
1,19,0.04733455882352941,-0.011488970588235295,68
1,20,0.04296875,0.0006893382352941177,68
1,21,0.04779411764705882,-0.0055147058823529415,68
1,22,0.05353860294117647,0.008501838235294117,68
1,23,0.055376838235294115,0.008501838235294117,68
1,24,0.04181985294117647,-0.002297794117647059,68
1,25,0.04848345588235294,-0.004825367647058824,68
1,26,0.04181985294117647,-0.006893382352941176,68
1,27,0.046185661764705885,0.0029871323529411763,68
1,28,0.03998161764705882,-0.0078125,68
1,29,0.039751838235294115,-0.0057444852941176475,68
1,30,0.04411764705882353,-0.0027573529411764708,68
1,31,0.04802389705882353,0.002068014705882353,68
1,32,0.042738970588235295,-0.004595588235294118,68
