layer,head,mean_perturbation_l2,std_perturbation_l2,n_trials
0,0,0.0009824505918111432,0.0007007119964075858,68
0,1,0.0018367688539643388,0.0004846001784248782,68
0,2,0.0016937976855414866,0.000388211114017315,68
0,3,0.0018089524340158438,0.00045502837298417654,68
0,4,0.0009138127459343249,0.0003387582375036413,68
0,5,0.0009715542212635389,0.0002678018238949959,68
0,6,0.0015226304702296415,0.00047448694705061077,68
0,7,0.001286769575552385,0.0005911431021670351,68
0,8,0.010498436587273745,0.0070339129428001025,68
0,9,0.009329214858178817,0.006685829104623274,68
0,10,0.015231190286987625,0.007814109488523081,68
0,11,0.0032610583618995458,0.0020778583682650163,68
0,12,0.01633211208408123,0.024381270341228722,68
0,13,0.007926082094747792,0.007399962863255671,68
0,14,0.016609898982364136,0.01555242706561918,68
0,15,0.017857374931576058,0.01982875239105057,68
0,16,0.002590667099438553,0.0035872593582838416,68
0,17,0.0011914909193686018,0.0010567420379854558,68
0,18,0.0014893472558897508,0.0013620532798388034,68
0,19,0.0019887183657641906,0.0023123279654398456,68
0,20,0.0036102202233022954,0.0030401313767198786,68
0,21,0.001060281787538449,0.0006932464616468813,68
0,22,0.0066579362867153526,0.011686575719751884,68
0,23,0.005939928612753968,0.01255440633877263,68
0,24,0.002547196223424501,0.002689526772116206,68
0,25,0.0028106980830403592,0.007393954916402904,68
0,26,0.020041909815250513,0.012319078416990295,68
0,27,0.010990062642924707,0.002986248130151941,68
0,28,0.040757899131516326,0.018893781109314018,68
0,29,0.021046577158438808,0.006335157576615795,68
0,30,0.01927526910131907,0.00799801179064562,68
0,31,0.038289983962279034,0.017573890538634212,68
0,32,0.013682015081833336,0.013357627766753925,68
0,33,0.0010369566060516638,0.0007565287941744192,68
0,34,0.024596092674662087,0.007804788839943524,68
0,35,0.002172457273124618,0.0032157661519250304,68
0,36,0.001108462967856801,0.0004547823439939783,68
0,37,1.0814951117191055e-05,3.3111036437357867e-05,68
0,38,0.0029979862661361147,0.0019090037142104547,68
0,39,0.0034452892550154287,0.0042605716642593865,68
0,40,0.0033421061337268088,0.0016351616678271954,68
0,41,0.004019493423744708,0.0028536206982142692,68
0,42,0.014197353533852626,0.009913406572395646,68
0,43,0.0028945537252344795,0.0030186605458313925,68
0,44,0.009741710368817783,0.0036739267344908606,68
0,45,0.005967363319702118,0.0029989783464509576,68
0,46,0.002004896520434961,0.001823478539441991,68
0,47,0.005262258337632588,0.0033249624247369152,68
0,48,0.001551031089226907,0.002784427210150351,68
0,49,0.001287166661795174,0.00045724413027055556,68
0,50,0.002192825047292418,0.0007430603416353655,68
0,51,0.0011448807131005999,0.001660489917178219,68
0,52,0.0019188861825729393,0.00045699134263470865,68
0,53,0.001837717744124615,0.00037830686256069726,68
0,54,0.0020274172275094315,0.0009619147271281074,68
0,55,0.0009425365509848823,0.0005552221817908019,68
0,56,0.004241262924230849,0.004103615773350875,68
0,57,0.0032950362891664125,0.0050486739545766365,68
0,58,0.002665491519163719,0.002035460307299959,68
0,59,0.002983153732630479,0.002544379866139912,68
0,60,0.002442831906698891,0.002235380100156589,68
0,61,0.006399855544526979,0.004867542228616276,68
0,62,0.004021002128651804,0.0032019240485726052,68
0,63,0.004871691513792886,0.003967098029658617,68
1,0,0.049831376928041744,0.034476298746999576,68
1,1,0.10824496542815776,0.03537966446804042,68
1,2,0.07696330837686272,0.04617702694603283,68
1,3,0.07200334303300171,0.028475337380617416,68
1,4,0.003924079562934554,0.0048001016427522076,68
1,5,0.014881217482444994,0.006759390970525003,68
1,6,0.019708012499476728,0.012420216237398909,68
1,7,0.13811087482334936,0.05007807199222653,68
1,8,0.0150480654076947,0.008181006318330063,68
1,9,0.018183231990620056,0.00855658717357623,68
1,10,0.0167702286682256,0.006282591151650939,68
1,11,0.03900367803597713,0.01975698867426524,68
1,12,0.027297636583063972,0.014968815256525011,68
1,13,0.02953097554307212,0.017114743756674208,68
1,14,0.05849922834621633,0.017017992051833505,68
1,15,0.04627944838584346,0.020869525408708706,68
1,16,0.09843055071199641,0.0668145386693524,68
1,17,0.07597895165193169,0.05237098612339603,68
1,18,0.13345756081124657,0.08147858037328655,68
1,19,0.0975665188709493,0.03875358793099115,68
1,20,0.0878293471520438,0.05362857968038488,68
1,21,0.18029804355190956,0.13766980223465575,68
1,22,0.07704024407190874,0.05469945912193181,68
1,23,0.14629478207515442,0.06501214455299957,68
1,24,0.040830253417987156,0.012439035175460918,68
1,25,0.14143287984873443,0.1003545100255974,68
1,26,0.07945909557918854,0.07557600464424456,68
1,27,0.14511784098987632,0.12339718871526041,68
1,28,0.08863794629681199,0.03384654341557285,68
1,29,0.09843325218432308,0.048760529011666706,68
1,30,0.11595501172054998,0.06328199615384371,68
1,31,0.10228273084880236,0.06279113941812772,68
1,32,0.14008045232142596,0.059369317574373054,68
1,33,0.04825615868492819,0.01976134003469588,68
1,34,0.11638179972000859,0.04206988362357163,68
1,35,0.07550001942196533,0.03367472798770785,68
1,36,0.07551208340480704,0.04310420923393059,68
1,37,0.08139427688301486,0.035485203122208084,68
1,38,0.073509387754123,0.04028016586320254,68
1,39,0.12725538554984858,0.028456866439888658,68
1,40,0.1260384968481958,0.05431992368384335,68
1,41,0.04399615467306884,0.03049854282780104,68
1,42,0.05150020238943398,0.014092365204938286,68
1,43,0.15178027272443562,0.1116107106088268,68
1,44,0.11036965878242079,0.04491616417164478,68
1,45,0.1318669171510812,0.0615238747901536,68
1,46,0.10216578778208178,0.08674222359374466,68
1,47,0.1037248040220755,0.05859702019216597,68
1,48,0.04289590192082174,0.04313424324899596,68
1,49,0.07172579519615016,0.04411142727260222,68
1,50,0.0770537012585384,0.016842438755429907,68
1,51,0.09740955982466831,0.060022921603513316,68
1,52,0.07588557922281325,0.054676765852171905,68
1,53,0.04002593000597485,0.03137121849549877,68
1,54,0.05682282241554383,0.04683115086877688,68
1,55,0.07805553629227421,0.029950857992805464,68
1,56,0.10405724705196917,0.054756421898505575,68
1,57,0.10126285841140677,0.054559010535887784,68
1,58,0.18715571778525106,0.13917655875741974,68
1,59,0.17790066334418952,0.11895872917153014,68
1,60,0.09494219143765376,0.04920770223967368,68
1,61,0.07193691690233261,0.047484296713573355,68
1,62,0.1389316534075667,0.10217312568353457,68
1,63,0.2006134235793177,0.17636902643373098,68
2,0,0.04878928844460889,0.04490672342688217,68
2,1,0.041601044108735066,0.025154231427073764,68
2,2,0.010238223880365053,0.00970265079321716,68
2,3,0.018072647593833285,0.012076169112977812,68
2,4,0.04417270004256245,0.020869547913830052,68
2,5,0.02646970239413135,0.015016438331061685,68
2,6,0.020211087800014543,0.011948304946113647,68
2,7,0.034987902316703075,0.023899216889418658,68
2,8,0.06420373664621044,0.031665249732204186,68
2,9,0.006337386672385037,0.0034207339677477474,68
2,10,0.035665357711396235,0.020064206669582068,68
2,11,0.03977208333569305,0.020822301361864703,68
2,12,0.022008098675595486,0.014778308032994165,68
2,13,0.043240475906606984,0.029024118799311733,68
2,14,0.051006557467831844,0.02532666319102667,68
2,15,0.02885283428408644,0.015724683615792167,68
2,16,0.029845809516058686,0.016455723046797377,68
2,17,0.04088664832798874,0.021213310984654246,68
2,18,0.006324703592861838,0.003441195968830606,68
2,19,0.009323499423985863,0.006169710522502091,68
2,20,0.031630609838483745,0.023709333849982007,68
2,21,0.05643287283258841,0.031241002084460005,68
2,22,0.028228822263532922,0.017653826969882158,68
2,23,0.06900723726379082,0.023326760310739224,68
2,24,0.019550933807348722,0.009649345947416394,68
2,25,0.03181763044353027,0.02559962388376238,68
2,26,0.0381331692709971,0.021172956807455387,68
2,27,0.01743711781797602,0.008694809916191102,68
2,28,0.025152057813316146,0.018290805155650153,68
2,29,0.027632935876574588,0.011732258474502965,68
2,30,0.02819269647657433,0.01021337186876895,68
2,31,0.028672328684478998,0.011026032177610024,68
2,32,0.06026328059070853,0.05182182952198403,68
2,33,0.035259209230870885,0.02321491207620389,68
2,34,0.04707331785603481,0.0357661380562568,68
2,35,0.03250442873618072,0.022514547976067403,68
2,36,0.03253729520913433,0.028519034944846505,68
2,37,0.020263201652971262,0.023350436747083,68
2,38,0.04066163283663199,0.042572305145457665,68
2,39,0.023197240394759264,0.019791793486282003,68
2,40,0.020415476277455182,0.026275194068594132,68
2,41,0.01899663234807496,0.01305023310892648,68
